"Communications Skills (listening, verbal, written)","Compétences en Communication (écoute, verbale, écrite)","Habilidades de Comunicación (comprensión oral, escrita verbal)"
Analytical / Research,Analytique / Recherche,Análisis / Investigación
Computer / Technical Literacy,Informatique / Alphabétisation Technique,Informatica / Alfabetización Técnica
Flexibility / Adaptability / Managing Multiple Priorities,Flexibilité / Adaptabilité / Gestion de Priorités Multiples,Flexibilidad / Adaptabilidad / Manejar Prioridades Múltiples
Interpersonal Abilities,Capacités Relationnelles,Habilidades Interpersonales
Leadership / Management,Leadership / Gestion,Liderazgo / Gestión
Multicultural Sensitivity / Awareness,Sensibilité Multiculturelle / Sensibilisation,Sensibilidad Multicultural / Conciencia
Planning / Organizing,Planification / Organisation,Planificación / Organización
Problem-Solving / Reasoning / Creativity,Résolution de Problèmes / Raisonnement / Créativité,Resolución de Problemas / Razonamiento / Creatividad
Teamwork,Le Travail d'équipe,Trabajo en Equipo
Honesty / Integrity / Morality,Honnêteté / Intégrité / Morale,Honestidad / Integridad / Moral
Adaptability / Flexibility,Adaptabilité / Flexibilité,Adaptabilidad / Flexibilidad
Dedication / Hard-Working / Work Ethic / Tenacity,Dédicace / Hard-travail / Ethique de Travail / Ténacité,Dedicación / Trabajador Trabajo / Etica Profesional / Tenacidad
Dependability / Reliability / Responsibility,Sûreté de Fonctionnement / Fiabilité / Responsabilité,Fiabilidad / Confiabilidad / Responsabilidad
Loyalty,Loyauté,Lealtad
Positive Attitude / Motivation / Energy / Passion,Attitude Positive / Motivation / Energie / Passion,Actitud Positiva / Motivación / Energía / Pasión
Professionalism,Professionnalisme,Profesionalismo
Self-Confidence,Confiance en Soi,Confianza en sí Mismo
Self-Motivated / Ability to Work with Little or No Supervision,Auto Motivés / Ability au travail avec no ou peu de Supervision ,Auto-Motivado / Capacidad para Trabajar Con Poca o Ninguna Supervisión
Willingness to Learn,Volonté de Savoir,Disposición para Aprender
Other (free cell text),Autre (free cell text),Otro (free cell text)
