English,French,Spanish
Accounting Product,Produits de comptabilité,Productos de contabilidad
Accounting Services,Services de comptabilité,Servicios de contabilidad
Advertising Services,Services publicitaires,Servicios de publicidad
Advertising Technology,Technologie publicitaire,Tecnología publicitaria
Aerospace Services,Services aérospatiaux,Servicios aeroespaciales
Agricultural Products,Produits agricoles,Productos agrícolas
Agricultural Services,Services agricoles,Servicios agrícolas
Aircraft Industry,Industrie aéronautique,Industria aeronáutica
Air Freight and Logistics Services,Services aériens de fret et logistique,Servicios aereos de flete y logística 
Air Transport Services,Services de transport aérien,Servicios de transporte aereo
Air Transport Unions,Syndicats du transport aérien,Sindicato de transporte aereo
Alcoholic Beverages,Boissons alcoolisées,Bebidas alcohólicas
Alternative Energy Production and Services,Production d'énergie alternative et services,Produccion de energía alternativa y servicios
Alternative Dispute Resolution,Règlement extrajudiciaire des différends,Resolucion alternativa de conflictos
Alternative Medicine,Médecine alternative,Medicina alternativa
Animation Services,Services d'animation,Servicios de animación
Apparel and Fashion,Vêtements et mode,Moda y Vestimenta
Architecture & Planning,Architecture et planification,Aquitectura y planificación
Architectural Services,Services d'architecture,Servicios de arquitectura
Attorney/ Law firms,Avocat / Cabinet d'avocats,Abogados/Bufetes
Arts and Crafts Industry,Industrie des arts et des métiers,Industria Artesanal
Alcohol Industry,Industrie de l'alcool,Industria de bebidas alcohólicas
Automobile Equipment - Rental and Leasing,Équipement automobile - location et location-bail,Equipos de automovil - Alquiler y arrendamiento
Auto Components,Composants auto,Componentes de automovil
Auto Dealers,Concessionnaires automobiles,Concesionario de coches
Auto Manufacturers,Constructeurs automobiles,Fabricante de coches
Aviation/ Airlines industry,Aviation / Compagnies aériennes,Aviación/Industria de compañías aereas
Banking industry,L'industrie banquaire,Industria bancaria
Bars & Restaurants,Bars et Restaurants,Bares y restaurantes
Beverages and Soft Drinks,Boissons et Boissons Gazeuses,Bebidas y refrescos
"Beer, Wine, and Liquor stores","Magasins de bière, de vin et d´alcool","Cerveza, vino y tiendas de licores"
Bicycle Industry,Industrie du vélo,Industria de bicicletas
Biotechnology,Biotechnologie,Bio-tecnología
"Books, Magazines and Newspapers Publishing","Publication de livres, de magazines et de journaux","Publicación de libros, revistas y periódicos"
"Books, Magazines and Newspapers Distribution","Distribution de livres, de magazines et de journaux","Distribución de libros, revistas y periódicos"
Broadcast Media,Médias de diffusion,Medios de informacion y difusión
Builders/ General Contractors,Maçons / entrepreneurs généraux,Albañiles/Contratistas generales
Building Materials Manufacturing,Fabrication de matériaux de construction,Fabricación de materiales de construcción
Building Material Supplies,Fournitures de matériaux de construction,Suministros de materiales de construcción
Business Association,Association d'entreprises,Asociacion de empresas
Business Services,Les services aux entreprise,Servicios empresariales
Business Supplies and Equipment,Fournitures et équipement de bureaux,Artículos de oficina y equipamiento
Cable & Satellite TV Production & Distribution,Production et distribution de télévision par câble et satellite,Producción y distribución de televisión por cable y satélite
Capital Markets,Marchés de capitaux,Mercados de valores
Casinos and Gambling,Casinos et jeux,Casinos y juegos
Cement Industry,Industrie du ciment,Industria de cemento
Cattle Ranchers/Livestock,Éleveurs de bétail /Elevage,Ganaderos / Ganadería
Chemical Industry,Industrie chimique,Industria química
Chemical and Related Manufacturing,Fabrication de produits chimiques et connexes,Fabricación química y productos relacionados
Chiropractors,Chiropraticiens,Quiroprácticos
Civic and Social Organization,Organisation civique et sociale,Organización Cívica y Social
Civil Engineering,Génie civil,Ingeniería civil
Clothing Manufacturing,Fabrication de vêtements,Fabricación de ropa
Coal Distribution and Sales,Distribution et vente du charbon ,Distribución y ventas de carbón
Coal Mining,Mine de charbon,Minería de carbón
Commercial Real Estate,Agence Immobilière,Agencia Inmobiliaria
Commercial Services & Supplies,Services commerciaux et fournitures,Servicios comerciales y de suministros
Communications Equipment,Equipements de communication,Equipos de comunicación
Computer and Network Security,Sécurité informatique et des réseaux,Seguridad de redes e informática 
Computer Games,Jeux d'ordinateur,Juegos de ordenador
Computer Hardware,Matériel informatique,Material informático
Computer Industry,Industrie informatique,Industria informática
Computer Networking,Réseaux informatiques,Redes de computadoras
Computer Software,Logiciel,Software de ordenador
Construction industry,Industrie de construction,Industria de construccion
Construction and Engineering,Construction et génie,Construcción e ingeniería
Construction Materials,Matériaux de construction,Materiales de construcción
