COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ALGERIA,Adrar	,Adrar	,ALGÉRIE,Adrar	,Adrar	,,,,,
ALGERIA,Aïn Defla	,Aïn Defla	,ALGÉRIE,Aïn Defla	,Aïn Defla	,,,,,
ALGERIA,Aïn Defla	,El Attaf	,ALGÉRIE,Aïn Defla	,El Attaf	,,,,,
ALGERIA,Aïn Defla	,Khemis Miliana	,ALGÉRIE,Aïn Defla	,Khemis Miliana	,,,,,
ALGERIA,Aïn Defla	,Miliana	,ALGÉRIE,Aïn Defla	,Miliana	,,,,,
ALGERIA,Aïn Témouchent	,Aïn Témouchent	,ALGÉRIE,Aïn Témouchent	,Aïn Témouchent	,,,,,
ALGERIA,Aïn Témouchent	,Beni Saf	,ALGÉRIE,Aïn Témouchent	,Beni Saf	,,,,,
ALGERIA,Aïn Témouchent	,Hammam Bouhadjar	,ALGÉRIE,Aïn Témouchent	,Hammam Bouhadjar	,,,,,
ALGERIA,Annaba	,Annaba	,ALGÉRIE,Annaba	,Annaba	,,,,,
ALGERIA,Annaba	,El Hadjar	,ALGÉRIE,Annaba	,El Hadjar	,,,,,
ALGERIA,Annaba	,Sidi Amar	,ALGÉRIE,Annaba	,Sidi Amar	,,,,,
ALGERIA,Annaba	,Hadjar Eddiss	,ALGÉRIE,Annaba	,Hadjar Eddiss	,,,,,
ALGERIA,Batna	,Aïn Touta	,ALGÉRIE,Batna	,Aïn Touta	,,,,,
ALGERIA,Batna	,Batna	,ALGÉRIE,Batna	,Batna	,,,,,
ALGERIA,Batna	,Barika	,ALGÉRIE,Batna	,Barika	,,,,,
ALGERIA,Béchar	,Béchar	,ALGÉRIE,Béchar	,Béchar	,,,,,
ALGERIA,Béjaïa	,Akbou	,ALGÉRIE,Béjaïa	,Akbou	,,,,,
ALGERIA,Béjaïa	,Béjaïa	,ALGÉRIE,Béjaïa	,Béjaïa	,,,,,
ALGERIA,Biskra	,Biskra	,ALGÉRIE,Biskra	,Biskra	,,,,,
ALGERIA,Biskra	,Sidi Okba	,ALGÉRIE,Biskra	,Sidi Okba	,,,,,
