COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ANGOLA,Bengo	,Caxito	,ANGOLA,Bengo	,Caxito	,,,,,
ANGOLA,Benguela	,Benguela	,ANGOLA,Benguela	,Benguela	,,,,,
ANGOLA,Benguela	,Lobito	,ANGOLA,Benguela	,Lobito	,,,,,
ANGOLA,Bié	,Camacupa	,ANGOLA,Bié	,Camacupa	,,,,,
ANGOLA,Bié	,Kuito (Cuito)	,ANGOLA,Bié	,Kuito (Cuito)	,,,,,
ANGOLA,Cabinda	,Cabinda (Tchiowa)	,ANGOLA,Cabinda	,Cabinda (Tchiowa)	,,,,,
ANGOLA,Cuando Cubango (Kunado-Kubango)	,Menongue	,ANGOLA,Cuando Cubango (Kunado-Kubango)	,Menongue	,,,,,
ANGOLA,Cuanza Norte (Kwanza-Norte)	,N'dalatando	,ANGOLA,Cuanza Norte (Kwanza-Norte)	,N'dalatando	,,,,,
ANGOLA,Cuanza Sul (Kwanza-Sul)	,Gabela	,ANGOLA,Cuanza Sul (Kwanza-Sul)	,Gabela	,,,,,
ANGOLA,Cuanza Sul (Kwanza-Sul)	,Sumbe (Novo Redondo)	,ANGOLA,Cuanza Sul (Kwanza-Sul)	,Sumbe (Novo Redondo)	,,,,,
ANGOLA,Cunene	,Ondjiva (N'Giva)	,ANGOLA,Cunene	,Ondjiva (N'Giva)	,,,,,
ANGOLA,Huambo	,Caála	,ANGOLA,Huambo	,Caála	,,,,,
ANGOLA,Huambo	,Huambo (Nova Lisboa)	,ANGOLA,Huambo	,Huambo (Nova Lisboa)	,,,,,
ANGOLA,Huíla	,Lubango	,ANGOLA,Huíla	,Lubango	,,,,,
ANGOLA,Luanda	,Luanda	,ANGOLA,Luanda	,Luanda	,,,,,
ANGOLA,Lunda Norte	,Dundo	,ANGOLA,Lunda Norte	,Dundo	,,,,,
ANGOLA,Lunda Norte	,Lucapa	,ANGOLA,Lunda Norte	,Lucapa	,,,,,
ANGOLA,Lunda Sul	,Saurimo	,ANGOLA,Lunda Sul	,Saurimo	,,,,,
ANGOLA,Malanje (Malange)	,Malanje	,ANGOLA,Malanje (Malange)	,Malanje	,,,,,
ANGOLA,Moxico	,Luena	,ANGOLA,Moxico	,Luena	,,,,,
ANGOLA,Namibe	,Tômbua	,ANGOLA,Namibe	,Tômbua	,,,,,
ANGOLA,Uíge	,Uíge (Carmona)	,ANGOLA,Uíge	,Uíge (Carmona)	,,,,,
ANGOLA,Zaire	,M'banza-Kongo	,ANGOLA,Zaire	,M'banza-Kongo	,,,,,
ANGOLA,Luanda ,Ingombota,ANGOLA,Luanda,Ingombota,,,,,
