COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ARGENTINA,Buenos Aires	,25 de Mayo (Veinticinco de Mayo)	,ARGENTINE,Buenos Aires	,25 de Mayo (Veinticinco de Mayo)	,,,,,
ARGENTINA,Buenos Aires	,9 de Julio (Nueve de Julio)	,ARGENTINE,Buenos Aires	,9 de Julio (Nueve de Julio)	,,,,,
ARGENTINA,Buenos Aires	,Arrecifes	,ARGENTINE,Buenos Aires	,Arrecifes	,,,,,
ARGENTINA,Buenos Aires	,Azul	,ARGENTINE,Buenos Aires	,Azul	,,,,,
ARGENTINA,Buenos Aires	,Bahía Blanca	,ARGENTINE,Buenos Aires	,Bahía Blanca	,,,,,
ARGENTINA,Buenos Aires	,Balcarce	,ARGENTINE,Buenos Aires	,Balcarce	,,,,,
ARGENTINA,Buenos Aires	,Baradero	,ARGENTINE,Buenos Aires	,Baradero	,,,,,
ARGENTINA,Buenos Aires	,Bragado	,ARGENTINE,Buenos Aires	,Bragado	,,,,,
ARGENTINA,Buenos Aires	,Campana	,ARGENTINE,Buenos Aires	,Campana	,,,,,
ARGENTINA,Buenos Aires	,Cañuelas	,ARGENTINE,Buenos Aires	,Cañuelas	,,,,,
ARGENTINA,Buenos Aires	,Chacabuco	,ARGENTINE,Buenos Aires	,Chacabuco	,,,,,
ARGENTINA,Buenos Aires	,Chascomús	,ARGENTINE,Buenos Aires	,Chascomús	,,,,,
ARGENTINA,Buenos Aires	,Chivilcoy	,ARGENTINE,Buenos Aires	,Chivilcoy	,,,,,
ARGENTINA,Buenos Aires	,Colón	,ARGENTINE,Buenos Aires	,Colón	,,,,,
ARGENTINA,Buenos Aires	,Coronel Brandsen (Brandsen)	,ARGENTINE,Buenos Aires	,Coronel Brandsen (Brandsen)	,,,,,
ARGENTINA,Buenos Aires	,Coronel Pringles	,ARGENTINE,Buenos Aires	,Coronel Pringles	,,,,,
ARGENTINA,Buenos Aires	,Coronel Suárez	,ARGENTINE,Buenos Aires	,Coronel Suárez	,,,,,
ARGENTINA,Buenos Aires	,Dolores	,ARGENTINE,Buenos Aires	,Dolores	,,,,,
ARGENTINA,Buenos Aires	,Junín	,ARGENTINE,Buenos Aires	,Junín	,,,,,
ARGENTINA,Buenos Aires	,La Plata	,ARGENTINE,Buenos Aires	,La Plata	,,,,,
ARGENTINA,Buenos Aires	,Las Flores	,ARGENTINE,Buenos Aires	,Las Flores	,,,,,
ARGENTINA,Buenos Aires	,Lincoln	,ARGENTINE,Buenos Aires	,Lincoln	,,,,,
ARGENTINA,Buenos Aires	,Lobos	,ARGENTINE,Buenos Aires	,Lobos	,,,,,
ARGENTINA,Buenos Aires	,Luján (San Isidro de Lules)	,ARGENTINE,Buenos Aires	,Luján (San Isidro de Lules)	,,,,,
ARGENTINA,Buenos Aires	,Mar de Ajó (- San Bernardo),ARGENTINE,Buenos Aires	,Mar de Ajó (- San Bernardo),,,,,
ARGENTINA,Buenos Aires	,Mar del Plata	,ARGENTINE,Buenos Aires	,Mar del Plata	,,,,,
ARGENTINA,Buenos Aires	,Mercedes	,ARGENTINE,Buenos Aires	,Mercedes	,,,,,
ARGENTINA,Buenos Aires	,Miramar	,ARGENTINE,Buenos Aires	,Miramar	,,,,,
ARGENTINA,Buenos Aires	,Necochea (- Quequén)	,ARGENTINE,Buenos Aires	,Necochea (- Quequén)	,,,,,
ARGENTINA,Buenos Aires	,Olavarría	,ARGENTINE,Buenos Aires	,Olavarría	,,,,,
ARGENTINA,Buenos Aires	,Pehuajó	,ARGENTINE,Buenos Aires	,Pehuajó	,,,,,
ARGENTINA,Buenos Aires	,Pergamino	,ARGENTINE,Buenos Aires	,Pergamino	,,,,,
