COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
BELGIUM,Antwerpen [Antwerp]	,Antwerpen (Anvers) [Antwerp]	,BELGIQUE,Antwerpen [Antwerp]	,Antwerpen (Anvers) [Antwerp]	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Balen	,BELGIQUE,Antwerpen [Antwerp]	,Balen	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Bornem	,BELGIQUE,Antwerpen [Antwerp]	,Bornem	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Brasschaat	,BELGIQUE,Antwerpen [Antwerp]	,Brasschaat	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Brecht	,BELGIQUE,Antwerpen [Antwerp]	,Brecht	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Edegem	,BELGIQUE,Antwerpen [Antwerp]	,Edegem	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Geel	,BELGIQUE,Antwerpen [Antwerp]	,Geel	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Heist-op-den-Berg	,BELGIQUE,Antwerpen [Antwerp]	,Heist-op-den-Berg	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Herentals	,BELGIQUE,Antwerpen [Antwerp]	,Herentals	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Kapellen	,BELGIQUE,Antwerpen [Antwerp]	,Kapellen	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Kontich	,BELGIQUE,Antwerpen [Antwerp]	,Kontich	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Lier (Lierre)	,BELGIQUE,Antwerpen [Antwerp]	,Lier (Lierre)	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Mol	,BELGIQUE,Antwerpen [Antwerp]	,Mol	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Mortsel	,BELGIQUE,Antwerpen [Antwerp]	,Mortsel	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Nijlen	,BELGIQUE,Antwerpen [Antwerp]	,Nijlen	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Schoten	,BELGIQUE,Antwerpen [Antwerp]	,Schoten	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Sint-Katelijne-Waver	,BELGIQUE,Antwerpen [Antwerp]	,Sint-Katelijne-Waver	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Turnhout	,BELGIQUE,Antwerpen [Antwerp]	,Turnhout	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Willebroek	,BELGIQUE,Antwerpen [Antwerp]	,Willebroek	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Wuustwezel	,BELGIQUE,Antwerpen [Antwerp]	,Wuustwezel	,,,,,
BELGIUM,Antwerpen [Antwerp]	,Zoersel	,BELGIQUE,Antwerpen [Antwerp]	,Zoersel	,,,,,
BELGIUM,Limburg	,Beringen	,BELGIQUE,Limburg	,Beringen	,,,,,
BELGIUM,Limburg	,Bilzen	,BELGIQUE,Limburg	,Bilzen	,,,,,
BELGIUM,Limburg	,Dilsen-Stokkem	,BELGIQUE,Limburg	,Dilsen-Stokkem	,,,,,
BELGIUM,Limburg	,Genk	,BELGIQUE,Limburg	,Genk	,,,,,
BELGIUM,Limburg	,Heusden-Zolder	,BELGIQUE,Limburg	,Heusden-Zolder	,,,,,
BELGIUM,Limburg	,Houthalen-Helchteren	,BELGIQUE,Limburg	,Houthalen-Helchteren	,,,,,
BELGIUM,Limburg	,Lanaken	,BELGIQUE,Limburg	,Lanaken	,,,,,
BELGIUM,Limburg	,Lommel	,BELGIQUE,Limburg	,Lommel	,,,,,
BELGIUM,Limburg	,Maaseik	,BELGIQUE,Limburg	,Maaseik	,,,,,
BELGIUM,Limburg	,Maasmechelen	,BELGIQUE,Limburg	,Maasmechelen	,,,,,
BELGIUM,Limburg	,Sint-Truiden (Saint-Trond)	,BELGIQUE,Limburg	,Sint-Truiden (Saint-Trond)	,,,,,
BELGIUM,Limburg	,Tongeren (Tongres)	,BELGIQUE,Limburg	,Tongeren (Tongres)	,,,,,
BELGIUM,Limburg	,Zonhoven	,BELGIQUE,Limburg	,Zonhoven	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Aalst (Alost)	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Aalst (Alost)	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Aalter	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Aalter	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Beveren	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Beveren	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Deinze	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Deinze	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Denderleeuw	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Denderleeuw	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Dendermonde (Termonde)	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Dendermonde (Termonde)	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Eeklo	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Eeklo	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Evergem        ,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Evergem        ,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Gent (Gand) [Ghent]	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Gent (Gand) [Ghent]	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Geraardsbergen (Grammont)	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Geraardsbergen (Grammont)	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Hamme	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Hamme	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Lochristi	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Lochristi	,,,,,
BELGIUM,Oost-Vlaanderen [East Flanders]	,Lokeren	,BELGIQUE,Oost-Vlaanderen [East Flanders]	,Lokeren	,,,,,
