COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
BENIN,Alibori	,Banikoara	,BENIN,Alibori	,Banikoara	,,,,,
BENIN,Alibori	,Gogounou	,BENIN,Alibori	,Gogounou	,,,,,
BENIN,Alibori	,Kandi	,BENIN,Alibori	,Kandi	,,,,,
BENIN,Alibori	,Malanville	,BENIN,Alibori	,Malanville	,,,,,
BENIN,Alibori	,Ségbana	,BENIN,Alibori	,Ségbana	,,,,,
BENIN,Atacora	,Boukoumbé	,BENIN,Atacora	,Boukoumbé	,,,,,
BENIN,Atacora	,Cobly (Kobli)	,BENIN,Atacora	,Cobly (Kobli)	,,,,,
BENIN,Atacora	,Kérou	,BENIN,Atacora	,Kérou	,,,,,
BENIN,Atacora	,Kouandé	,BENIN,Atacora	,Kouandé	,,,,,
BENIN,Atacora	,Matéri	,BENIN,Atacora	,Matéri	,,,,,
BENIN,Atacora	,Natitingou	,BENIN,Atacora	,Natitingou	,,,,,
BENIN,Atacora	,Péhunco	,BENIN,Atacora	,Péhunco	,,,,,
BENIN,Atacora	,Tanguiéta	,BENIN,Atacora	,Tanguiéta	,,,,,
BENIN,Atacora	,Toucountouna	,BENIN,Atacora	,Toucountouna	,,,,,
BENIN,Atlantique	,Abomey-Calavi	,BENIN,Atlantique	,Abomey-Calavi	,,,,,
BENIN,Atlantique	,Allada	,BENIN,Atlantique	,Allada	,,,,,
BENIN,Atlantique	,Godomey	,BENIN,Atlantique	,Godomey	,,,,,
BENIN,Atlantique	,Ouidah	,BENIN,Atlantique	,Ouidah	,,,,,
BENIN,Atlantique	,Tori-Bossito	,BENIN,Atlantique	,Tori-Bossito	,,,,,
BENIN,Atlantique	,Zè	,BENIN,Atlantique	,Zè	,,,,,
BENIN,Atlantique	,Zinvié	,BENIN,Atlantique	,Zinvié	,,,,,
BENIN,Borgou	,Bembéréké	,BENIN,Borgou	,Bembéréké	,,,,,
BENIN,Borgou	,Kalalé	,BENIN,Borgou	,Kalalé	,,,,,
BENIN,Borgou	,N'Dali	,BENIN,Borgou	,N'Dali	,,,,,
BENIN,Borgou	,Nikki	,BENIN,Borgou	,Nikki	,,,,,
BENIN,Borgou	,Parakou	,BENIN,Borgou	,Parakou	,,,,,
BENIN,Borgou	,Pèrèrè	,BENIN,Borgou	,Pèrèrè	,,,,,
BENIN,Borgou	,Sinendé	,BENIN,Borgou	,Sinendé	,,,,,
BENIN,Borgou	,Tchaourou	,BENIN,Borgou	,Tchaourou	,,,,,
BENIN,Collines	,Bantè	,BENIN,Collines	,Bantè	,,,,,
BENIN,Collines	,Dassa-Zoumé	,BENIN,Collines	,Dassa-Zoumé	,,,,,
BENIN,Collines	,Glazoué	,BENIN,Collines	,Glazoué	,,,,,
BENIN,Collines	,Ouèssè	,BENIN,Collines	,Ouèssè	,,,,,
BENIN,Collines	,Savalou	,BENIN,Collines	,Savalou	,,,,,
BENIN,Collines	,Savé	,BENIN,Collines	,Savé	,,,,,
BENIN,Couffo	,Aplahoué	,BENIN,Couffo	,Aplahoué	,,,,,
BENIN,Couffo	,Djakotomey	,BENIN,Couffo	,Djakotomey	,,,,,
BENIN,Couffo	,Dogbo-Tota	,BENIN,Couffo	,Dogbo-Tota	,,,,,
BENIN,Couffo	,Klouékanmè	,BENIN,Couffo	,Klouékanmè	,,,,,
BENIN,Couffo	,Lalo	,BENIN,Couffo	,Lalo	,,,,,
BENIN,Couffo	,Toviklin	,BENIN,Couffo	,Toviklin	,,,,,
BENIN,Donga	,Bassila	,BENIN,Donga	,Bassila	,,,,,
BENIN,Donga	,Copargo	,BENIN,Donga	,Copargo	,,,,,
BENIN,Donga	,Djougou	,BENIN,Donga	,Djougou	,,,,,
BENIN,Donga	,Ouaké	,BENIN,Donga	,Ouaké	,,,,,
BENIN,Littoral	,Cotonou	,BENIN,Littoral	,Cotonou	,,,,,
BENIN,Mono	,Athiémé	,BENIN,Mono	,Athiémé	,,,,,
BENIN,Mono	,Comè	,BENIN,Mono	,Comè	,,,,,
BENIN,Mono	,Lokossa	,BENIN,Mono	,Lokossa	,,,,,
BENIN,Mono	,Sè	,BENIN,Mono	,Sè	,,,,,
BENIN,Ouémé	,Akpro-Missérété	,BENIN,Ouémé	,Akpro-Missérété	,,,,,
BENIN,Ouémé	,Avrankou	,BENIN,Ouémé	,Avrankou	,,,,,
BENIN,Ouémé	,Ekpé	,BENIN,Ouémé	,Ekpé	,,,,,
BENIN,Ouémé	,Sèmè-Kpodji	,BENIN,Ouémé	,Sèmè-Kpodji	,,,,,
BENIN,Plateau	,Adja-Ouèrè	,BENIN,Plateau	,Adja-Ouèrè	,,,,,
BENIN,Plateau	,Ifangni	,BENIN,Plateau	,Ifangni	,,,,,
BENIN,Plateau	,Kétou	,BENIN,Plateau	,Kétou	,,,,,
BENIN,Plateau	,Pobè	,BENIN,Plateau	,Pobè	,,,,,
BENIN,Plateau	,Sakété	,BENIN,Plateau	,Sakété	,,,,,
BENIN,Zou	,Abomey	,BENIN,Zou	,Abomey	,,,,,
BENIN,Zou	,Bohicon	,BENIN,Zou	,Bohicon	,,,,,
BENIN,Zou	,Djidja	,BENIN,Zou	,Djidja	,,,,,
BENIN,Zou	,Ouinhi	,BENIN,Zou	,Ouinhi	,,,,,
BENIN,Zou	,Za-Kpota	,BENIN,Zou	,Za-Kpota	,,,,,
