COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
BOLIVIA,Beni	,Guayaramerín	,BOLIVIE,Beni	,Guayaramerín	,,,,,
BOLIVIA,Beni	,Riberalta	,BOLIVIE,Beni	,Riberalta	,,,,,
BOLIVIA,Beni	,Rurrenabaque	,BOLIVIE,Beni	,Rurrenabaque	,,,,,
BOLIVIA,Beni	,San Borja	,BOLIVIE,Beni	,San Borja	,,,,,
BOLIVIA,Beni	,San Ignacio de Moxos	,BOLIVIE,Beni	,San Ignacio de Moxos	,,,,,
BOLIVIA,Beni	,Santa Ana del Yacuma	,BOLIVIE,Beni	,Santa Ana del Yacuma	,,,,,
BOLIVIA,Beni	,Trinidad	,BOLIVIE,Beni	,Trinidad	,,,,,
BOLIVIA,Chuquisaca	,Sucre	,BOLIVIE,Chuquisaca	,Sucre	,,,,,
BOLIVIA,Cochabamba,Cochabamba	,BOLIVIE,Cochabamba,Cochabamba	,,,,,
BOLIVIA,Cochabamba,Colcapirhua	,BOLIVIE,Cochabamba,Colcapirhua	,,,,,
BOLIVIA,Cochabamba,Punata	,BOLIVIE,Cochabamba,Punata	,,,,,
BOLIVIA,Cochabamba,Quillacollo	,BOLIVIE,Cochabamba,Quillacollo	,,,,,
BOLIVIA,Cochabamba,Sacaba	,BOLIVIE,Cochabamba,Sacaba	,,,,,
BOLIVIA,Cochabamba,Sipe Sipe	,BOLIVIE,Cochabamba,Sipe Sipe	,,,,,
BOLIVIA,Cochabamba,Tiquipaya	,BOLIVIE,Cochabamba,Tiquipaya	,,,,,
BOLIVIA,Cochabamba,Vinto	,BOLIVIE,Cochabamba,Vinto	,,,,,
BOLIVIA,La Paz	,Achocalla	,BOLIVIE,La Paz	,Achocalla	,,,,,
BOLIVIA,La Paz	,Caranavi	,BOLIVIE,La Paz	,Caranavi	,,,,,
BOLIVIA,La Paz	,El Alto	,BOLIVIE,La Paz	,El Alto	,,,,,
BOLIVIA,La Paz	,La Paz	,BOLIVIE,La Paz	,La Paz	,,,,,
BOLIVIA,La Paz	,Patacamaya	,BOLIVIE,La Paz	,Patacamaya	,,,,,
BOLIVIA,La Paz	,Viacha	,BOLIVIE,La Paz	,Viacha	,,,,,
BOLIVIA,Oruro	,Challapata	,BOLIVIE,Oruro	,Challapata	,,,,,
BOLIVIA,Oruro	,Huanuni	,BOLIVIE,Oruro	,Huanuni	,,,,,
BOLIVIA,Oruro	,Oruro	,BOLIVIE,Oruro	,Oruro	,,,,,
BOLIVIA,Pando	,Cobija	,BOLIVIE,Pando	,Cobija	,,,,,
BOLIVIA,Potosí	,Llallagua	,BOLIVIE,Potosí	,Llallagua	,,,,,
BOLIVIA,Potosí	,Potosí	,BOLIVIE,Potosí	,Potosí	,,,,,
BOLIVIA,Potosí	,Villazón	,BOLIVIE,Potosí	,Villazón	,,,,,
BOLIVIA,Santa Cruz	,Ascensión de Guarayos	,BOLIVIE,Santa Cruz	,Ascensión de Guarayos	,,,,,
BOLIVIA,Santa Cruz	,Camiri	,BOLIVIE,Santa Cruz	,Camiri	,,,,,
BOLIVIA,Santa Cruz	,Concepción	,BOLIVIE,Santa Cruz	,Concepción	,,,,,
BOLIVIA,Santa Cruz	,Cotoca	,BOLIVIE,Santa Cruz	,Cotoca	,,,,,
BOLIVIA,Santa Cruz	,El Torno	,BOLIVIE,Santa Cruz	,El Torno	,,,,,
BOLIVIA,Santa Cruz	,La Guardia	,BOLIVIE,Santa Cruz	,La Guardia	,,,,,
BOLIVIA,Santa Cruz	,Mineros	,BOLIVIE,Santa Cruz	,Mineros	,,,,,
BOLIVIA,Santa Cruz	,Montero	,BOLIVIE,Santa Cruz	,Montero	,,,,,
BOLIVIA,Santa Cruz	,Pailón	,BOLIVIE,Santa Cruz	,Pailón	,,,,,
BOLIVIA,Santa Cruz	,Portachuelo	,BOLIVIE,Santa Cruz	,Portachuelo	,,,,,
BOLIVIA,Santa Cruz	,Puerto Quijarro	,BOLIVIE,Santa Cruz	,Puerto Quijarro	,,,,,
BOLIVIA,Santa Cruz	,Puerto Suárez	,BOLIVIE,Santa Cruz	,Puerto Suárez	,,,,,
BOLIVIA,Santa Cruz	,Roboré	,BOLIVIE,Santa Cruz	,Roboré	,,,,,
BOLIVIA,Santa Cruz	,San Ignacio de Velasco	,BOLIVIE,Santa Cruz	,San Ignacio de Velasco	,,,,,
BOLIVIA,Santa Cruz	,San José de Chiquitos	,BOLIVIE,Santa Cruz	,San José de Chiquitos	,,,,,
BOLIVIA,Santa Cruz	,San Julián	,BOLIVIE,Santa Cruz	,San Julián	,,,,,
BOLIVIA,Santa Cruz	,Santa Cruz (Santa Cruz de la Sierra)	,BOLIVIE,Santa Cruz	,Santa Cruz (Santa Cruz de la Sierra)	,,,,,
BOLIVIA,Santa Cruz	,Vallegrande	,BOLIVIE,Santa Cruz	,Vallegrande	,,,,,
BOLIVIA,Santa Cruz	,Warnes	,BOLIVIE,Santa Cruz	,Warnes	,,,,,
BOLIVIA,Santa Cruz	,Yapacaní (Villa Germán Bush)	,BOLIVIE,Santa Cruz	,Yapacaní (Villa Germán Bush)	,,,,,
BOLIVIA,Tarija	,Bermejo	,BOLIVIE,Tarija	,Bermejo	,,,,,
