COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
BURKINA FASO,Boucle du Mouhoun	,Boromo	,BURKINA FASO,Boucle du Mouhoun	,Boromo	,,,,,
BURKINA FASO,Boucle du Mouhoun	,Dédougou	,BURKINA FASO,Boucle du Mouhoun	,Dédougou	,,,,,
BURKINA FASO,Boucle du Mouhoun	,Nouna	,BURKINA FASO,Boucle du Mouhoun	,Nouna	,,,,,
BURKINA FASO,Boucle du Mouhoun	,Solenzo	,BURKINA FASO,Boucle du Mouhoun	,Solenzo	,,,,,
BURKINA FASO,Boucle du Mouhoun	,Toma	,BURKINA FASO,Boucle du Mouhoun	,Toma	,,,,,
BURKINA FASO,Boucle du Mouhoun	,Tougan (Bonou-Toaga)	,BURKINA FASO,Boucle du Mouhoun	,Tougan (Bonou-Toaga)	,,,,,
BURKINA FASO,Cascades	,Banfora	,BURKINA FASO,Cascades	,Banfora	,,,,,
BURKINA FASO,Cascades	,Niangoloko	,BURKINA FASO,Cascades	,Niangoloko	,,,,,
BURKINA FASO,Centre	,Ouagadougou	,BURKINA FASO,Centre	,Ouagadougou	,,,,,
BURKINA FASO,Centre-Est	,Garango	,BURKINA FASO,Centre-Est	,Garango	,,,,,
BURKINA FASO,Centre-Est	,Koupéla	,BURKINA FASO,Centre-Est	,Koupéla	,,,,,
BURKINA FASO,Centre-Est	,Ouargaye	,BURKINA FASO,Centre-Est	,Ouargaye	,,,,,
BURKINA FASO,Centre-Est	,Pouytenga	,BURKINA FASO,Centre-Est	,Pouytenga	,,,,,
BURKINA FASO,Centre-Est	,Tenkodogo	,BURKINA FASO,Centre-Est	,Tenkodogo	,,,,,
BURKINA FASO,Centre-Nord	,Boulsa	,BURKINA FASO,Centre-Nord	,Boulsa	,,,,,
BURKINA FASO,Centre-Nord	,Kaya	,BURKINA FASO,Centre-Nord	,Kaya	,,,,,
BURKINA FASO,Centre-Nord	,Kongoussi	,BURKINA FASO,Centre-Nord	,Kongoussi	,,,,,
BURKINA FASO,Centre-Ouest	,Koudougou	,BURKINA FASO,Centre-Ouest	,Koudougou	,,,,,
BURKINA FASO,Centre-Ouest	,Léo	,BURKINA FASO,Centre-Ouest	,Léo	,,,,,
BURKINA FASO,Centre-Ouest	,Réo	,BURKINA FASO,Centre-Ouest	,Réo	,,,,,
BURKINA FASO,Centre-Ouest	,Sapouy	,BURKINA FASO,Centre-Ouest	,Sapouy	,,,,,
BURKINA FASO,Centre-Sud	,Kombissiri	,BURKINA FASO,Centre-Sud	,Kombissiri	,,,,,
BURKINA FASO,Centre-Sud	,Manga	,BURKINA FASO,Centre-Sud	,Manga	,,,,,
BURKINA FASO,Centre-Sud	,Pô	,BURKINA FASO,Centre-Sud	,Pô	,,,,,
BURKINA FASO,Est	,Bogandé	,BURKINA FASO,Est	,Bogandé	,,,,,
BURKINA FASO,Est	,Diapaga	,BURKINA FASO,Est	,Diapaga	,,,,,
BURKINA FASO,Est	,Fada Ngourma	,BURKINA FASO,Est	,Fada Ngourma	,,,,,
BURKINA FASO,Hauts-Bassins	,Bobo-Dioulasso	,BURKINA FASO,Hauts-Bassins	,Bobo-Dioulasso	,,,,,
BURKINA FASO,Hauts-Bassins	,Houndé	,BURKINA FASO,Hauts-Bassins	,Houndé	,,,,,
BURKINA FASO,Hauts-Bassins	,Orodara	,BURKINA FASO,Hauts-Bassins	,Orodara	,,,,,
BURKINA FASO,Nord	,Gourcy	,BURKINA FASO,Nord	,Gourcy	,,,,,
BURKINA FASO,Nord	,Ouahigouya	,BURKINA FASO,Nord	,Ouahigouya	,,,,,
BURKINA FASO,Nord	,Titao	,BURKINA FASO,Nord	,Titao	,,,,,
BURKINA FASO,Nord	,Yako	,BURKINA FASO,Nord	,Yako	,,,,,
BURKINA FASO,Plateau-Central	,Boussé	,BURKINA FASO,Plateau-Central	,Boussé	,,,,,
BURKINA FASO,Plateau-Central	,Ziniaré	,BURKINA FASO,Plateau-Central	,Ziniaré	,,,,,
BURKINA FASO,Plateau-Central	,Zorgho	,BURKINA FASO,Plateau-Central	,Zorgho	,,,,,
BURKINA FASO,Sahel	,Djibo	,BURKINA FASO,Sahel	,Djibo	,,,,,
BURKINA FASO,Sahel	,Dori	,BURKINA FASO,Sahel	,Dori	,,,,,
BURKINA FASO,Sud-Ouest	,Gaoua	,BURKINA FASO,Sud-Ouest	,Gaoua	,,,,,
BURKINA FASO,Sud-Ouest	,Diébougou	,BURKINA FASO,Sud-Ouest	,Diébougou	,,,,,
BURKINA FASO,Sud-Ouest	,Dano	,BURKINA FASO,Sud-Ouest	,Dano	,,,,,
BURKINA FASO,Sud-Ouest	,Batié	,BURKINA FASO,Sud-Ouest	,Batié	,,,,,
