COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
CANADA,Alberta	,Airdrie	        ,CANADA,Alberta	,Airdrie	        ,,,,,
CANADA,Alberta	,Beaumont	        ,CANADA,Alberta	,Beaumont	        ,,,,,
CANADA,Alberta	,Brooks	,CANADA,Alberta	,Brooks	,,,,,
CANADA,Alberta	,Calgary	,CANADA,Alberta	,Calgary	,,,,,
CANADA,Alberta	,Camrose	,CANADA,Alberta	,Camrose	,,,,,
CANADA,Alberta	,Canmore	,CANADA,Alberta	,Canmore	,,,,,
CANADA,Alberta	,Chestermere	,CANADA,Alberta	,Chestermere	,,,,,
CANADA,Alberta	,Cochrane	,CANADA,Alberta	,Cochrane	,,,,,
CANADA,Alberta	,Edmonton	,CANADA,Alberta	,Edmonton	,,,,,
CANADA,Alberta	,Fort Saskatchewan	,CANADA,Alberta	,Fort Saskatchewan	,,,,,
CANADA,Alberta	,Grande Prairie	,CANADA,Alberta	,Grande Prairie	,,,,,
CANADA,Alberta	,High River	,CANADA,Alberta	,High River	,,,,,
CANADA,Alberta	,Lacombe	,CANADA,Alberta	,Lacombe	,,,,,
CANADA,Alberta	,Leduc	,CANADA,Alberta	,Leduc	,,,,,
CANADA,Alberta	,Lethbridge	,CANADA,Alberta	,Lethbridge	,,,,,
CANADA,Alberta	,Lloydminster (incl. Lloydminster (Sask.))	,CANADA,Alberta	,Lloydminster (incl. Lloydminster (Sask.))	,,,,,
CANADA,Alberta	,Medicine Hat	,CANADA,Alberta	,Medicine Hat	,,,,,
CANADA,Alberta	,Morinville	,CANADA,Alberta	,Morinville	,,,,,
CANADA,Alberta	,Okotoks	,CANADA,Alberta	,Okotoks	,,,,,
CANADA,Alberta	,Red Deer	,CANADA,Alberta	,Red Deer	,,,,,
CANADA,Alberta	,Spruce Grove	,CANADA,Alberta	,Spruce Grove	,,,,,
CANADA,Alberta	,Stony Plain	,CANADA,Alberta	,Stony Plain	,,,,,
CANADA,Alberta	,Strathmore	,CANADA,Alberta	,Strathmore	,,,,,
CANADA,Alberta	,Sylvan Lake	,CANADA,Alberta	,Sylvan Lake	,,,,,
CANADA,Alberta	,Wetaskiwin	,CANADA,Alberta	,Wetaskiwin	,,,,,
CANADA,Alberta	,Wood Buffalo (incl. Fort McMurray)	,CANADA,Alberta	,Wood Buffalo (incl. Fort McMurray)	,,,,,
CANADA,British Columbia	,Abbotsford (Matsqui)	,CANADA,British Columbia	,Abbotsford (Matsqui)	,,,,,
CANADA,British Columbia	,Aldergrove	,CANADA,British Columbia	,Aldergrove	,,,,,
CANADA,British Columbia	,Campbell River	,CANADA,British Columbia	,Campbell River	,,,,,
CANADA,British Columbia	,Chilliwack	,CANADA,British Columbia	,Chilliwack	,,,,,
CANADA,British Columbia	,Courtenay	,CANADA,British Columbia	,Courtenay	,,,,,
CANADA,British Columbia	,Cranbrook	,CANADA,British Columbia	,Cranbrook	,,,,,
CANADA,British Columbia	,Dawson Creek	,CANADA,British Columbia	,Dawson Creek	,,,,,
CANADA,British Columbia	,Duncan	,CANADA,British Columbia	,Duncan	,,,,,
CANADA,British Columbia	,Fort St. John	,CANADA,British Columbia	,Fort St. John	,,,,,
CANADA,British Columbia	,Kamloops	,CANADA,British Columbia	,Kamloops	,,,,,
CANADA,British Columbia	,Kelowna	,CANADA,British Columbia	,Kelowna	,,,,,
CANADA,British Columbia	,Ladner	,CANADA,British Columbia	,Ladner	,,,,,
CANADA,British Columbia	,Ladysmith	,CANADA,British Columbia	,Ladysmith	,,,,,
CANADA,British Columbia	,Mission	,CANADA,British Columbia	,Mission	,,,,,
CANADA,British Columbia	,Nanaimo	,CANADA,British Columbia	,Nanaimo	,,,,,
CANADA,British Columbia	,Nelson	,CANADA,British Columbia	,Nelson	,,,,,
CANADA,British Columbia	,Parksville	,CANADA,British Columbia	,Parksville	,,,,,
CANADA,British Columbia	,Penticton	,CANADA,British Columbia	,Penticton	,,,,,
CANADA,British Columbia	,Port Alberni	,CANADA,British Columbia	,Port Alberni	,,,,,
CANADA,British Columbia	,Powell River	,CANADA,British Columbia	,Powell River	,,,,,
CANADA,British Columbia	,Prince George	,CANADA,British Columbia	,Prince George	,,,,,
CANADA,British Columbia	,Prince Rupert	,CANADA,British Columbia	,Prince Rupert	,,,,,
