COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
CAPE VERDE,Boa Vista	,Sal Rei	,CAPE VERDE,Boa Vista	,Sal Rei	,,,,,
CAPE VERDE,Brava	,Nova Sintra	,CAPE VERDE,Brava	,Nova Sintra	,,,,,
CAPE VERDE,Fogo	,Mosteiros	,CAPE VERDE,Fogo	,Mosteiros	,,,,,
CAPE VERDE,Fogo	,São Filipe	,CAPE VERDE,Fogo	,São Filipe	,,,,,
CAPE VERDE,Fogo	,Cova Figueira	,CAPE VERDE,Fogo	,Cova Figueira	,,,,,
CAPE VERDE,Maio	,Porto Inglês (Cidade do Maio)	,CAPE VERDE,Maio	,Porto Inglês (Cidade do Maio)	,,,,,
CAPE VERDE,Sal	,Espargos	,CAPE VERDE,Sal	,Espargos	,,,,,
CAPE VERDE,Sal	,Santa Maria	,CAPE VERDE,Sal	,Santa Maria	,,,,,
CAPE VERDE,Santiago	,Assomada	,CAPE VERDE,Santiago	,Assomada	,,,,,
CAPE VERDE,Santiago	,Cidade Velha (Cidade de Santiago de Cabo Verde)	,CAPE VERDE,Santiago	,Cidade Velha (Cidade de Santiago de Cabo Verde)	,,,,,
CAPE VERDE,Santiago	,Praia	,CAPE VERDE,Santiago	,Praia	,,,,,
CAPE VERDE,Santiago	,João Teves	,CAPE VERDE,Santiago	,João Teves	,,,,,
CAPE VERDE,Santiago	,Pedra Badejo	,CAPE VERDE,Santiago	,Pedra Badejo	,,,,,
CAPE VERDE,Santiago	,São Domingos (Cidade da Varzéa de Igreja)	,CAPE VERDE,Santiago	,São Domingos (Cidade da Varzéa de Igreja)	,,,,,
CAPE VERDE,Santiago	,Calheta de São Miguel	,CAPE VERDE,Santiago	,Calheta de São Miguel	,,,,,
CAPE VERDE,Santiago	,Picos (Cidade de Achada Igreja)	,CAPE VERDE,Santiago	,Picos (Cidade de Achada Igreja)	,,,,,
CAPE VERDE,Santiago	,Tarrafal (Cidade de Mangui)	,CAPE VERDE,Santiago	,Tarrafal (Cidade de Mangui)	,,,,,
CAPE VERDE,Santo Antão        ,Pombas	,CAPE VERDE,Santo Antão        ,Pombas	,,,,,
CAPE VERDE,Santo Antão        ,Porto Novo	,CAPE VERDE,Santo Antão        ,Porto Novo	,,,,,
CAPE VERDE,Santo Antão        ,Ponta do Sol	,CAPE VERDE,Santo Antão        ,Ponta do Sol	,,,,,
CAPE VERDE,São Nicolau	,Ribeira Brava	,CAPE VERDE,São Nicolau	,Ribeira Brava	,,,,,
CAPE VERDE,São Nicolau	,Tarrafal de São Nicolau	,CAPE VERDE,São Nicolau	,Tarrafal de São Nicolau	,,,,,
CAPE VERDE,"São Vicente (incl. Santa Luzia, Branco & Raso)	",Mindelo	,CAPE VERDE,"São Vicente (incl. Santa Luzia, Branco & Raso)	",Mindelo	,,,,,
