COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
CENTRAL AFRICAN REPUBLIC,Bamingui-Bangoran,Ndélé,RÉPUBLIQUE CENTRAFRICAINE,Bamingui-Bangoran,Ndélé,,,,,
CENTRAL AFRICAN REPUBLIC,Bangui	,Bangui	,RÉPUBLIQUE CENTRAFRICAINE,Bangui	,Bangui	,,,,,
CENTRAL AFRICAN REPUBLIC,Basse-Kotto	,Alindao	,RÉPUBLIQUE CENTRAFRICAINE,Basse-Kotto	,Alindao	,,,,,
CENTRAL AFRICAN REPUBLIC,Basse-Kotto	,Kémbé	,RÉPUBLIQUE CENTRAFRICAINE,Basse-Kotto	,Kémbé	,,,,,
CENTRAL AFRICAN REPUBLIC,Basse-Kotto	,Mobaye	,RÉPUBLIQUE CENTRAFRICAINE,Basse-Kotto	,Mobaye	,,,,,
CENTRAL AFRICAN REPUBLIC,Haute-Kotto	,Bria	,RÉPUBLIQUE CENTRAFRICAINE,Haute-Kotto	,Bria	,,,,,
CENTRAL AFRICAN REPUBLIC,Haut-Mbomou,Obo	,RÉPUBLIQUE CENTRAFRICAINE,Haut-Mbomou,Obo	,,,,,
CENTRAL AFRICAN REPUBLIC,Haut-Mbomou,Zémio	,RÉPUBLIQUE CENTRAFRICAINE,Haut-Mbomou,Zémio	,,,,,
CENTRAL AFRICAN REPUBLIC,Kémo,Dékoa	,RÉPUBLIQUE CENTRAFRICAINE,Kémo,Dékoa	,,,,,
CENTRAL AFRICAN REPUBLIC,Kémo,Sibut	,RÉPUBLIQUE CENTRAFRICAINE,Kémo,Sibut	,,,,,
CENTRAL AFRICAN REPUBLIC,Lobaye	,Boda	,RÉPUBLIQUE CENTRAFRICAINE,Lobaye	,Boda	,,,,,
CENTRAL AFRICAN REPUBLIC,Lobaye	,Mbaïki	,RÉPUBLIQUE CENTRAFRICAINE,Lobaye	,Mbaïki	,,,,,
CENTRAL AFRICAN REPUBLIC,Mambéré-Kadéï	,Berbérati	,RÉPUBLIQUE CENTRAFRICAINE,Mambéré-Kadéï	,Berbérati	,,,,,
CENTRAL AFRICAN REPUBLIC,Mambéré-Kadéï	,Carnot	,RÉPUBLIQUE CENTRAFRICAINE,Mambéré-Kadéï	,Carnot	,,,,,
