COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
CHAD,Barh el Gazel,Moussoro,TCHAD,Barh el Gazel,Moussoro,,,,,
CHAD,Batha,Ati	,TCHAD,Batha,Ati	,,,,,
CHAD,Batha,Oum Hadjer	,TCHAD,Batha,Oum Hadjer	,,,,,
CHAD,Borkou,Faya-Largeau,TCHAD,Borkou,Faya-Largeau,,,,,
CHAD,Chari-Baguirmi,Bousso	,TCHAD,Chari-Baguirmi,Bousso	,,,,,
CHAD,Chari-Baguirmi,Dourbali	,TCHAD,Chari-Baguirmi,Dourbali	,,,,,
CHAD,Chari-Baguirmi,Mandélia	,TCHAD,Chari-Baguirmi,Mandélia	,,,,,
CHAD,Chari-Baguirmi,Massenya	,TCHAD,Chari-Baguirmi,Massenya	,,,,,
CHAD,Ennedi (Ennedi-Est & Ennedi-Ouest)	,Amdjarass,TCHAD,Ennedi (Ennedi-Est & Ennedi-Ouest)	,Amdjarass,,,,,
CHAD,Ennedi (Ennedi-Est & Ennedi-Ouest)	,Fada	,TCHAD,Ennedi (Ennedi-Est & Ennedi-Ouest)	,Fada	,,,,,
CHAD,Guéra	,Bitkine	,TCHAD,Guéra	,Bitkine	,,,,,
CHAD,Guéra	,Mangalmé	,TCHAD,Guéra	,Mangalmé	,,,,,
CHAD,Guéra	,Mongo	,TCHAD,Guéra	,Mongo	,,,,,
CHAD,Hadjer-Lamis	,Bokoro	,TCHAD,Hadjer-Lamis	,Bokoro	,,,,,
CHAD,Hadjer-Lamis	,Massaguet	,TCHAD,Hadjer-Lamis	,Massaguet	,,,,,
CHAD,Hadjer-Lamis	,Massakory	,TCHAD,Hadjer-Lamis	,Massakory	,,,,,
CHAD,Hadjer-Lamis	,Ngama	,TCHAD,Hadjer-Lamis	,Ngama	,,,,,
CHAD,Kanem	,Mao	,TCHAD,Kanem	,Mao	,,,,,
CHAD,Lac	,Bol	,TCHAD,Lac	,Bol	,,,,,
CHAD,Logone Occidental	,Benoye	,TCHAD,Logone Occidental	,Benoye	,,,,,
CHAD,Logone Occidental	,Moundou	,TCHAD,Logone Occidental	,Moundou	,,,,,
CHAD,Logone Occidental	,Goré	,TCHAD,Logone Occidental	,Goré	,,,,,
CHAD,Logone Oriental	,Baïbokoum	,TCHAD,Logone Oriental	,Baïbokoum	,,,,,
CHAD,Logone Oriental	,Bébédjia	,TCHAD,Logone Oriental	,Bébédjia	,,,,,
CHAD,Logone Oriental	,Doba	,TCHAD,Logone Oriental	,Doba	,,,,,
CHAD,Mandoul	,Mandoul	,TCHAD,Mandoul	,Mandoul	,,,,,
CHAD,Mandoul	,Koumra	,TCHAD,Mandoul	,Koumra	,,,,,
CHAD,Mandoul	,Moïssala	,TCHAD,Mandoul	,Moïssala	,,,,,
CHAD,Mayo-Kebbi Est	,Bongor	,TCHAD,Mayo-Kebbi Est	,Bongor	,,,,,
CHAD,Mayo-Kebbi Est	,Fianga	,TCHAD,Mayo-Kebbi Est	,Fianga	,,,,,
CHAD,Mayo-Kebbi Est	,Gounou Gaya	,TCHAD,Mayo-Kebbi Est	,Gounou Gaya	,,,,,
CHAD,Mayo-Kebbi Est	,Guélendeng	,TCHAD,Mayo-Kebbi Est	,Guélendeng	,,,,,
CHAD,Mayo-Kebbi Ouest	,Léré	,TCHAD,Mayo-Kebbi Ouest	,Léré	,,,,,
CHAD,Mayo-Kebbi Ouest	,Pala	,TCHAD,Mayo-Kebbi Ouest	,Pala	,,,,,
CHAD,Moyen-Chari	,Kyabé	,TCHAD,Moyen-Chari	,Kyabé	,,,,,
CHAD,Moyen-Chari	,Maro	,TCHAD,Moyen-Chari	,Maro	,,,,,
CHAD,Moyen-Chari	,Sarh	,TCHAD,Moyen-Chari	,Sarh	,,,,,
CHAD,Ndjamena	,Ndjamena	,TCHAD,Ndjamena	,Ndjamena	,,,,,
CHAD,Ouaddaï,Abéché	,TCHAD,Ouaddaï,Abéché	,,,,,
CHAD,Ouaddaï,Adré	,TCHAD,Ouaddaï,Adré	,,,,,
CHAD,Salamat,Am Timan	,TCHAD,Salamat,Am Timan	,,,,,
CHAD,Sila,Goz Beïda,TCHAD,Sila,Goz Beïda,,,,,
CHAD,Tandjilé,Béré	,TCHAD,Tandjilé,Béré	,,,,,
CHAD,Tandjilé,Kélo	,TCHAD,Tandjilé,Kélo	,,,,,
CHAD,Tandjilé,Laï	,TCHAD,Tandjilé,Laï	,,,,,
CHAD,Tibesti,Bardaï	,TCHAD,Tibesti,Bardaï	,,,,,
CHAD,Wadi Fira (Biltine)	,Biltine	,TCHAD,Wadi Fira (Biltine)	,Biltine	,,,,,
CHAD,Wadi Fira (Biltine)	,Iriba	,TCHAD,Wadi Fira (Biltine)	,Iriba	,,,,,
