COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
CHILE,Antofagasta	,Antofagasta	,CHILI,Antofagasta	,Antofagasta	,,,,,
CHILE,Antofagasta	,Calama	,CHILI,Antofagasta	,Calama	,,,,,
CHILE,Antofagasta	,Tocopilla	,CHILI,Antofagasta	,Tocopilla	,,,,,
CHILE,Arica y Parinacota	,Arica	,CHILI,Arica y Parinacota	,Arica	,,,,,
CHILE,Atacama	,Copiapó	,CHILI,Atacama	,Copiapó	,,,,,
CHILE,Aysén del General Carlos Ibáñez del Campo (Aisén)	,Coyhaique (Coihaique)	,CHILI,Aysén del General Carlos Ibáñez del Campo (Aisén)	,Coyhaique (Coihaique)	,,,,,
CHILE,Biobío (Bío Bío)	,Cañete	,CHILI,Biobío (Bío Bío)	,Cañete	,,,,,
CHILE,Biobío (Bío Bío)	,Chillán	,CHILI,Biobío (Bío Bío)	,Chillán	,,,,,
CHILE,Biobío (Bío Bío)	,Concepción	,CHILI,Biobío (Bío Bío)	,Concepción	,,,,,
CHILE,Biobío (Bío Bío)	,Coronel	,CHILI,Biobío (Bío Bío)	,Coronel	,,,,,
CHILE,Biobío (Bío Bío)	,Curanilahue	,CHILI,Biobío (Bío Bío)	,Curanilahue	,,,,,
CHILE,Biobío (Bío Bío)	,Hualqui	,CHILI,Biobío (Bío Bío)	,Hualqui	,,,,,
CHILE,Biobío (Bío Bío)	,La Laja	,CHILI,Biobío (Bío Bío)	,La Laja	,,,,,
CHILE,Biobío (Bío Bío)	,Lebu	,CHILI,Biobío (Bío Bío)	,Lebu	,,,,,
CHILE,Biobío (Bío Bío)	,Los Ángeles	,CHILI,Biobío (Bío Bío)	,Los Ángeles	,,,,,
CHILE,Biobío (Bío Bío)	,Lota	,CHILI,Biobío (Bío Bío)	,Lota	,,,,,
CHILE,Biobío (Bío Bío)	,Mulchén	,CHILI,Biobío (Bío Bío)	,Mulchén	,,,,,
CHILE,Biobío (Bío Bío)	,Nacimiento	,CHILI,Biobío (Bío Bío)	,Nacimiento	,,,,,
CHILE,Biobío (Bío Bío)	,San Carlos	,CHILI,Biobío (Bío Bío)	,San Carlos	,,,,,
CHILE,Biobío (Bío Bío)	,San Carlos	,CHILI,Biobío (Bío Bío)	,San Carlos	,,,,,
CHILE,Coquimbo	,La Serena	,CHILI,Coquimbo	,La Serena	,,,,,
CHILE,Coquimbo	,Ovalle	,CHILI,Coquimbo	,Ovalle	,,,,,
CHILE,La Araucanía	,Labranza	,CHILI,La Araucanía	,Labranza	,,,,,
CHILE,La Araucanía	,Lautaro	,CHILI,La Araucanía	,Lautaro	,,,,,
CHILE,La Araucanía	,Nueva Imperial	,CHILI,La Araucanía	,Nueva Imperial	,,,,,
