COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
CHINA,Anhui,Anqing,CHINE,Anhui,Anqing,,,,,
CHINA,Anhui,Bengbu,CHINE,Anhui,Bengbu,,,,,
CHINA,Anhui,Bozhou,CHINE,Anhui,Bozhou,,,,,
CHINA,Anhui,Chaohu,CHINE,Anhui,Chaohu,,,,,
CHINA,Anhui,Chizhou,CHINE,Anhui,Chizhou,,,,,
CHINA,Anhui,Chuzhou,CHINE,Anhui,Chuzhou,,,,,
CHINA,Anhui,Fuyang,CHINE,Anhui,Fuyang,,,,,
CHINA,Anhui,Hefei,CHINE,Anhui,Hefei,,,,,
CHINA,Anhui,Huaibei,CHINE,Anhui,Huaibei,,,,,
CHINA,Anhui,Huainan,CHINE,Anhui,Huainan,,,,,
CHINA,Anhui,Huangshan,CHINE,Anhui,Huangshan,,,,,
CHINA,Anhui,Jieshou,CHINE,Anhui,Jieshou,,,,,
CHINA,Anhui,Lu'an,CHINE,Anhui,Lu'an,,,,,
CHINA,Anhui,Ma'anshan,CHINE,Anhui,Ma'anshan,,,,,
CHINA,Anhui,Mingguang,CHINE,Anhui,Mingguang,,,,,
CHINA,Anhui,Ningguo,CHINE,Anhui,Ningguo,,,,,
CHINA,Anhui,Qianshan,CHINE,Anhui,Qianshan,,,,,
CHINA,Anhui,Suzhou,CHINE,Anhui,Suzhou,,,,,
CHINA,Anhui,Tianchang,CHINE,Anhui,Tianchang,,,,,
CHINA,Anhui,Tongcheng,CHINE,Anhui,Tongcheng,,,,,
CHINA,Anhui,Tongling,CHINE,Anhui,Tongling,,,,,
CHINA,Anhui,Wuhu,CHINE,Anhui,Wuhu,,,,,
CHINA,Anhui,Xuancheng,CHINE,Anhui,Xuancheng,,,,,
CHINA,Autonomous,Hong Kong,CHINE,Autonome,Hong Kong,,,,,
CHINA,Autonomous,Macau,CHINE,Autonome,Macau,,,,,
CHINA,Municipal,Beijing,CHINE,Municipal,Beijing,,,,,
CHINA,Municipal,Chongqing,CHINE,Municipal,Chongqing,,,,,
CHINA,Municipal,Shanghai,CHINE,Municipal,Shanghai,,,,,
CHINA,Municipal,Tianjin,CHINE,Municipal,Tianjin,,,,,
CHINA,Fujian,Fu'an,CHINE,Fujian,Fu'an,,,,,
CHINA,Fujian,Fuding,CHINE,Fujian,Fuding,,,,,
CHINA,Fujian,Fuqing,CHINE,Fujian,Fuqing,,,,,
CHINA,Fujian,Fuzhou,CHINE,Fujian,Fuzhou,,,,,
CHINA,Fujian,Jian'ou,CHINE,Fujian,Jian'ou,,,,,
CHINA,Fujian,Jinjiang,CHINE,Fujian,Jinjiang,,,,,
CHINA,Fujian,Longhai,CHINE,Fujian,Longhai,,,,,
CHINA,Fujian,Longyan,CHINE,Fujian,Longyan,,,,,
CHINA,Fujian,Nan'an,CHINE,Fujian,Nan'an,,,,,
CHINA,Fujian,Nanping,CHINE,Fujian,Nanping,,,,,
CHINA,Fujian,Ningde,CHINE,Fujian,Ningde,,,,,
CHINA,Fujian,Putian,CHINE,Fujian,Putian,,,,,
CHINA,Fujian,Quanzhou,CHINE,Fujian,Quanzhou,,,,,
CHINA,Fujian,Sanming,CHINE,Fujian,Sanming,,,,,
CHINA,Fujian,Shaowu,CHINE,Fujian,Shaowu,,,,,
CHINA,Fujian,Shishi,CHINE,Fujian,Shishi,,,,,
CHINA,Fujian,Wuyishan,CHINE,Fujian,Wuyishan,,,,,
CHINA,Fujian,Xiamen,CHINE,Fujian,Xiamen,,,,,
CHINA,Fujian,Yong'an,CHINE,Fujian,Yong'an,,,,,
CHINA,Fujian,Zhangping,CHINE,Fujian,Zhangping,,,,,
CHINA,Fujian,Zhangzhou,CHINE,Fujian,Zhangzhou,,,,,
