COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
COSTA RICA,Alajuela	,Aguas Zarcas	,COSTA RICA,Alajuela	,Aguas Zarcas	,,,,,
COSTA RICA,Alajuela	,Alajuela	,COSTA RICA,Alajuela	,Alajuela	,,,,,
COSTA RICA,Alajuela	,Atenas	,COSTA RICA,Alajuela	,Atenas	,,,,,
COSTA RICA,Alajuela	,Carrillos	,COSTA RICA,Alajuela	,Carrillos	,,,,,
COSTA RICA,Alajuela	,Carrizal	,COSTA RICA,Alajuela	,Carrizal	,,,,,
COSTA RICA,Alajuela	,Florencia	,COSTA RICA,Alajuela	,Florencia	,,,,,
COSTA RICA,Alajuela	,Garita	,COSTA RICA,Alajuela	,Garita	,,,,,
COSTA RICA,Alajuela	,Grecia	,COSTA RICA,Alajuela	,Grecia	,,,,,
COSTA RICA,Alajuela	,La Fortuna	,COSTA RICA,Alajuela	,La Fortuna	,,,,,
COSTA RICA,Alajuela	,Los Chiles	,COSTA RICA,Alajuela	,Los Chiles	,,,,,
COSTA RICA,Alajuela	,Naranjo de Alajuela	,COSTA RICA,Alajuela	,Naranjo de Alajuela	,,,,,
COSTA RICA,Alajuela	,Orotina        ,COSTA RICA,Alajuela	,Orotina        ,,,,,
COSTA RICA,Alajuela	,Palmares de Alajuela	,COSTA RICA,Alajuela	,Palmares de Alajuela	,,,,,
COSTA RICA,Alajuela	,Pital	,COSTA RICA,Alajuela	,Pital	,,,,,
COSTA RICA,Alajuela	,Quesada de San Carlos	,COSTA RICA,Alajuela	,Quesada de San Carlos	,,,,,
COSTA RICA,Alajuela	,San Isidro de Grecia	,COSTA RICA,Alajuela	,San Isidro de Grecia	,,,,,
COSTA RICA,Alajuela	,San José de Grecia	,COSTA RICA,Alajuela	,San José de Grecia	,,,,,
COSTA RICA,Alajuela	,San Pedro de Poás	,COSTA RICA,Alajuela	,San Pedro de Poás	,,,,,
COSTA RICA,Alajuela	,San Rafael de Alajuela	,COSTA RICA,Alajuela	,San Rafael de Alajuela	,,,,,
COSTA RICA,Alajuela	,San Rafael de Guatuso	,COSTA RICA,Alajuela	,San Rafael de Guatuso	,,,,,
COSTA RICA,Alajuela	,San Ramón de los Palmares	,COSTA RICA,Alajuela	,San Ramón de los Palmares	,,,,,
COSTA RICA,Alajuela	,Santa Rosa de Pocosol	,COSTA RICA,Alajuela	,Santa Rosa de Pocosol	,,,,,
COSTA RICA,Alajuela	,Sarchí	,COSTA RICA,Alajuela	,Sarchí	,,,,,
COSTA RICA,Alajuela	,Tacares	,COSTA RICA,Alajuela	,Tacares	,,,,,
COSTA RICA,Alajuela	,Turrúcares	,COSTA RICA,Alajuela	,Turrúcares	,,,,,
COSTA RICA,Alajuela	,Upala	,COSTA RICA,Alajuela	,Upala	,,,,,
COSTA RICA,Alajuela	,Zarcero	,COSTA RICA,Alajuela	,Zarcero	,,,,,
COSTA RICA,Cartago	,Cachí	,COSTA RICA,Cartago	,Cachí	,,,,,
COSTA RICA,Cartago	,Cartago,COSTA RICA,Cartago	,Cartago,,,,,
