COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
CUBA,Artemisa	,Artemisa	,CUBA,Artemisa	,Artemisa	,,,,,
CUBA,Artemisa	,Bauta	,CUBA,Artemisa	,Bauta	,,,,,
CUBA,Artemisa	,Guanajay	,CUBA,Artemisa	,Guanajay	,,,,,
CUBA,Artemisa	,Güira de Melena	,CUBA,Artemisa	,Güira de Melena	,,,,,
CUBA,Artemisa	,San Antonio de los Baños	,CUBA,Artemisa	,San Antonio de los Baños	,,,,,
CUBA,Artemisa	,San Cristóbal	,CUBA,Artemisa	,San Cristóbal	,,,,,
CUBA,Camagüey	,Camagüey	,CUBA,Camagüey	,Camagüey	,,,,,
CUBA,Camagüey	,Florida	,CUBA,Camagüey	,Florida	,,,,,
CUBA,Camagüey	,Nuevitas	,CUBA,Camagüey	,Nuevitas	,,,,,
CUBA,Camagüey	,Vertientes	,CUBA,Camagüey	,Vertientes	,,,,,
CUBA,Ciego de Ávila	,Ciego de Ávila	,CUBA,Ciego de Ávila	,Ciego de Ávila	,,,,,
CUBA,Ciego de Ávila	,Morón	,CUBA,Ciego de Ávila	,Morón	,,,,,
CUBA,Cienfuegos	,Cumanayagua	,CUBA,Cienfuegos	,Cumanayagua	,,,,,
CUBA,Ciudad de la Habana [Havana]	,La Habana [Havana]	,CUBA,Ciudad de la Habana [Havana]	,La Habana [Havana]	,,,,,
CUBA,Granma	,Bayamo	,CUBA,Granma	,Bayamo	,,,,,
CUBA,Granma	,Jiguaní	,CUBA,Granma	,Jiguaní	,,,,,
CUBA,Granma	,Manzanillo	,CUBA,Granma	,Manzanillo	,,,,,
CUBA,Granma	,Niquero	,CUBA,Granma	,Niquero	,,,,,
CUBA,Guantánamo	,Baracoa	,CUBA,Guantánamo	,Baracoa	,,,,,
CUBA,Guantánamo	,Guantánamo	,CUBA,Guantánamo	,Guantánamo	,,,,,
CUBA,Holguín	,Banes	,CUBA,Holguín	,Banes	,,,,,
CUBA,Holguín	,Holguín	,CUBA,Holguín	,Holguín	,,,,,
CUBA,Holguín	,Mayarí	,CUBA,Holguín	,Mayarí	,,,,,
CUBA,Holguín	,Moa	,CUBA,Holguín	,Moa	,,,,,
CUBA,Holguín	,Sagua de Tánamo	,CUBA,Holguín	,Sagua de Tánamo	,,,,,
CUBA,Holguín	,San Germán (Urbano Noris)	,CUBA,Holguín	,San Germán (Urbano Noris)	,,,,,
CUBA,Isla de la Juventud (Isla de Pinos)	,Nueva Gerona	,CUBA,Isla de la Juventud (Isla de Pinos)	,Nueva Gerona	,,,,,
CUBA,Las Tunas	,Amancio	,CUBA,Las Tunas	,Amancio	,,,,,
CUBA,Las Tunas	,Colombia (Santa Lucía)	,CUBA,Las Tunas	,Colombia (Santa Lucía)	,,,,,
CUBA,Las Tunas	,Jobabo	,CUBA,Las Tunas	,Jobabo	,,,,,
CUBA,Las Tunas	,Las Tunas (Victoria de las Tunas)	,CUBA,Las Tunas	,Las Tunas (Victoria de las Tunas)	,,,,,
CUBA,Las Tunas	,Puerto Padre	,CUBA,Las Tunas	,Puerto Padre	,,,,,
CUBA,Matanzas	,Cárdenas	,CUBA,Matanzas	,Cárdenas	,,,,,
CUBA,Matanzas	,Colón	,CUBA,Matanzas	,Colón	,,,,,
CUBA,Matanzas	,Jagüey Grande	,CUBA,Matanzas	,Jagüey Grande	,,,,,
CUBA,Matanzas	,Jovellanos	,CUBA,Matanzas	,Jovellanos	,,,,,
CUBA,Matanzas	,Matanzas	,CUBA,Matanzas	,Matanzas	,,,,,
CUBA,Mayabeque	,Güines	,CUBA,Mayabeque	,Güines	,,,,,
CUBA,Mayabeque	,San José de las Lajas	,CUBA,Mayabeque	,San José de las Lajas	,,,,,
CUBA,Pinar del Río	,Consolación del Sur	,CUBA,Pinar del Río	,Consolación del Sur	,,,,,
CUBA,Pinar del Río	,Pinar del Río	,CUBA,Pinar del Río	,Pinar del Río	,,,,,
CUBA,Sancti Spíritus	,Cabaiguán	,CUBA,Sancti Spíritus	,Cabaiguán	,,,,,
CUBA,Sancti Spíritus	,Jatibonico	,CUBA,Sancti Spíritus	,Jatibonico	,,,,,
CUBA,Sancti Spíritus	,Sancti Spíritus	,CUBA,Sancti Spíritus	,Sancti Spíritus	,,,,,
CUBA,Sancti Spíritus	,Trinidad	,CUBA,Sancti Spíritus	,Trinidad	,,,,,
CUBA,Santiago de Cuba	,Contramaestre	,CUBA,Santiago de Cuba	,Contramaestre	,,,,,
CUBA,Santiago de Cuba	,La Maya	,CUBA,Santiago de Cuba	,La Maya	,,,,,
CUBA,Santiago de Cuba	,Palma Soriano	,CUBA,Santiago de Cuba	,Palma Soriano	,,,,,
CUBA,Santiago de Cuba	,San Luis	,CUBA,Santiago de Cuba	,San Luis	,,,,,
