COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
DOMINICAN REPUBLIC OF CONGO,Bas-Uele,Aketi        ,,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Bas-Uele,"Buta	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Équateur,"Basankusu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Katanga,"Balamba (Kasumbalesa)	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Katanga,"Kambove	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Katanga,"Kipushi	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Katanga,"Likasi	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Katanga,"Lubumbashi	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Katanga,"Mokambo	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Katanga,"Pweto	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Lomami,"Kamina	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Lomami,"Kaniama	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Lomami,"Kipamba (incl. Kikondja)	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Lomami,"Malemba-Nkulu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Haut-Lomami,"Mulongo	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Haut-Uele	","Dungu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Haut-Uele	",Isiro,,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Haut-Uele	","Watsa	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Ituri	","Aru	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Ituri	","Bunia	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Ituri	","Djugu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Ituri	","Mongbwalu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï	","Ilebo	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï	","Luebo	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï	","Mweka	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï	","Tshikapa	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï-Central	","Kananga	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï-Oriental	","Bakwa-Kalonji (Lukalaba)	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï-Oriental	","Katanda	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï-Oriental	","Kenankuna (Kabeya)	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï-Oriental	","Mbuji-Mayi	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï-Oriental	","Miabi	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kasaï-Oriental	","Tshilenge	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kinshasa	","Kinshasa	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Boma	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Inkisi (Kisantu; incl. Kintanu)	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Kananga	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Kasangulu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Kimpese	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Lukula	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Mbanza-Ngungu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Moanda	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kongo Central (Bas-Congo)	","Tshela	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,Kwango,"Kenge	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kwilu	","Bandundu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kwilu	","Bulungu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kwilu	","Diyaba-Lubue	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kwilu	","Idiofa	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kwilu	","Kikwit	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kwilu	","Mangai	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Kwilu	","Masi-Manimba	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Lomami	","Luputa	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Lomami	","Mwene-Ditu	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Lomami	","Lubao	",,,,,,,,
DOMINICAN REPUBLIC OF CONGO,"Lomami	","Kabinda	",,,,,,,,
