COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ECUADOR,Azuay	,Cuenca	,ÉQUATEUR,Azuay	,Cuenca	,,,,,
ECUADOR,Azuay	,Gualaceo	,ÉQUATEUR,Azuay	,Gualaceo	,,,,,
ECUADOR,Bolívar	,Guaranda	,ÉQUATEUR,Bolívar	,Guaranda	,,,,,
ECUADOR,Cañar	,Azogues	,ÉQUATEUR,Cañar	,Azogues	,,,,,
ECUADOR,Cañar	,Cañar	,ÉQUATEUR,Cañar	,Cañar	,,,,,
ECUADOR,Cañar	,La Troncal	,ÉQUATEUR,Cañar	,La Troncal	,,,,,
ECUADOR,Carchi	,San Gabriel (Montúfar)	,ÉQUATEUR,Carchi	,San Gabriel (Montúfar)	,,,,,
ECUADOR,Carchi	,Tulcán	,ÉQUATEUR,Carchi	,Tulcán	,,,,,
ECUADOR,Chimborazo	,Riobamba	,ÉQUATEUR,Chimborazo	,Riobamba	,,,,,
ECUADOR,Cotopaxi	,La Maná	,ÉQUATEUR,Cotopaxi	,La Maná	,,,,,
ECUADOR,Cotopaxi	,Latacunga	,ÉQUATEUR,Cotopaxi	,Latacunga	,,,,,
ECUADOR,El Oro	,Arenillas	,ÉQUATEUR,El Oro	,Arenillas	,,,,,
ECUADOR,El Oro	,El Guabo	,ÉQUATEUR,El Oro	,El Guabo	,,,,,
ECUADOR,El Oro	,Huaquillas	,ÉQUATEUR,El Oro	,Huaquillas	,,,,,
ECUADOR,El Oro	,Machala	,ÉQUATEUR,El Oro	,Machala	,,,,,
ECUADOR,El Oro	,Pasaje	,ÉQUATEUR,El Oro	,Pasaje	,,,,,
ECUADOR,El Oro	,Piñas	,ÉQUATEUR,El Oro	,Piñas	,,,,,
ECUADOR,El Oro	,Santa Rosa	,ÉQUATEUR,El Oro	,Santa Rosa	,,,,,
