COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ESTONIA,Harju	,Aegviidu	,ESTONIE,Harju	,Aegviidu	,,,,,
ESTONIA,Harju	,Kehra	,ESTONIE,Harju	,Kehra	,,,,,
ESTONIA,Harju	,Keila	,ESTONIE,Harju	,Keila	,,,,,
ESTONIA,Harju	,Kiili	,ESTONIE,Harju	,Kiili	,,,,,
ESTONIA,Harju	,Loksa	,ESTONIE,Harju	,Loksa	,,,,,
ESTONIA,Harju	,Maardu	,ESTONIE,Harju	,Maardu	,,,,,
ESTONIA,Harju	,Paldiski	,ESTONIE,Harju	,Paldiski	,,,,,
ESTONIA,Harju	,Saue	,ESTONIE,Harju	,Saue	,,,,,
ESTONIA,Harju	,Tallinn	,ESTONIE,Harju	,Tallinn	,,,,,
ESTONIA,Hiiu	,Kärdla	,ESTONIE,Hiiu	,Kärdla	,,,,,
ESTONIA,Ida-Viru	,Jõhvi	,ESTONIE,Ida-Viru	,Jõhvi	,,,,,
ESTONIA,Ida-Viru	,Kiviõli	,ESTONIE,Ida-Viru	,Kiviõli	,,,,,
ESTONIA,Ida-Viru	,Kohtla-Järve	,ESTONIE,Ida-Viru	,Kohtla-Järve	,,,,,
ESTONIA,Ida-Viru	,Kohtla-Nõmme	,ESTONIE,Ida-Viru	,Kohtla-Nõmme	,,,,,
ESTONIA,Ida-Viru	,Narva	,ESTONIE,Ida-Viru	,Narva	,,,,,
ESTONIA,Ida-Viru	,Narva-Jõesuu	,ESTONIE,Ida-Viru	,Narva-Jõesuu	,,,,,
ESTONIA,Ida-Viru	,Sillamäe	,ESTONIE,Ida-Viru	,Sillamäe	,,,,,
ESTONIA,Järva	,Järva-Jaani	,ESTONIE,Järva	,Järva-Jaani	,,,,,
ESTONIA,Järva	,Türi	,ESTONIE,Järva	,Türi	,,,,,
ESTONIA,Järva	,Paide	,ESTONIE,Järva	,Paide	,,,,,
ESTONIA,Jõgeva	,Jõgeva	,ESTONIE,Jõgeva	,Jõgeva	,,,,,
ESTONIA,Jõgeva	,Mustvee	,ESTONIE,Jõgeva	,Mustvee	,,,,,
ESTONIA,Jõgeva	,Põltsamaa	,ESTONIE,Jõgeva	,Põltsamaa	,,,,,
ESTONIA,Lääne	,Haapsalu	,ESTONIE,Lääne	,Haapsalu	,,,,,
ESTONIA,Lääne-Viru	,Kunda	,ESTONIE,Lääne-Viru	,Kunda	,,,,,
ESTONIA,Lääne-Viru	,Rakvere	,ESTONIE,Lääne-Viru	,Rakvere	,,,,,
ESTONIA,Lääne-Viru	,Tamsalu	,ESTONIE,Lääne-Viru	,Tamsalu	,,,,,
ESTONIA,Lääne-Viru	,Tapa	,ESTONIE,Lääne-Viru	,Tapa	,,,,,
ESTONIA,Pärnu	,Kilingi-Nõmme	,ESTONIE,Pärnu	,Kilingi-Nõmme	,,,,,
ESTONIA,Pärnu	,Lavassaare	,ESTONIE,Pärnu	,Lavassaare	,,,,,
ESTONIA,Pärnu	,Paikuse	,ESTONIE,Pärnu	,Paikuse	,,,,,
ESTONIA,Pärnu	,Pärnu	,ESTONIE,Pärnu	,Pärnu	,,,,,
ESTONIA,Pärnu	,Pärnu-Jaagupi	,ESTONIE,Pärnu	,Pärnu-Jaagupi	,,,,,
ESTONIA,Pärnu	,Sindi	,ESTONIE,Pärnu	,Sindi	,,,,,
ESTONIA,Pärnu	,Tootsi	,ESTONIE,Pärnu	,Tootsi	,,,,,
ESTONIA,Põlva	,Põlva	,ESTONIE,Põlva	,Põlva	,,,,,
ESTONIA,Põlva	,Räpina	,ESTONIE,Põlva	,Räpina	,,,,,
ESTONIA,Rapla	,Järvakandi	,ESTONIE,Rapla	,Järvakandi	,,,,,
ESTONIA,Rapla	,Kohila	,ESTONIE,Rapla	,Kohila	,,,,,
ESTONIA,Rapla	,Märjamaa	,ESTONIE,Rapla	,Märjamaa	,,,,,
ESTONIA,Rapla	,Rapla	,ESTONIE,Rapla	,Rapla	,,,,,
ESTONIA,Saare	,Kuressaare	,ESTONIE,Saare	,Kuressaare	,,,,,
ESTONIA,Tartu	,Tartu	,ESTONIE,Tartu	,Tartu	,,,,,
ESTONIA,Tartu	,Kallaste	,ESTONIE,Tartu	,Kallaste	,,,,,
ESTONIA,Tartu	,Elva	,ESTONIE,Tartu	,Elva	,,,,,
ESTONIA,Valga	,Otepää	,ESTONIE,Valga	,Otepää	,,,,,
ESTONIA,Valga	,Tõrva	,ESTONIE,Valga	,Tõrva	,,,,,
ESTONIA,Valga	,Valga	,ESTONIE,Valga	,Valga	,,,,,
ESTONIA,Viljandi	,Abja-Paluoja	,ESTONIE,Viljandi	,Abja-Paluoja	,,,,,
ESTONIA,Viljandi	,Karksi-Nuia	,ESTONIE,Viljandi	,Karksi-Nuia	,,,,,
ESTONIA,Viljandi	,Mõisaküla	,ESTONIE,Viljandi	,Mõisaküla	,,,,,
ESTONIA,Viljandi	,Viljandi	,ESTONIE,Viljandi	,Viljandi	,,,,,
ESTONIA,Viljandi	,Võhma	,ESTONIE,Viljandi	,Võhma	,,,,,
ESTONIA,Võru	,Antsla	,ESTONIE,Võru	,Antsla	,,,,,
ESTONIA,Võru	,Võru	,ESTONIE,Võru	,Võru	,,,,,
