COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ETHIOPIA,Addis Ababa,Addis Ababa,ETHIOPIA,Addis Abeba,Addis Abeba,ETHIOPIA,Addis Abeba,Addis Abeba,,
ETHIOPIA,Gambela,Gambela,ETHIOPIA,Gambela,Gambela,ETHIOPIA,Gambela,Gambela,,
ETHIOPIA,Amhara,Gondar,ETHIOPIA,Amhara,Gondar,ETHIOPIA,Amhara,Gondar,,
ETHIOPIA,Amhara,Bahir Dar,ETHIOPIA,Amhara,Bahir Dar,ETHIOPIA,Amhara,Bahir Dar,,
ETHIOPIA,Amhara,Dessie ,ETHIOPIA,Amhara,Dessie ,ETHIOPIA,Amhara,Dessie ,,
ETHIOPIA,Amhara,Debre Birhan ,ETHIOPIA,Amhara,Debre Birhan ,ETHIOPIA,Amhara,Debre Birhan ,,
ETHIOPIA,Amhara,Debre Markos ,ETHIOPIA,Amhara,Debre Markos ,ETHIOPIA,Amhara,Debre Markos ,,
ETHIOPIA,Amhara,Kombolcha ,ETHIOPIA,Amhara,Kombolcha ,ETHIOPIA,Amhara,Kombolcha ,,
ETHIOPIA,Amhara,Debre Tabor,ETHIOPIA,Amhara,Debre Tabor,ETHIOPIA,Amhara,Debre Tabor,,
ETHIOPIA,Amhara,Weldiya,ETHIOPIA,Amhara,Weldiya,ETHIOPIA,Amhara,Weldiya,,
ETHIOPIA,Amhara,Kobo,ETHIOPIA,Amhara,Kobo,ETHIOPIA,Amhara,Kobo,,
ETHIOPIA,Amhara,Metema,ETHIOPIA,Amhara,Metema,ETHIOPIA,Amhara,Metema,,
ETHIOPIA,Amhara,Azezo,ETHIOPIA,Amhara,Azezo,ETHIOPIA,Amhara,Azezo,,
ETHIOPIA,Amhara,Bure,ETHIOPIA,Amhara,Bure,ETHIOPIA,Amhara,Bure,,
ETHIOPIA,Amhara,Mota,ETHIOPIA,Amhara,Mota,ETHIOPIA,Amhara,Mota,,
ETHIOPIA,Amhara,Sekota,ETHIOPIA,Amhara,Sekota,ETHIOPIA,Amhara,Sekota,,
ETHIOPIA,Amhara,Dangla ,ETHIOPIA,Amhara,Dangila,ETHIOPIA,Amhara,Dangila,,
ETHIOPIA,Amhara,Gorgora,ETHIOPIA,Amhara,Gorgora,ETHIOPIA,Amhara,Gorgora,,
ETHIOPIA,Amhara,Chagni ,ETHIOPIA,Amhara,Chagne ,ETHIOPIA,Amhara,Chagne ,,
ETHIOPIA,Amhara,Chagni ,ETHIOPIA,Amhara,Chagne ,ETHIOPIA,Amhara,Chagne ,,
ETHIOPIA,Amhara,Kemise ,ETHIOPIA,Amhara,Kemisie,ETHIOPIA,Amhara,Kemisie,,
ETHIOPIA,Amhara,Wereta ,ETHIOPIA,Amhara,Werota,ETHIOPIA,Amhara,Werota,,
ETHIOPIA,Amhara,Injibara,ETHIOPIA,Amhara,Injibara,ETHIOPIA,Amhara,Injibara,,
ETHIOPIA,Amhara,Dembecha,ETHIOPIA,Amhara,Dembecha,ETHIOPIA,Amhara,Dembecha,,
ETHIOPIA,Amhara,Nefas Mewcha,ETHIOPIA,Amhara,Nefas Mewcha,ETHIOPIA,Amhara,Nefas Mewcha,,
ETHIOPIA,Amhara,Adet,ETHIOPIA,Amhara,Adet,ETHIOPIA,Amhara,Adet,,
ETHIOPIA,Amhara,Merawi,ETHIOPIA,Amhara,Merawi,ETHIOPIA,Amhara,Merawi,,
ETHIOPIA,Amhara,Bati,ETHIOPIA,Amhara,Bati,ETHIOPIA,Amhara,Bati,,
ETHIOPIA,Amhara,Dabat,ETHIOPIA,Amhara,Dabat,ETHIOPIA,Amhara,Dabat,,
ETHIOPIA,Amhara,Shewa Robit,ETHIOPIA,Amhara,Shewa Robit,ETHIOPIA,Amhara,Shewa Robit,,
ETHIOPIA,Amhara,Lalibela,ETHIOPIA,Amhara,Lalibela,ETHIOPIA,Amhara,Lalibela,,
ETHIOPIA,Amhara,Tis Abay,ETHIOPIA,Amhara,Tis Abay,ETHIOPIA,Amhara,Tis Abay,,
ETHIOPIA,Amhara,Bichena,ETHIOPIA,Amhara,Bichena,ETHIOPIA,Amhara,Bichena,,
ETHIOPIA,Amhara,Mersa,ETHIOPIA,Amhara,Mersa,ETHIOPIA,Amhara,Mersa,,
ETHIOPIA,Amhara,Addis Zemen,ETHIOPIA,Amhara,Addis Zemen,ETHIOPIA,Amhara,Addis Zemen,,
ETHIOPIA,Amhara,Ayikel ,ETHIOPIA,Amhara,Chilga,ETHIOPIA,Amhara,Chilga,,
ETHIOPIA,Amhara,Mekane Yesus,ETHIOPIA,Amhara,Mekane Yesus,ETHIOPIA,Amhara,Mekane Yesus,,
ETHIOPIA,Amhara,Were Ilu,ETHIOPIA,Amhara,Were Ilu,ETHIOPIA,Amhara,Were Ilu,,
ETHIOPIA,Amhara,Addi Arkay,ETHIOPIA,Amhara,Addi Arkay,ETHIOPIA,Amhara,Addi Arkay,,
ETHIOPIA,Amhara,Debre Sina,ETHIOPIA,Amhara,Debre Sina,ETHIOPIA,Amhara,Debre Sina,,
ETHIOPIA,Amhara,Dejen,ETHIOPIA,Amhara,Dejen,ETHIOPIA,Amhara,Dejen,,
ETHIOPIA,Amhara,Debre Werk,ETHIOPIA,Amhara,Debre Werk,ETHIOPIA,Amhara,Debre Werk,,
ETHIOPIA,Amhara,Ankober,ETHIOPIA,Amhara,Ankober,ETHIOPIA,Amhara,Ankober,,
ETHIOPIA,Amhara,Amanuel,ETHIOPIA,Amhara,Amanuel,ETHIOPIA,Amhara,Amanuel,,
ETHIOPIA,Afar,Awash,ETHIOPIA,Afar,Awash,ETHIOPIA,Afar,Awash,,
ETHIOPIA,Afar,Dubti,ETHIOPIA,Afar,Dubti,ETHIOPIA,Afar,Dubti,,
ETHIOPIA,Afar,Logia,ETHIOPIA,Afar,Logia,ETHIOPIA,Afar,Logia,,
ETHIOPIA,Afar,Asayita ,ETHIOPIA,Afar,Asayita ,ETHIOPIA,Afar,Asayita ,,
ETHIOPIA,Afar,Asayita ,ETHIOPIA,Afar,Asayita ,ETHIOPIA,Afar,Asayita ,,
ETHIOPIA,Benishangul-Gumuz,Assosa ,ETHIOPIA,Benishangul-Gumuz,Assosa ,ETHIOPIA,Benishangul-Gumuz,Assosa ,,
ETHIOPIA,Dire Dawa,Dire Dawa,ETHIOPIA,Dire Dawa,Dire Dawa,ETHIOPIA,Dire Dawa,Dire Dawa,,
