COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
GHANA,Ashanti	,Agogo	,GHANA,Ashanti	,Agogo	,,,,,
GHANA,Ashanti	,Ahwiaa	,GHANA,Ashanti	,Ahwiaa	,,,,,
GHANA,Ashanti	,Bekwai	,GHANA,Ashanti	,Bekwai	,,,,,
GHANA,Ashanti	,Effiduase	,GHANA,Ashanti	,Effiduase	,,,,,
GHANA,Ashanti	,Ejura,GHANA,Ashanti	,Ejura,,,,,
GHANA,Ashanti	,Konongo	,GHANA,Ashanti	,Konongo	,,,,,
GHANA,Ashanti	,Kumasi (incl. Tafo)	,GHANA,Ashanti	,Kumasi (incl. Tafo)	,,,,,
GHANA,Ashanti	,Mampong	,GHANA,Ashanti	,Mampong	,,,,,
GHANA,Ashanti	,Obuasi	,GHANA,Ashanti	,Obuasi	,,,,,
GHANA,Brong Ahafo	,Atebubu	,GHANA,Brong Ahafo	,Atebubu	,,,,,
GHANA,Brong Ahafo	,Berekum	,GHANA,Brong Ahafo	,Berekum	,,,,,
GHANA,Brong Ahafo	,Dormaa Ahenkro	,GHANA,Brong Ahafo	,Dormaa Ahenkro	,,,,,
GHANA,Brong Ahafo	,Kintampo	,GHANA,Brong Ahafo	,Kintampo	,,,,,
GHANA,Brong Ahafo	,Nkoranza	,GHANA,Brong Ahafo	,Nkoranza	,,,,,
GHANA,Brong Ahafo	,Nsuatre	,GHANA,Brong Ahafo	,Nsuatre	,,,,,
GHANA,Brong Ahafo	,Sunyani	,GHANA,Brong Ahafo	,Sunyani	,,,,,
GHANA,Brong Ahafo	,Techiman	,GHANA,Brong Ahafo	,Techiman	,,,,,
GHANA,Brong Ahafo	,Wenchi	,GHANA,Brong Ahafo	,Wenchi	,,,,,
GHANA,Brong Ahafo	,Yeji	,GHANA,Brong Ahafo	,Yeji	,,,,,
GHANA,Central	,Agona Swedru	,GHANA,Central	,Agona Swedru	,,,,,
GHANA,Central	,Assin Fosu	,GHANA,Central	,Assin Fosu	,,,,,
GHANA,Central	,Buduburam	,GHANA,Central	,Buduburam	,,,,,
GHANA,Central	,Cape Coast	,GHANA,Central	,Cape Coast	,,,,,
GHANA,Central	,Dunkwa-on-Offin	,GHANA,Central	,Dunkwa-on-Offin	,,,,,
GHANA,Central	,Elmina	,GHANA,Central	,Elmina	,,,,,
GHANA,Central	,Mankessim	,GHANA,Central	,Mankessim	,,,,,
GHANA,Central	,Oduponkpehe (Kasoa)	,GHANA,Central	,Oduponkpehe (Kasoa)	,,,,,
GHANA,Central	,Winneba	,GHANA,Central	,Winneba	,,,,,
GHANA,Eastern	,Akim Oda	,GHANA,Eastern	,Akim Oda	,,,,,
GHANA,Eastern	,Akwatia	,GHANA,Eastern	,Akwatia	,,,,,
GHANA,Eastern	,Asamankese	,GHANA,Eastern	,Asamankese	,,,,,
GHANA,Eastern	,Kade	,GHANA,Eastern	,Kade	,,,,,
GHANA,Eastern	,Koforidua	,GHANA,Eastern	,Koforidua	,,,,,
GHANA,Eastern	,New Tafo	,GHANA,Eastern	,New Tafo	,,,,,
GHANA,Eastern	,Nkawkaw	,GHANA,Eastern	,Nkawkaw	,,,,,
GHANA,Eastern	,Nsawam	,GHANA,Eastern	,Nsawam	,,,,,
GHANA,Eastern	,Suhum	,GHANA,Eastern	,Suhum	,,,,,
GHANA,Greater Accra	,"Accra (incl. Teshie, Nungua)	",GHANA,Greater Accra	,"Accra (incl. Teshie, Nungua)	",,,,,
GHANA,Greater Accra	,Adenta East	,GHANA,Greater Accra	,Adenta East	,,,,,
GHANA,Greater Accra	,Amanfrom	,GHANA,Greater Accra	,Amanfrom	,,,,,
GHANA,Greater Accra	,Ashaiman (Ashiaman)	,GHANA,Greater Accra	,Ashaiman (Ashiaman)	,,,,,
GHANA,Greater Accra	,Awoshie	,GHANA,Greater Accra	,Awoshie	,,,,,
GHANA,Greater Accra	,Dome	,GHANA,Greater Accra	,Dome	,,,,,
GHANA,Greater Accra	,Gbawe	,GHANA,Greater Accra	,Gbawe	,,,,,
GHANA,Greater Accra	,Lashibi	,GHANA,Greater Accra	,Lashibi	,,,,,
GHANA,Greater Accra	,Madina	,GHANA,Greater Accra	,Madina	,,,,,
GHANA,Greater Accra	,Mandela	,GHANA,Greater Accra	,Mandela	,,,,,
GHANA,Greater Accra	,New Achimota	,GHANA,Greater Accra	,New Achimota	,,,,,
GHANA,Greater Accra	,Sakumono	,GHANA,Greater Accra	,Sakumono	,,,,,
GHANA,Greater Accra	,Taifa	,GHANA,Greater Accra	,Taifa	,,,,,
GHANA,Greater Accra	,Tema	,GHANA,Greater Accra	,Tema	,,,,,
GHANA,Greater Accra	,Tema New Town	,GHANA,Greater Accra	,Tema New Town	,,,,,
GHANA,Northern	,Bimbilla	,GHANA,Northern	,Bimbilla	,,,,,
GHANA,Northern	,Savelugu	,GHANA,Northern	,Savelugu	,,,,,
GHANA,Northern	,Tamale	,GHANA,Northern	,Tamale	,,,,,
GHANA,Northern	,Yendi	,GHANA,Northern	,Yendi	,,,,,
GHANA,Upper East	,Bawku	,GHANA,Upper East	,Bawku	,,,,,
GHANA,Upper East	,Bolgatanga	,GHANA,Upper East	,Bolgatanga	,,,,,
GHANA,Upper West	,Wa	,GHANA,Upper West	,Wa	,,,,,
