COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
Guinea,Boké,Boké,Guinée,Boké,Boké,,,,,
Guinea,Boké,Kamsar,Guinée,Boké,Kamsar,,,,,
Guinea,Boké,Boffa,Guinée,Boké,Boffa,,,,,
Guinea,Boké,Koundara,Guinée,Boké,Koundara,,,,,
Guinea,Boké,Gaoual,Guinée,Boké,Gaoual,,,,,
Guinea,Boké,Fria,Guinée,Boké,Fria,,,,,
Guinea,Conakry,Conakry ,Guinée,Conakry,Conakry ,,,,,
Guinea,Labé,Labé,Guinée,Labé,Labé,,,,,
Guinea,Labé,Koubia,Guinée,Labé,Koubia,,,,,
Guinea,Labé,Lélouma,Guinée,Labé,Lélouma,,,,,
Guinea,Labé,Mali,Guinée,Labé,Mali,,,,,
Guinea,Labé,Tougué,Guinée,Labé,Tougué,,,,,
Guinea,Faranah,Dabola,Guinée,Faranah,Dabola,,,,,
Guinea,Faranah,Dinguiraye,Guinée,Faranah,Dinguiraye,,,,,
Guinea,Faranah,Faranah,Guinée,Faranah,Faranah,,,,,
Guinea,Faranah,Kissidougou,Guinée,Faranah,Kissidougou,,,,,
Guinea,Kankan,Siguiri,Guinée,Kankan,Siguiri,,,,,
Guinea,Kankan,Mandiana,Guinée,Kankan,Mandiana,,,,,
Guinea,Kankan,Kouroussa,Guinée,Kankan,Kouroussa,,,,,
Guinea,Kankan,Kérouane,Guinée,Kankan,Kérouane,,,,,
Guinea,Kankan,Kérouane,Guinée,Kankan,Kérouane,,,,,
Guinea,Kindia,Coyah,Guinée,Kindia,Coyah,,,,,
Guinea,Kindia,Dubréka,Guinée,Kindia,Dubréka,,,,,
Guinea,Kindia,Forécariah,Guinée,Kindia,Forécariah,,,,,
Guinea,Kindia,Kindia,Guinée,Kindia,Kindia,,,,,
Guinea,Kindia,Manéah,Guinée,Kindia,Manéah,,,,,
Guinea,Kindia,Télimélé,Guinée,Kindia,Télimélé,,,,,
Guinea,Mamou,Pita,Guinée,Mamou,Pita,,,,,
Guinea,Mamou,Mamou,Guinée,Mamou,Mamou,,,,,
Guinea,Mamou,Dalaba,Guinée,Mamou,Dalaba,,,,,
Guinea,"Nzérékoré	",Beyla,Guinée,"Nzérékoré	",Beyla,,,,,
Guinea,"Nzérékoré	",Guéckédou (Guéckédougou),Guinée,"Nzérékoré	",Guéckédou (Guéckédougou),,,,,
Guinea,"Nzérékoré	",Lola,Guinée,"Nzérékoré	",Lola,,,,,
Guinea,"Nzérékoré	",Macenta,Guinée,"Nzérékoré	",Macenta,,,,,
Guinea,"Nzérékoré	",Nzérékoré,Guinée,"Nzérékoré	",Nzérékoré,,,,,
Guinea,"Nzérékoré	",Yomou,Guinée,"Nzérékoré	",Yomou,,,,,
