COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
INDONESIA,Bali,Denpasar,INDONÉSIE,Bali,Denpasar,,,,,
INDONESIA,Java,Bandung,INDONÉSIE,Java,Bandung,,,,,
INDONESIA,Java,Batu,INDONÉSIE,Java,Batu,,,,,
INDONESIA,Java,Bekasi,INDONÉSIE,Java,Bekasi,,,,,
INDONESIA,Java,Blitar,INDONÉSIE,Java,Blitar,,,,,
INDONESIA,Java,Bogor,INDONÉSIE,Java,Bogor,,,,,
INDONESIA,Java,Cianjur,INDONÉSIE,Java,Cianjur,,,,,
INDONESIA,Java,Cilegon,INDONÉSIE,Java,Cilegon,,,,,
INDONESIA,Java,Cimahi,INDONÉSIE,Java,Cimahi,,,,,
INDONESIA,Java,Cirebon,INDONÉSIE,Java,Cirebon,,,,,
INDONESIA,Java,Depok,INDONÉSIE,Java,Depok,,,,,
INDONESIA,Java,Jakarta,INDONÉSIE,Java,Jakarta,,,,,
INDONESIA,Java,Madiun,INDONÉSIE,Java,Madiun,,,,,
INDONESIA,Java,Magelang,INDONÉSIE,Java,Magelang,,,,,
INDONESIA,Java,Malang,INDONÉSIE,Java,Malang,,,,,
INDONESIA,Java,Mojokerto,INDONÉSIE,Java,Mojokerto,,,,,
INDONESIA,Java,Pasuruan,INDONÉSIE,Java,Pasuruan,,,,,
INDONESIA,Java,Pekalongan,INDONÉSIE,Java,Pekalongan,,,,,
INDONESIA,Java,Probolinggo,INDONÉSIE,Java,Probolinggo,,,,,
INDONESIA,Java,Salatiga,INDONÉSIE,Java,Salatiga,,,,,
INDONESIA,Java,Semarang,INDONÉSIE,Java,Semarang,,,,,
INDONESIA,Java,South Tangerang,INDONÉSIE,Java,South Tangerang,,,,,
INDONESIA,Java,Sukabumi,INDONÉSIE,Java,Sukabumi,,,,,
INDONESIA,Java,Surabaya,INDONÉSIE,Java,Surabaya,,,,,
INDONESIA,Java,Surakarta,INDONÉSIE,Java,Surakarta,,,,,
INDONESIA,Java,Tasikmalaya,INDONÉSIE,Java,Tasikmalaya,,,,,
INDONESIA,Java,Tangerang,INDONÉSIE,Java,Tangerang,,,,,
INDONESIA,Java,Tegal,INDONÉSIE,Java,Tegal,,,,,
INDONESIA,Java,Yogyakarta,INDONÉSIE,Java,Yogyakarta,,,,,
INDONESIA,Java,Kediri,INDONÉSIE,Java,Kediri,,,,,
INDONESIA,Java,Serang,INDONÉSIE,Java,Serang,,,,,
INDONESIA,Java,Purwokerto,INDONÉSIE,Java,Purwokerto,,,,,
INDONESIA,Kalimantan,Balikpapan,INDONÉSIE,Kalimantan,Balikpapan,,,,,
INDONESIA,Kalimantan,Banjarbaru,INDONÉSIE,Kalimantan,Banjarbaru,,,,,
INDONESIA,Kalimantan,Banjarmasin,INDONÉSIE,Kalimantan,Banjarmasin,,,,,
INDONESIA,Kalimantan,Bontang,INDONÉSIE,Kalimantan,Bontang,,,,,
INDONESIA,Kalimantan,Palangkaraya,INDONÉSIE,Kalimantan,Palangkaraya,,,,,
INDONESIA,Kalimantan,Pontianak,INDONÉSIE,Kalimantan,Pontianak,,,,,
INDONESIA,Kalimantan,Samarinda,INDONÉSIE,Kalimantan,Samarinda,,,,,
INDONESIA,Kalimantan,Singkawang,INDONÉSIE,Kalimantan,Singkawang,,,,,
INDONESIA,Kalimantan,Tarakan,INDONÉSIE,Kalimantan,Tarakan,,,,,
INDONESIA,Kalimantan,Tenggarong,INDONÉSIE,Kalimantan,Tenggarong,,,,,
INDONESIA,Maluku,Ambon,INDONÉSIE,Maluku,Ambon,,,,,
INDONESIA,Maluku,Tual,INDONÉSIE,Maluku,Tual,,,,,
INDONESIA,Maluku,Ternate,INDONÉSIE,Maluku,Ternate,,,,,
INDONESIA,Maluku,Tidore,INDONÉSIE,Maluku,Tidore,,,,,
INDONESIA,Nusa Tenggara,Bima,INDONÉSIE,Nusa Tenggara,Bima,,,,,
INDONESIA,Nusa Tenggara,Mataram,INDONÉSIE,Nusa Tenggara,Mataram,,,,,
INDONESIA,Nusa Tenggara,Kupang,INDONÉSIE,Nusa Tenggara,Kupang,,,,,
INDONESIA,Nusa Tenggara,Atambua,INDONÉSIE,Nusa Tenggara,Atambua,,,,,
INDONESIA,Papua,Jayapura,INDONÉSIE,Papua,Jayapura,,,,,
INDONESIA,Papua,Merauke,INDONÉSIE,Papua,Merauke,,,,,
INDONESIA,Papua Barat,Kota Sorong,INDONÉSIE,Papua Barat,Kota Sorong,,,,,
INDONESIA,Papua Barat,Manokwari,INDONÉSIE,Papua Barat,Manokwari,,,,,
INDONESIA,Sulawesi,Bau-Bau,INDONÉSIE,Sulawesi,Bau-Bau,,,,,
INDONESIA,Sulawesi,Bitung,INDONÉSIE,Sulawesi,Bitung,,,,,
INDONESIA,Sulawesi,Gorontalo,INDONÉSIE,Sulawesi,Gorontalo,,,,,
INDONESIA,Sulawesi,Kendari,INDONÉSIE,Sulawesi,Kendari,,,,,
INDONESIA,Sulawesi,Makassar,INDONÉSIE,Sulawesi,Makassar,,,,,
INDONESIA,Sulawesi,Manado,INDONÉSIE,Sulawesi,Manado,,,,,
INDONESIA,Sulawesi,Palu,INDONÉSIE,Sulawesi,Palu,,,,,
INDONESIA,Sulawesi,Pare-Pare,INDONÉSIE,Sulawesi,Pare-Pare,,,,,
INDONESIA,Sulawesi,Palopo,INDONÉSIE,Sulawesi,Palopo,,,,,
INDONESIA,Sulawesi,Tomohon,INDONÉSIE,Sulawesi,Tomohon,,,,,
INDONESIA,Sulawesi,Banda Aceh,INDONÉSIE,Sulawesi,Banda Aceh,,,,,
INDONESIA,Sulawesi,Bandar Lampung,INDONÉSIE,Sulawesi,Bandar Lampung,,,,,
INDONESIA,Sulawesi,Batam,INDONÉSIE,Sulawesi,Batam,,,,,
INDONESIA,Sulawesi,Bengkulu,INDONÉSIE,Sulawesi,Bengkulu,,,,,
INDONESIA,Sulawesi,Blangkejeren,INDONÉSIE,Sulawesi,Blangkejeren,,,,,
INDONESIA,Sulawesi,Binjai,INDONÉSIE,Sulawesi,Binjai,,,,,
INDONESIA,Sulawesi,Bireuen,INDONÉSIE,Sulawesi,Bireuen,,,,,
INDONESIA,Sulawesi,Bukittinggi,INDONÉSIE,Sulawesi,Bukittinggi,,,,,
INDONESIA,Sulawesi,Dumai,INDONÉSIE,Sulawesi,Dumai,,,,,
INDONESIA,Sulawesi,Jambi,INDONÉSIE,Sulawesi,Jambi,,,,,
INDONESIA,Sulawesi,Langsa,INDONÉSIE,Sulawesi,Langsa,,,,,
INDONESIA,Sulawesi,Lhokseumawe,INDONÉSIE,Sulawesi,Lhokseumawe,,,,,
INDONESIA,Sulawesi,Lubuklinggau,INDONÉSIE,Sulawesi,Lubuklinggau,,,,,
INDONESIA,Sulawesi,Meulaboh,INDONÉSIE,Sulawesi,Meulaboh,,,,,
INDONESIA,Sulawesi,Medan,INDONÉSIE,Sulawesi,Medan,,,,,
INDONESIA,Sulawesi,Metro,INDONÉSIE,Sulawesi,Metro,,,,,
INDONESIA,Sulawesi,Padang,INDONÉSIE,Sulawesi,Padang,,,,,
INDONESIA,Sulawesi,Padang Panjang,INDONÉSIE,Sulawesi,Padang Panjang,,,,,
INDONESIA,Sulawesi,Padang Sidempuan,INDONÉSIE,Sulawesi,Padang Sidempuan,,,,,
INDONESIA,Sulawesi,Pagar Alam,INDONÉSIE,Sulawesi,Pagar Alam,,,,,
INDONESIA,Sulawesi,Palembang,INDONÉSIE,Sulawesi,Palembang,,,,,
INDONESIA,Sulawesi,Pangkal Pinang,INDONÉSIE,Sulawesi,Pangkal Pinang,,,,,
INDONESIA,Sulawesi,Pariaman,INDONÉSIE,Sulawesi,Pariaman,,,,,
INDONESIA,Sulawesi,Pekanbaru,INDONÉSIE,Sulawesi,Pekanbaru,,,,,
INDONESIA,Sulawesi,Pematang Siantar,INDONÉSIE,Sulawesi,Pematang Siantar,,,,,
INDONESIA,Sulawesi,Prabumulih,INDONÉSIE,Sulawesi,Prabumulih,,,,,
