COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
IRELAND,Connacht	,Ballina	,IRLANDE,Connacht	,Ballina	,,,,,
IRELAND,Connacht	,Ballinasloe	,IRLANDE,Connacht	,Ballinasloe	,,,,,
IRELAND,Connacht	,Castlebar	,IRLANDE,Connacht	,Castlebar	,,,,,
IRELAND,Connacht	,Galway (An Ghaillimh)	,IRLANDE,Connacht	,Galway (An Ghaillimh)	,,,,,
IRELAND,Connacht	,Loughrea	,IRLANDE,Connacht	,Loughrea	,,,,,
IRELAND,Connacht	,Oranmore	,IRLANDE,Connacht	,Oranmore	,,,,,
IRELAND,Connacht	,Roscommon	,IRLANDE,Connacht	,Roscommon	,,,,,
IRELAND,Connacht	,Sligo (Sligeach)	,IRLANDE,Connacht	,Sligo (Sligeach)	,,,,,
IRELAND,Connacht	,Tuam	,IRLANDE,Connacht	,Tuam	,,,,,
IRELAND,Connacht	,Westport	,IRLANDE,Connacht	,Westport	,,,,,
IRELAND,Leinster	,Ardee	,IRLANDE,Leinster	,Ardee	,,,,,
IRELAND,Leinster	,Arklow (Antinbhear Mor)	,IRLANDE,Leinster	,Arklow (Antinbhear Mor)	,,,,,
IRELAND,Leinster	,Ashbourne	,IRLANDE,Leinster	,Ashbourne	,,,,,
IRELAND,Leinster	,Athlone (Áth Luain)	,IRLANDE,Leinster	,Athlone (Áth Luain)	,,,,,
IRELAND,Leinster	,Athy	,IRLANDE,Leinster	,Athy	,,,,,
IRELAND,Leinster	,Balbriggan	,IRLANDE,Leinster	,Balbriggan	,,,,,
IRELAND,Leinster	,Blessington (Ballycomeen)	,IRLANDE,Leinster	,Blessington (Ballycomeen)	,,,,,
IRELAND,Leinster	,Bray (Brí Chualann)	,IRLANDE,Leinster	,Bray (Brí Chualann)	,,,,,
IRELAND,Leinster	,Carlow (Ceatharlach)	,IRLANDE,Leinster	,Carlow (Ceatharlach)	,,,,,
IRELAND,Leinster	,Celbridge	,IRLANDE,Leinster	,Celbridge	,,,,,
IRELAND,Leinster	,Clane	,IRLANDE,Leinster	,Clane	,,,,,
IRELAND,Leinster	,Donabate	,IRLANDE,Leinster	,Donabate	,,,,,
IRELAND,Leinster	,Drogheda (Droichead Átha)	,IRLANDE,Leinster	,Drogheda (Droichead Átha)	,,,,,
IRELAND,Leinster	,Droichead Nua (Newbridge)	,IRLANDE,Leinster	,Droichead Nua (Newbridge)	,,,,,
IRELAND,Leinster	,Dublin (Baile Átha Cliath)	,IRLANDE,Leinster	,Dublin (Baile Átha Cliath)	,,,,,
IRELAND,Leinster	,Dunboyne	,IRLANDE,Leinster	,Dunboyne	,,,,,
IRELAND,Leinster	,Dundalk (Dún Dealgan)	,IRLANDE,Leinster	,Dundalk (Dún Dealgan)	,,,,,
IRELAND,Leinster	,Edenderry	,IRLANDE,Leinster	,Edenderry	,,,,,
IRELAND,Leinster	,Enniscorthy	,IRLANDE,Leinster	,Enniscorthy	,,,,,
IRELAND,Leinster	,Gorey	,IRLANDE,Leinster	,Gorey	,,,,,
IRELAND,Leinster	,Greystones (incl. Delgany)	,IRLANDE,Leinster	,Greystones (incl. Delgany)	,,,,,
IRELAND,Leinster	,Kells (Ceannanus Mór)	,IRLANDE,Leinster	,Kells (Ceannanus Mór)	,,,,,
IRELAND,Leinster	,Kilcock	,IRLANDE,Leinster	,Kilcock	,,,,,
IRELAND,Leinster	,Kildare	,IRLANDE,Leinster	,Kildare	,,,,,
IRELAND,Leinster	,Kilkenny (Cill Choinnigh)	,IRLANDE,Leinster	,Kilkenny (Cill Choinnigh)	,,,,,
IRELAND,Leinster	,Kinsealy - Drinan	,IRLANDE,Leinster	,Kinsealy - Drinan	,,,,,
IRELAND,Leinster	,Laytown (- Bettystown - Mornington - Donacarney)	,IRLANDE,Leinster	,Laytown (- Bettystown - Mornington - Donacarney)	,,,,,
IRELAND,Leinster	,Leixlip	,IRLANDE,Leinster	,Leixlip	,,,,,
IRELAND,Leinster	,Longford	,IRLANDE,Leinster	,Longford	,,,,,
IRELAND,Leinster	,Lusk	,IRLANDE,Leinster	,Lusk	,,,,,
IRELAND,Leinster	,Malahide	,IRLANDE,Leinster	,Malahide	,,,,,
IRELAND,Leinster	,Maynooth	,IRLANDE,Leinster	,Maynooth	,,,,,
IRELAND,Leinster	,Mountmellick	,IRLANDE,Leinster	,Mountmellick	,,,,,
IRELAND,Leinster	,Mullingar	,IRLANDE,Leinster	,Mullingar	,,,,,
IRELAND,Leinster	,Naas	,IRLANDE,Leinster	,Naas	,,,,,
IRELAND,Leinster	,Navan (An Uaimh)	,IRLANDE,Leinster	,Navan (An Uaimh)	,,,,,
IRELAND,Leinster	,New Ross	,IRLANDE,Leinster	,New Ross	,,,,,
IRELAND,Leinster	,Portarlington	,IRLANDE,Leinster	,Portarlington	,,,,,
IRELAND,Leinster	,Portlaoise (Maryborough)	,IRLANDE,Leinster	,Portlaoise (Maryborough)	,,,,,
IRELAND,Leinster	,Portmarnock	,IRLANDE,Leinster	,Portmarnock	,,,,,
IRELAND,Leinster	,Ratoath	,IRLANDE,Leinster	,Ratoath	,,,,,
IRELAND,Leinster	,Rush	,IRLANDE,Leinster	,Rush	,,,,,
IRELAND,Leinster	,Sallins	,IRLANDE,Leinster	,Sallins	,,,,,
IRELAND,Leinster	,Skerries	,IRLANDE,Leinster	,Skerries	,,,,,
IRELAND,Leinster	,Swords	,IRLANDE,Leinster	,Swords	,,,,,
IRELAND,Leinster	,Trim	,IRLANDE,Leinster	,Trim	,,,,,
IRELAND,Leinster	,Tullamore (An Tulach Mhór)	,IRLANDE,Leinster	,Tullamore (An Tulach Mhór)	,,,,,
IRELAND,Leinster	,Tullow	,IRLANDE,Leinster	,Tullow	,,,,,
IRELAND,Leinster	,Wexford (Loch Garman)	,IRLANDE,Leinster	,Wexford (Loch Garman)	,,,,,
IRELAND,Leinster	,Wicklow	,IRLANDE,Leinster	,Wicklow	,,,,,
IRELAND,Munster	,Bandon	,IRLANDE,Munster	,Bandon	,,,,,
IRELAND,Munster	,Carrick-on-Suir	,IRLANDE,Munster	,Carrick-on-Suir	,,,,,
IRELAND,Munster	,Carrigaline	,IRLANDE,Munster	,Carrigaline	,,,,,
IRELAND,Munster	,Carrigtwohill	,IRLANDE,Munster	,Carrigtwohill	,,,,,
IRELAND,Munster	,Clonmel (Cluain Meala)	,IRLANDE,Munster	,Clonmel (Cluain Meala)	,,,,,
IRELAND,Munster	,Cobh	,IRLANDE,Munster	,Cobh	,,,,,
IRELAND,Munster	,Cork (Corcaigh)	,IRLANDE,Munster	,Cork (Corcaigh)	,,,,,
IRELAND,Munster	,Dungarvan	,IRLANDE,Munster	,Dungarvan	,,,,,
IRELAND,Munster	,Ennis (Inis)	,IRLANDE,Munster	,Ennis (Inis)	,,,,,
IRELAND,Munster	,Fermoy	,IRLANDE,Munster	,Fermoy	,,,,,
IRELAND,Munster	,Killarney	,IRLANDE,Munster	,Killarney	,,,,,
IRELAND,Munster	,Kinsale	,IRLANDE,Munster	,Kinsale	,,,,,
IRELAND,Munster	,Limerick (Luimneach)	,IRLANDE,Munster	,Limerick (Luimneach)	,,,,,
IRELAND,Munster	,Listowel	,IRLANDE,Munster	,Listowel	,,,,,
IRELAND,Munster	,Mallow	,IRLANDE,Munster	,Mallow	,,,,,
IRELAND,Munster	,Midleton	,IRLANDE,Munster	,Midleton	,,,,,
IRELAND,Munster	,Nenagh	,IRLANDE,Munster	,Nenagh	,,,,,
IRELAND,Munster	,Newcastle West	,IRLANDE,Munster	,Newcastle West	,,,,,
IRELAND,Munster	,Passage West (Monkstown)	,IRLANDE,Munster	,Passage West (Monkstown)	,,,,,
IRELAND,Munster	,Roscrea	,IRLANDE,Munster	,Roscrea	,,,,,
IRELAND,Munster	,Shannon	,IRLANDE,Munster	,Shannon	,,,,,
IRELAND,Munster	,Thurles	,IRLANDE,Munster	,Thurles	,,,,,
IRELAND,Munster	,Tipperary	,IRLANDE,Munster	,Tipperary	,,,,,
IRELAND,Munster	,Tralee (Tráighlí)	,IRLANDE,Munster	,Tralee (Tráighlí)	,,,,,
IRELAND,Munster	,Tramore	,IRLANDE,Munster	,Tramore	,,,,,
IRELAND,Munster	,Waterford (Port Láirge)	,IRLANDE,Munster	,Waterford (Port Láirge)	,,,,,
IRELAND,Munster	,Youghal	,IRLANDE,Munster	,Youghal	,,,,,
IRELAND,Ulster (part of)	,Ballybofey - Stranorlar	,IRLANDE,Ulster (part of)	,Ballybofey - Stranorlar	,,,,,
IRELAND,Ulster (part of)	,Buncrana	,IRLANDE,Ulster (part of)	,Buncrana	,,,,,
IRELAND,Ulster (part of)	,Carrickmacross	,IRLANDE,Ulster (part of)	,Carrickmacross	,,,,,
IRELAND,Ulster (part of)	,Cavan	,IRLANDE,Ulster (part of)	,Cavan	,,,,,
IRELAND,Ulster (part of)	,Letterkenny	,IRLANDE,Ulster (part of)	,Letterkenny	,,,,,
IRELAND,Ulster (part of)	,Monaghan	,IRLANDE,Ulster (part of)	,Monaghan	,,,,,
