COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ITALY,Abruzzo	,Chieti	,ITALIE,Abruzzo	,Chieti	,,,,,
ITALY,Abruzzo	,Pescara	,ITALIE,Abruzzo	,Pescara	,,,,,
ITALY,Abruzzo	,Teramo	,ITALIE,Abruzzo	,Teramo	,,,,,
ITALY,Basilicata	,Matera	,ITALIE,Basilicata	,Matera	,,,,,
ITALY,Basilicata	,Potenza	,ITALIE,Basilicata	,Potenza	,,,,,
ITALY,Calabria	,Catanzaro	,ITALIE,Calabria	,Catanzaro	,,,,,
ITALY,Calabria	,Cosenza	,ITALIE,Calabria	,Cosenza	,,,,,
ITALY,Calabria	,Crotone,ITALIE,Calabria	,Crotone,,,,,
ITALY,Calabria	,Lamezia Terme (Nicastro)	,ITALIE,Calabria	,Lamezia Terme (Nicastro)	,,,,,
ITALY,Calabria	,Reggio di Calabria	,ITALIE,Calabria	,Reggio di Calabria	,,,,,
ITALY,Campania	,Acerra	,ITALIE,Campania	,Acerra	,,,,,
ITALY,Campania	,Afragola	,ITALIE,Campania	,Afragola	,,,,,
ITALY,Campania	,Avellino	,ITALIE,Campania	,Avellino	,,,,,
ITALY,Campania	,Aversa	,ITALIE,Campania	,Aversa	,,,,,
ITALY,Campania	,Battipaglia	,ITALIE,Campania	,Battipaglia	,,,,,
ITALY,Campania	,Benevento	,ITALIE,Campania	,Benevento	,,,,,
ITALY,Campania	,Caserta	,ITALIE,Campania	,Caserta	,,,,,
ITALY,Campania	,Casoria	,ITALIE,Campania	,Casoria	,,,,,
ITALY,Campania	,Castellammare di Stabia	,ITALIE,Campania	,Castellammare di Stabia	,,,,,
ITALY,Campania	,Cava de' Tirreni	,ITALIE,Campania	,Cava de' Tirreni	,,,,,
ITALY,Campania	,Ercolano (Resina)	,ITALIE,Campania	,Ercolano (Resina)	,,,,,
ITALY,Campania	,Giugliano in Campania	,ITALIE,Campania	,Giugliano in Campania	,,,,,
ITALY,Campania	,Marano di Napoli	,ITALIE,Campania	,Marano di Napoli	,,,,,
ITALY,Campania	,Napoli [Naples]	,ITALIE,Campania	,Napoli [Naples]	,,,,,
ITALY,Campania	,Portici	,ITALIE,Campania	,Portici	,,,,,
ITALY,Campania	,Pozzuoli	,ITALIE,Campania	,Pozzuoli	,,,,,
ITALY,Campania	,Salerno	,ITALIE,Campania	,Salerno	,,,,,
ITALY,Campania	,Scafati	,ITALIE,Campania	,Scafati	,,,,,
ITALY,Campania	,Torre del Greco	,ITALIE,Campania	,Torre del Greco	,,,,,
ITALY,Emilia-Romagna	,Bologna	,ITALIE,Emilia-Romagna	,Bologna	,,,,,
ITALY,Emilia-Romagna	,Carpi	,ITALIE,Emilia-Romagna	,Carpi	,,,,,
ITALY,Emilia-Romagna	,Cesena	,ITALIE,Emilia-Romagna	,Cesena	,,,,,
ITALY,Emilia-Romagna	,Ferrara	,ITALIE,Emilia-Romagna	,Ferrara	,,,,,
ITALY,Emilia-Romagna	,Forlì	,ITALIE,Emilia-Romagna	,Forlì	,,,,,
ITALY,Emilia-Romagna	,Imola	,ITALIE,Emilia-Romagna	,Imola	,,,,,
ITALY,Emilia-Romagna	,Modena	,ITALIE,Emilia-Romagna	,Modena	,,,,,
ITALY,Emilia-Romagna	,Parma	,ITALIE,Emilia-Romagna	,Parma	,,,,,
ITALY,Emilia-Romagna	,Piacenza	,ITALIE,Emilia-Romagna	,Piacenza	,,,,,
ITALY,Emilia-Romagna	,Ravenna	,ITALIE,Emilia-Romagna	,Ravenna	,,,,,
ITALY,Emilia-Romagna	,Reggio nell'Emilia	,ITALIE,Emilia-Romagna	,Reggio nell'Emilia	,,,,,
ITALY,Emilia-Romagna	,Rimini	,ITALIE,Emilia-Romagna	,Rimini	,,,,,
ITALY,Friuli-Venezia Giulia	,Pordenone	,ITALIE,Friuli-Venezia Giulia	,Pordenone	,,,,,
ITALY,Friuli-Venezia Giulia	,Pordenone	,ITALIE,Friuli-Venezia Giulia	,Pordenone	,,,,,
ITALY,Friuli-Venezia Giulia	,Udine	,ITALIE,Friuli-Venezia Giulia	,Udine	,,,,,
ITALY,Lazio [Latium]	,Anzio	,ITALIE,Lazio [Latium]	,Anzio	,,,,,
ITALY,Lazio [Latium]	,Aprilia	,ITALIE,Lazio [Latium]	,Aprilia	,,,,,
ITALY,Lazio [Latium]	,Civitavecchia	,ITALIE,Lazio [Latium]	,Civitavecchia	,,,,,
ITALY,Lazio [Latium]	,Fiumicino	,ITALIE,Lazio [Latium]	,Fiumicino	,,,,,
ITALY,Lazio [Latium]	,Guidonia Montecelio	,ITALIE,Lazio [Latium]	,Guidonia Montecelio	,,,,,
ITALY,Lazio [Latium]	,Latina	,ITALIE,Lazio [Latium]	,Latina	,,,,,
ITALY,Lazio [Latium]	,Pomezia	,ITALIE,Lazio [Latium]	,Pomezia	,,,,,
ITALY,Lazio [Latium]	,Roma [Rome]	,ITALIE,Lazio [Latium]	,Roma [Rome]	,,,,,
ITALY,Lazio [Latium]	,Tivoli	,ITALIE,Lazio [Latium]	,Tivoli	,,,,,
ITALY,Lazio [Latium]	,Velletri	,ITALIE,Lazio [Latium]	,Velletri	,,,,,
ITALY,Lazio [Latium]	,Viterbo	,ITALIE,Lazio [Latium]	,Viterbo	,,,,,
ITALY,Liguria	,Genova [Genoa]	,ITALIE,Liguria	,Genova [Genoa]	,,,,,
ITALY,Liguria	,Sanremo (San Remo)	,ITALIE,Liguria	,Sanremo (San Remo)	,,,,,
ITALY,Liguria	,Savona	,ITALIE,Liguria	,Savona	,,,,,
ITALY,Liguria	,La Spezia	,ITALIE,Liguria	,La Spezia	,,,,,
ITALY,Liguria	,Genova [Genoa]	,ITALIE,Liguria	,Genova [Genoa]	,,,,,
ITALY,Lombardia [Lombardy]	,Bergamo,ITALIE,Lombardia [Lombardy]	,Bergamo,,,,,
ITALY,Lombardia [Lombardy]	,Busto Arsizio	,ITALIE,Lombardia [Lombardy]	,Busto Arsizio	,,,,,
ITALY,Lombardia [Lombardy]	,Cinisello Balsamo	,ITALIE,Lombardia [Lombardy]	,Cinisello Balsamo	,,,,,
ITALY,Lombardia [Lombardy]	,Como	,ITALIE,Lombardia [Lombardy]	,Como	,,,,,
ITALY,Lombardia [Lombardy]	,Cremona	,ITALIE,Lombardia [Lombardy]	,Cremona	,,,,,
ITALY,Lombardia [Lombardy]	,Gallarate	,ITALIE,Lombardia [Lombardy]	,Gallarate	,,,,,
ITALY,Lombardia [Lombardy]	,Legnano	,ITALIE,Lombardia [Lombardy]	,Legnano	,,,,,
ITALY,Lombardia [Lombardy]	,Milano [Milan]	,ITALIE,Lombardia [Lombardy]	,Milano [Milan]	,,,,,
ITALY,Lombardia [Lombardy]	,Monza	,ITALIE,Lombardia [Lombardy]	,Monza	,,,,,
ITALY,Lombardia [Lombardy]	,Pavia	,ITALIE,Lombardia [Lombardy]	,Pavia	,,,,,
ITALY,Lombardia [Lombardy]	,Rho	,ITALIE,Lombardia [Lombardy]	,Rho	,,,,,
ITALY,Lombardia [Lombardy]	,Sesto San Giovanni	,ITALIE,Lombardia [Lombardy]	,Sesto San Giovanni	,,,,,
ITALY,Lombardia [Lombardy]	,Varese	,ITALIE,Lombardia [Lombardy]	,Varese	,,,,,
ITALY,Lombardia [Lombardy]	,Vigevano	,ITALIE,Lombardia [Lombardy]	,Vigevano	,,,,,
