COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
KENYA,Central,Githunguri,KENYA,Central,Githunguri,KENYA,Central,Githunguri,,
KENYA,Central,Juja,KENYA,Central,Juja,KENYA,Central,Juja,,
KENYA,Central,Karuri,KENYA,Central,Karuri,KENYA,Central,Karuri,,
KENYA,Central,Kerugoya/Kutus,KENYA,Central,Kerugoya/Kutus,KENYA,Central,Kerugoya/Kutus,,
KENYA,Central,Kiambu,KENYA,Central,Kiambu,KENYA,Central,Kiambu,,
KENYA,Central,Kikuyu,KENYA,Central,Kikuyu,KENYA,Central,Kikuyu,,
KENYA,Central,Limuru,KENYA,Central,Limuru,KENYA,Central,Limuru,,
KENYA,Central,Mairo Inya,KENYA,Central,Mairo Inya,KENYA,Central,Mairo Inya,,
KENYA,Central,Murang'a,KENYA,Central,Murang'a,KENYA,Central,Murang'a,,
KENYA,Central,Nyeri,KENYA,Central,Nyeri,KENYA,Central,Nyeri,,
KENYA,Central,Ruiru,KENYA,Central,Ruiru,KENYA,Central,Ruiru,,
KENYA,Central,Sagana,KENYA,Central,Sagana,KENYA,Central,Sagana,,
KENYA,Central,Thika,KENYA,Central,Thika,KENYA,Central,Thika,,
KENYA,Central,Wanguru,KENYA,Central,Wanguru,KENYA,Central,Wanguru,,
KENYA,Coast,Hola,KENYA,Coast,Hola,KENYA,Coast,Hola,,
KENYA,Coast,Kilifi,KENYA,Coast,Kilifi,KENYA,Coast,Kilifi,,
KENYA,Coast,Lamu,KENYA,Coast,Lamu,KENYA,Coast,Lamu,,
KENYA,Coast,Madogo,KENYA,Coast,Madogo,KENYA,Coast,Madogo,,
KENYA,Coast,Malindi,KENYA,Coast,Malindi,KENYA,Coast,Malindi,,
KENYA,Coast,Mariakani,KENYA,Coast,Mariakani,KENYA,Coast,Mariakani,,
KENYA,Coast,Mombasa,KENYA,Coast,Mombasa,KENYA,Coast,Mombasa,,
KENYA,Coast,Msambweni,KENYA,Coast,Msambweni,KENYA,Coast,Msambweni,,
KENYA,Coast,Mtwapa,KENYA,Coast,Mtwapa,KENYA,Coast,Mtwapa,,
KENYA,Coast,Taveta,KENYA,Coast,Taveta,KENYA,Coast,Taveta,,
KENYA,Coast,Ukunda,KENYA,Coast,Ukunda,KENYA,Coast,Ukunda,,
KENYA,Coast,Voi,KENYA,Coast,Voi,KENYA,Coast,Voi,,
KENYA,Coast,Watamu,KENYA,Coast,Watamu,KENYA,Coast,Watamu,,
KENYA,Eastern,Embu,KENYA,Eastern,Embu,KENYA,Eastern,Embu,,
KENYA,Eastern,Isiolo,KENYA,Eastern,Isiolo,KENYA,Eastern,Isiolo,,
KENYA,Eastern,Kangundo-Tala,KENYA,Eastern,Kangundo-Tala,KENYA,Eastern,Kangundo-Tala,,
KENYA,Eastern,Kitui,KENYA,Eastern,Kitui,KENYA,Eastern,Kitui,,
KENYA,Eastern,Machakos,KENYA,Eastern,Machakos,KENYA,Eastern,Machakos,,
KENYA,Eastern,Marsabit,KENYA,Eastern,Marsabit,KENYA,Eastern,Marsabit,,
KENYA,Eastern,Matuu,KENYA,Eastern,Matuu,KENYA,Eastern,Matuu,,
KENYA,Eastern,Maua,KENYA,Eastern,Maua,KENYA,Eastern,Maua,,
KENYA,Eastern,Mavoko (Athi River),KENYA,Eastern,Mavoko (Athi River),KENYA,Eastern,Mavoko (Athi River),,
KENYA,Eastern,Meru,KENYA,Eastern,Meru,KENYA,Eastern,Meru,,
KENYA,Eastern,Moyale,KENYA,Eastern,Moyale,KENYA,Eastern,Moyale,,
KENYA,Eastern,Mwingi,KENYA,Eastern,Mwingi,KENYA,Eastern,Mwingi,,
KENYA,Nairobi,Nairobi,KENYA,Nairobi,Nairobi,KENYA,Nairobi,Nairobi,,
KENYA,North Eastern,Elwak,KENYA,North Eastern,Elwak,KENYA,North Eastern,Elwak,,
KENYA,North Eastern,Garissa,KENYA,North Eastern,Garissa,KENYA,North Eastern,Garissa,,
KENYA,North Eastern,Mandera,KENYA,North Eastern,Mandera,KENYA,North Eastern,Mandera,,
KENYA,North Eastern,Masalani,KENYA,North Eastern,Masalani,KENYA,North Eastern,Masalani,,
KENYA,North Eastern,Rhamu,KENYA,North Eastern,Rhamu,KENYA,North Eastern,Rhamu,,
KENYA,North Eastern,Takaba,KENYA,North Eastern,Takaba,KENYA,North Eastern,Takaba,,
KENYA,North Eastern,Wajir,KENYA,North Eastern,Wajir,KENYA,North Eastern,Wajir,,
KENYA,Nyanza,Awendo,KENYA,Nyanza,Awendo,KENYA,Nyanza,Awendo,,
KENYA,Nyanza,Bondo,KENYA,Nyanza,Bondo,KENYA,Nyanza,Bondo,,
