COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
MADAGASCAR,Antananarivo Province,Antananarivo,MADAGASCAR,Antananarivo Province,Antananarivo or Tananarive,MADAGASCAR,Antananarivo Province,Antananarivo ,,
MADAGASCAR,Antananarivo Province,Antsirabe,MADAGASCAR,Antananarivo Province,Antsirabe,MADAGASCAR,Antananarivo Province,Antsirabe,,
MADAGASCAR,Antananarivo Province,Tsiroanomandidy,MADAGASCAR,Antananarivo Province,Tsiroanomandidy,MADAGASCAR,Antananarivo Province,Tsiroanomandidy,,
MADAGASCAR,Antananarivo Province,Miarinarivo,MADAGASCAR,Antananarivo Province,Miarinarivo,MADAGASCAR,Antananarivo Province,Miarinarivo,,
MADAGASCAR,Antananarivo Province,Arivonimamo,MADAGASCAR,Antananarivo Province,Arivonimamo,MADAGASCAR,Antananarivo Province,Arivonimamo,,
MADAGASCAR,Antananarivo Province,Soavinandriana,MADAGASCAR,Antananarivo Province,Soavinandriana,MADAGASCAR,Antananarivo Province,Soavinandriana,,
MADAGASCAR,Antananarivo Province, Ambatolampy,MADAGASCAR,Antananarivo Province,Ambatolampy,MADAGASCAR,Antananarivo Province,Ambatolampy,,
MADAGASCAR,Antananarivo Province,Antanifotsy,MADAGASCAR,Antananarivo Province,Antanifotsy,MADAGASCAR,Antananarivo Province,"
Antanifotsia",,
MADAGASCAR,Antananarivo Province,Betafo,MADAGASCAR,Antananarivo Province,Bétafo,MADAGASCAR,Antananarivo Province,Betafo,,
MADAGASCAR,Antananarivo Province,Faratsiho,MADAGASCAR,Antananarivo Province,Faratsiho,MADAGASCAR,Antananarivo Province,Faratsiho,,
MADAGASCAR,Antananarivo Province,Soavinandriana,MADAGASCAR,Antananarivo Province,Soavinandriana,MADAGASCAR,Antananarivo Province,Soavinandriana,,
MADAGASCAR,Antananarivo Province,Fenoarivobe,MADAGASCAR,Antananarivo Province,Fenoarivobe,MADAGASCAR,Antananarivo Province,Fenoarivobe,,
MADAGASCAR,Antananarivo Province,Manjakandriana,MADAGASCAR,Antananarivo Province,Manjakandriana,MADAGASCAR,Antananarivo Province,Manjakandriana,,
MADAGASCAR,Antananarivo Province,Ambohidratrimo,MADAGASCAR,Antananarivo Province,Ambohidratrimo,MADAGASCAR,Antananarivo Province,Ambohidratrimo,,
MADAGASCAR,Antananarivo Province,Andramasina,MADAGASCAR,Antananarivo Province,Andramasina,MADAGASCAR,Antananarivo Province,Andramasina,,
