COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
MALAYSIA,Johor,Batu Pahat,MALAISIE,Johor,Batu Pahat,,,,,
MALAYSIA,Johor,Johor Bahru,MALAISIE,Johor,Johor Bahru,,,,,
MALAYSIA,Johor,Kluang,MALAISIE,Johor,Kluang,,,,,
MALAYSIA,Johor,Kota Tinggi,MALAISIE,Johor,Kota Tinggi,,,,,
MALAYSIA,Johor,Kulaijaya,MALAISIE,Johor,Kulaijaya,,,,,
MALAYSIA,Johor,Mersing,MALAISIE,Johor,Mersing,,,,,
MALAYSIA,Johor,Muar,MALAISIE,Johor,Muar,,,,,
MALAYSIA,Johor,Pontian,MALAISIE,Johor,Pontian,,,,,
MALAYSIA,Johor,Segamat,MALAISIE,Johor,Segamat,,,,,
MALAYSIA,Johor,Tangkak (Ledang),MALAISIE,Johor,Tangkak (Ledang),,,,,
MALAYSIA,Kedah,Baling,MALAISIE,Kedah,Baling,,,,,
MALAYSIA,Kedah,Bandar Baharu,MALAISIE,Kedah,Bandar Baharu,,,,,
MALAYSIA,Kedah,Kota Setar,MALAISIE,Kedah,Kota Setar,,,,,
MALAYSIA,Kedah,Pendang,MALAISIE,Kedah,Pendang,,,,,
MALAYSIA,Kedah,Pokok Sena,MALAISIE,Kedah,Pokok Sena,,,,,
MALAYSIA,Kedah,Sik,MALAISIE,Kedah,Sik,,,,,
MALAYSIA,Kedah,Yan,MALAISIE,Kedah,Yan,,,,,
MALAYSIA,Kelantan,Bachok,MALAISIE,Kelantan,Bachok,,,,,
MALAYSIA,Kelantan,Gua Musang,MALAISIE,Kelantan,Gua Musang,,,,,
MALAYSIA,Kelantan,Jeli,MALAISIE,Kelantan,Jeli,,,,,
MALAYSIA,Kelantan,Kota Bharu,MALAISIE,Kelantan,Kota Bharu,,,,,
MALAYSIA,Kelantan,Kuala Krai,MALAISIE,Kelantan,Kuala Krai,,,,,
MALAYSIA,Kelantan,Machang,MALAISIE,Kelantan,Machang,,,,,
MALAYSIA,Kelantan,Pasir Mas,MALAISIE,Kelantan,Pasir Mas,,,,,
MALAYSIA,Kelantan,Pasir Puteh,MALAISIE,Kelantan,Pasir Puteh,,,,,
MALAYSIA,Kelantan,Tanah Merah,MALAISIE,Kelantan,Tanah Merah,,,,,
MALAYSIA,Kelantan,Tumpat,MALAISIE,Kelantan,Tumpat,,,,,
MALAYSIA,Melaka [Malacca]	,Alor Gajah,MALAISIE,Melaka [Malacca]	,Alor Gajah,,,,,
MALAYSIA,Melaka [Malacca]	,Jasin,MALAISIE,Melaka [Malacca]	,Jasin,,,,,
MALAYSIA,Melaka [Malacca]	,Melaka Tengah,MALAISIE,Melaka [Malacca]	,Melaka Tengah,,,,,
MALAYSIA,Negeri Sembilan,Jelebu,MALAISIE,Negeri Sembilan,Jelebu,,,,,
MALAYSIA,Negeri Sembilan,Jempol,MALAISIE,Negeri Sembilan,Jempol,,,,,
MALAYSIA,Negeri Sembilan,Kuala Pilah,MALAISIE,Negeri Sembilan,Kuala Pilah,,,,,
MALAYSIA,Negeri Sembilan,Port Dickson,MALAISIE,Negeri Sembilan,Port Dickson,,,,,
