COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
MALI,Bamako	,Bamako	,MALI,Bamako	,Bamako	,,,,,
MALI,Gao	,Bourem	,MALI,Gao	,Bourem	,,,,,
MALI,Gao	,Gao	,MALI,Gao	,Gao	,,,,,
MALI,Kayes	,Kayes	,MALI,Kayes	,Kayes	,,,,,
MALI,Kayes	,Kita	,MALI,Kayes	,Kita	,,,,,
MALI,Kayes	,Nioro du Sahel	,MALI,Kayes	,Nioro du Sahel	,,,,,
MALI,Kidal	,Kidal,MALI,Kidal	,Kidal,,,,,
MALI,Koulikoro	,Banamba	,MALI,Koulikoro	,Banamba	,,,,,
MALI,Koulikoro	,Dialakorodji	,MALI,Koulikoro	,Dialakorodji	,,,,,
MALI,Koulikoro	,Dioïla	,MALI,Koulikoro	,Dioïla	,,,,,
MALI,Koulikoro	,Fana	,MALI,Koulikoro	,Fana	,,,,,
MALI,Koulikoro	,Kabala	,MALI,Koulikoro	,Kabala	,,,,,
MALI,Koulikoro	,Kalabancoro	,MALI,Koulikoro	,Kalabancoro	,,,,,
MALI,Koulikoro	,Kati	,MALI,Koulikoro	,Kati	,,,,,
MALI,Koulikoro	,Kolokani	,MALI,Koulikoro	,Kolokani	,,,,,
MALI,Koulikoro	,Koulikoro	,MALI,Koulikoro	,Koulikoro	,,,,,
MALI,Koulikoro	,Moribabougou	,MALI,Koulikoro	,Moribabougou	,,,,,
MALI,Koulikoro	,Nara	,MALI,Koulikoro	,Nara	,,,,,
MALI,Koulikoro	,Sangarébougou	,MALI,Koulikoro	,Sangarébougou	,,,,,
MALI,Koulikoro	,Siracoro Meguetana	,MALI,Koulikoro	,Siracoro Meguetana	,,,,,
MALI,Koulikoro	,Touba Coura	,MALI,Koulikoro	,Touba Coura	,,,,,
MALI,Mopti	,Bandiagara	,MALI,Mopti	,Bandiagara	,,,,,
MALI,Mopti	,Djenné	,MALI,Mopti	,Djenné	,,,,,
MALI,Mopti	,Douentza	,MALI,Mopti	,Douentza	,,,,,
MALI,Mopti	,Koro	,MALI,Mopti	,Koro	,,,,,
MALI,Mopti	,Mopti	,MALI,Mopti	,Mopti	,,,,,
MALI,Ségou	,Bla	,MALI,Ségou	,Bla	,,,,,
MALI,Ségou	,Dioro	,MALI,Ségou	,Dioro	,,,,,
MALI,Ségou	,Dougabougou	,MALI,Ségou	,Dougabougou	,,,,,
MALI,Ségou	,Markala (Diamarabougou & Kirango)	,MALI,Ségou	,Markala (Diamarabougou & Kirango)	,,,,,
MALI,Ségou	,Niono	,MALI,Ségou	,Niono	,,,,,
MALI,Ségou	,Pelengana	,MALI,Ségou	,Pelengana	,,,,,
MALI,Ségou	,San	,MALI,Ségou	,San	,,,,,
MALI,Ségou	,Ségou	,MALI,Ségou	,Ségou	,,,,,
MALI,Ségou	,Siribala	,MALI,Ségou	,Siribala	,,,,,
MALI,Sikasso	,Bougouni	,MALI,Sikasso	,Bougouni	,,,,,
MALI,Sikasso	,Kadiolo	,MALI,Sikasso	,Kadiolo	,,,,,
MALI,Sikasso	,Koury	,MALI,Sikasso	,Koury	,,,,,
MALI,Sikasso	,Koutiala	,MALI,Sikasso	,Koutiala	,,,,,
MALI,Sikasso	,Massiogo [Massiogo Gold Mine]	,MALI,Sikasso	,Massiogo [Massiogo Gold Mine]	,,,,,
MALI,Sikasso	,Sikasso	,MALI,Sikasso	,Sikasso	,,,,,
MALI,Sikasso	,Yanfolila	,MALI,Sikasso	,Yanfolila	,,,,,
MALI,Sikasso	,Zégoua	,MALI,Sikasso	,Zégoua	,,,,,
MALI,Tombouctou	,Diré	,MALI,Tombouctou	,Diré	,,,,,
MALI,Tombouctou	,Goundam	,MALI,Tombouctou	,Goundam	,,,,,
MALI,Tombouctou	,Tombouctou [Timbuktu]	,MALI,Tombouctou	,Tombouctou [Timbuktu]	,,,,,
