COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
MALTA,Gozo (incl. Comino)	,Victoria (Rabat)	,MALTE,Gozo (incl. Comino)	,Victoria (Rabat)	,,,,,
MALTA,Malta	,Attard 	,MALTE,Malta	,Attard 	,,,,,
MALTA,Malta	,Birkirkara	,MALTE,Malta	,Birkirkara	,,,,,
MALTA,Malta	,Birżebbuġa	,MALTE,Malta	,Birżebbuġa	,,,,,
MALTA,Malta	,Bormla (Cospicua)	,MALTE,Malta	,Bormla (Cospicua)	,,,,,
MALTA,Malta	,Fgura	,MALTE,Malta	,Fgura	,,,,,
MALTA,Malta	,Gżira	,MALTE,Malta	,Gżira	,,,,,
MALTA,Malta	,Ħamrun	,MALTE,Malta	,Ħamrun	,,,,,
MALTA,Malta	,Luqa 	,MALTE,Malta	,Luqa 	,,,,,
MALTA,Malta	,Marsa	,MALTE,Malta	,Marsa	,,,,,
MALTA,Malta	,Marsaskala (Wied il-Għajn)	,MALTE,Malta	,Marsaskala (Wied il-Għajn)	,,,,,
MALTA,Malta	,Mellieħa	,MALTE,Malta	,Mellieħa	,,,,,
MALTA,Malta	,Mosta	,MALTE,Malta	,Mosta	,,,,,
MALTA,Malta	,Msida	,MALTE,Malta	,Msida	,,,,,
MALTA,Malta	,Naxxar	,MALTE,Malta	,Naxxar	,,,,,
MALTA,Malta	,Paola (Raħal Ġdid)	,MALTE,Malta	,Paola (Raħal Ġdid)	,,,,,
MALTA,Malta	,Qormi 	,MALTE,Malta	,Qormi 	,,,,,
MALTA,Malta	,Rabat	,MALTE,Malta	,Rabat	,,,,,
MALTA,Malta	,San Ġiljan (St. Julian's)	,MALTE,Malta	,San Ġiljan (St. Julian's)	,,,,,
MALTA,Malta	,San Ġwann	,MALTE,Malta	,San Ġwann	,,,,,
MALTA,Malta	,San Pawl Il-Baħar (St. Paul's Bay)	,MALTE,Malta	,San Pawl Il-Baħar (St. Paul's Bay)	,,,,,
MALTA,Malta	,Santa Venera	,MALTE,Malta	,Santa Venera	,,,,,
MALTA,Malta	,Siġġiewi	,MALTE,Malta	,Siġġiewi	,,,,,
MALTA,Malta	,Sliema (Tas-Sliema)	,MALTE,Malta	,Sliema (Tas-Sliema)	,,,,,
MALTA,Malta	,Swieqi	,MALTE,Malta	,Swieqi	,,,,,
MALTA,Malta	,Tarxien 	,MALTE,Malta	,Tarxien 	,,,,,
MALTA,Malta	,Valletta	,MALTE,Malta	,Valletta	,,,,,
MALTA,Malta	,Żabbar 	,MALTE,Malta	,Żabbar 	,,,,,
MALTA,Malta	,Żebbuġ 	,MALTE,Malta	,Żebbuġ 	,,,,,
MALTA,Malta	,Żejtun	,MALTE,Malta	,Żejtun	,,,,,
MALTA,Malta	,Żurrieq	,MALTE,Malta	,Żurrieq	,,,,,
