COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
MEXICO,Aguascalientes,Aguascalientes,MEXIQUE,Aguascalientes,Aguascalientes,,,,,
MEXICO,Aguascalientes,Asientos,MEXIQUE,Aguascalientes,Asientos,,,,,
MEXICO,Aguascalientes,Calvillo,MEXIQUE,Aguascalientes,Calvillo,,,,,
MEXICO,Aguascalientes,Cosío,MEXIQUE,Aguascalientes,Cosío,,,,,
MEXICO,Aguascalientes,El Llano,MEXIQUE,Aguascalientes,El Llano,,,,,
MEXICO,Aguascalientes,Jesús María,MEXIQUE,Aguascalientes,Jesús María,,,,,
MEXICO,Aguascalientes,Pabellón de Arteaga,MEXIQUE,Aguascalientes,Pabellón de Arteaga,,,,,
MEXICO,Aguascalientes,Rincón de Romos,MEXIQUE,Aguascalientes,Rincón de Romos,,,,,
MEXICO,Aguascalientes,San Francisco de los Romo,MEXIQUE,Aguascalientes,San Francisco de los Romo,,,,,
MEXICO,Aguascalientes,San José de Gracia,MEXIQUE,Aguascalientes,San José de Gracia,,,,,
MEXICO,Aguascalientes,Tepezalá,MEXIQUE,Aguascalientes,Tepezalá,,,,,
MEXICO,Baja California	,Ensenada,MEXIQUE,Baja California	,Ensenada,,,,,
MEXICO,Baja California	,Mexicali,MEXIQUE,Baja California	,Mexicali,,,,,
MEXICO,Baja California	,Playas de Rosarito [Rosarito Beach],MEXIQUE,Baja California	,Playas de Rosarito [Rosarito Beach],,,,,
MEXICO,Baja California	,Tecate,MEXIQUE,Baja California	,Tecate,,,,,
MEXICO,Baja California	,Tijuana,MEXIQUE,Baja California	,Tijuana,,,,,
MEXICO,Baja California Sur,Comondú,MEXIQUE,Baja California Sur,Comondú,,,,,
MEXICO,Baja California Sur,La Paz,MEXIQUE,Baja California Sur,La Paz,,,,,
MEXICO,Baja California Sur,Loreto,MEXIQUE,Baja California Sur,Loreto,,,,,
MEXICO,Baja California Sur,Los Cabos,MEXIQUE,Baja California Sur,Los Cabos,,,,,
MEXICO,Baja California Sur,Mulegé,MEXIQUE,Baja California Sur,Mulegé,,,,,
MEXICO,Campeche,Calakmul,MEXIQUE,Campeche,Calakmul,,,,,
MEXICO,Campeche,Calkiní,MEXIQUE,Campeche,Calkiní,,,,,
MEXICO,Campeche,Campeche,MEXIQUE,Campeche,Campeche,,,,,
MEXICO,Campeche,Candelaria,MEXIQUE,Campeche,Candelaria,,,,,
MEXICO,Campeche,Carmen,MEXIQUE,Campeche,Carmen,,,,,
MEXICO,Campeche,Champotón,MEXIQUE,Campeche,Champotón,,,,,
MEXICO,Campeche,Escárcega,MEXIQUE,Campeche,Escárcega,,,,,
MEXICO,Campeche,Hecelchakán,MEXIQUE,Campeche,Hecelchakán,,,,,
MEXICO,Campeche,Hopelchén,MEXIQUE,Campeche,Hopelchén,,,,,
MEXICO,Campeche,Palizada,MEXIQUE,Campeche,Palizada,,,,,
MEXICO,Campeche,Tenabo,MEXIQUE,Campeche,Tenabo,,,,,
MEXICO,Chiapas,Acacoyagua,MEXIQUE,Chiapas,Acacoyagua,,,,,
MEXICO,Chiapas,Acala,MEXIQUE,Chiapas,Acala,,,,,
MEXICO,Chiapas,Acapetahua,MEXIQUE,Chiapas,Acapetahua,,,,,
MEXICO,Chiapas,Aldama,MEXIQUE,Chiapas,Aldama,,,,,
MEXICO,Chiapas,Altamirano,MEXIQUE,Chiapas,Altamirano,,,,,
MEXICO,Chiapas,Amatán,MEXIQUE,Chiapas,Amatán,,,,,
MEXICO,Chiapas,Amatenango de la Frontera,MEXIQUE,Chiapas,Amatenango de la Frontera,,,,,
MEXICO,Chiapas,Amatenango del Valle,MEXIQUE,Chiapas,Amatenango del Valle,,,,,
MEXICO,Chiapas,Ángel Albino Corzo,MEXIQUE,Chiapas,Ángel Albino Corzo,,,,,
MEXICO,Chiapas,Arriaga,MEXIQUE,Chiapas,Arriaga,,,,,
MEXICO,Chiapas,Bejucal de Ocampo,MEXIQUE,Chiapas,Bejucal de Ocampo,,,,,
MEXICO,Chiapas,Bella Vista,MEXIQUE,Chiapas,Bella Vista,,,,,
MEXICO,Chiapas,Benemérito de las Américas,MEXIQUE,Chiapas,Benemérito de las Américas,,,,,
MEXICO,Chiapas,Berriozábal,MEXIQUE,Chiapas,Berriozábal,,,,,
MEXICO,Chiapas,Bochil,MEXIQUE,Chiapas,Bochil,,,,,
MEXICO,Chiapas,Cacahoatán,MEXIQUE,Chiapas,Cacahoatán,,,,,
MEXICO,Chiapas,Catazajá,MEXIQUE,Chiapas,Catazajá,,,,,
MEXICO,Chiapas,Chalchihuitán,MEXIQUE,Chiapas,Chalchihuitán,,,,,
MEXICO,Chiapas,Chamula,MEXIQUE,Chiapas,Chamula,,,,,
MEXICO,Chiapas,Chanal,MEXIQUE,Chiapas,Chanal,,,,,
MEXICO,Chiapas,Chapultenango,MEXIQUE,Chiapas,Chapultenango,,,,,
MEXICO,Chiapas,Chenalhó,MEXIQUE,Chiapas,Chenalhó,,,,,
MEXICO,Chiapas,Chiapa de Corzo,MEXIQUE,Chiapas,Chiapa de Corzo,,,,,
MEXICO,Chiapas,Chiapilla,MEXIQUE,Chiapas,Chiapilla,,,,,
MEXICO,Chiapas,Chicoasén,MEXIQUE,Chiapas,Chicoasén,,,,,
MEXICO,Chiapas,Chicomuselo,MEXIQUE,Chiapas,Chicomuselo,,,,,
MEXICO,Chiapas,Chilón,MEXIQUE,Chiapas,Chilón,,,,,
MEXICO,Chiapas,Cintalapa,MEXIQUE,Chiapas,Cintalapa,,,,,
MEXICO,Chiapas,Coapilla,MEXIQUE,Chiapas,Coapilla,,,,,
MEXICO,Chiapas,Comitán de Domínguez,MEXIQUE,Chiapas,Comitán de Domínguez,,,,,
MEXICO,Chiapas,Copainalá,MEXIQUE,Chiapas,Copainalá,,,,,
MEXICO,Chiapas,El Bosque,MEXIQUE,Chiapas,El Bosque,,,,,
MEXICO,Chiapas,El Porvenir,MEXIQUE,Chiapas,El Porvenir,,,,,
MEXICO,Chiapas,Escuintla,MEXIQUE,Chiapas,Escuintla,,,,,
MEXICO,Chiapas,Francisco León,MEXIQUE,Chiapas,Francisco León,,,,,
MEXICO,Chiapas,Frontera Comalapa,MEXIQUE,Chiapas,Frontera Comalapa,,,,,
MEXICO,Chiapas,Frontera Hidalgo,MEXIQUE,Chiapas,Frontera Hidalgo,,,,,
MEXICO,Chiapas,Huehuetán,MEXIQUE,Chiapas,Huehuetán,,,,,
MEXICO,Chiapas,Huitiupán,MEXIQUE,Chiapas,Huitiupán,,,,,
MEXICO,Chiapas,Huixtán,MEXIQUE,Chiapas,Huixtán,,,,,
MEXICO,Chiapas,Huixtla,MEXIQUE,Chiapas,Huixtla,,,,,
MEXICO,Chiapas,Ixhuatán,MEXIQUE,Chiapas,Ixhuatán,,,,,
MEXICO,Chiapas,Ixtacomitán,MEXIQUE,Chiapas,Ixtacomitán,,,,,
MEXICO,Chiapas,Ixtapa,MEXIQUE,Chiapas,Ixtapa,,,,,
MEXICO,Chiapas,Ixtapangajoya,MEXIQUE,Chiapas,Ixtapangajoya,,,,,
MEXICO,Chiapas,Jiquipilas,MEXIQUE,Chiapas,Jiquipilas,,,,,
MEXICO,Chiapas,Jitotol,MEXIQUE,Chiapas,Jitotol,,,,,
MEXICO,Chiapas,Juárez,MEXIQUE,Chiapas,Juárez,,,,,
MEXICO,Chiapas,La Concordia,MEXIQUE,Chiapas,La Concordia,,,,,
MEXICO,Chiapas,La Grandeza,MEXIQUE,Chiapas,La Grandeza,,,,,
MEXICO,Chiapas,La Independencia,MEXIQUE,Chiapas,La Independencia,,,,,
MEXICO,Chiapas,La Libertad,MEXIQUE,Chiapas,La Libertad,,,,,
MEXICO,Chiapas,Larráinzar,MEXIQUE,Chiapas,Larráinzar,,,,,
MEXICO,Chiapas,Las Margaritas,MEXIQUE,Chiapas,Las Margaritas,,,,,
MEXICO,Chiapas,Las Rosas,MEXIQUE,Chiapas,Las Rosas,,,,,
MEXICO,Chiapas,La Trinitaria,MEXIQUE,Chiapas,La Trinitaria,,,,,
MEXICO,Chiapas,Mapastepec,MEXIQUE,Chiapas,Mapastepec,,,,,
MEXICO,Chiapas,Maravilla Tenejapa,MEXIQUE,Chiapas,Maravilla Tenejapa,,,,,
MEXICO,Chiapas,Marqués de Comillas,MEXIQUE,Chiapas,Marqués de Comillas,,,,,
MEXICO,Chiapas,Mazapa de Madero,MEXIQUE,Chiapas,Mazapa de Madero,,,,,
MEXICO,Chiapas,Mazatán,MEXIQUE,Chiapas,Mazatán,,,,,
MEXICO,Chiapas,Metapa,MEXIQUE,Chiapas,Metapa,,,,,
MEXICO,Chiapas,Mitontic,MEXIQUE,Chiapas,Mitontic,,,,,
MEXICO,Chiapas,Montecristo de Guerrero,MEXIQUE,Chiapas,Montecristo de Guerrero,,,,,
MEXICO,Chiapas,Motozintla,MEXIQUE,Chiapas,Motozintla,,,,,
MEXICO,Chiapas,Nicolás Ruíz,MEXIQUE,Chiapas,Nicolás Ruíz,,,,,
MEXICO,Chiapas,Ocosingo,MEXIQUE,Chiapas,Ocosingo,,,,,
MEXICO,Chiapas,Ocotepec,MEXIQUE,Chiapas,Ocotepec,,,,,
MEXICO,Chiapas,Ocozocoautla de Espinosa,MEXIQUE,Chiapas,Ocozocoautla de Espinosa,,,,,
MEXICO,Chiapas,Ostuacán,MEXIQUE,Chiapas,Ostuacán,,,,,
MEXICO,Chiapas,Osumacinta,MEXIQUE,Chiapas,Osumacinta,,,,,
