COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
MOROCCO,Béni Mellal - Khénifra	,Azilal	,MAROC,Béni Mellal - Khénifra	,Azilal	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Bejaâd	,MAROC,Béni Mellal - Khénifra	,Bejaâd	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Béni Mellal	,MAROC,Béni Mellal - Khénifra	,Béni Mellal	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Demnate	,MAROC,Béni Mellal - Khénifra	,Demnate	,,,,,
MOROCCO,Béni Mellal - Khénifra	,El Ksiba	,MAROC,Béni Mellal - Khénifra	,El Ksiba	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Fkih Ben Salah	,MAROC,Béni Mellal - Khénifra	,Fkih Ben Salah	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Kasba Tadla	,MAROC,Béni Mellal - Khénifra	,Kasba Tadla	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Khénifra (incl. Amalou Ighriben)	,MAROC,Béni Mellal - Khénifra	,Khénifra (incl. Amalou Ighriben)	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Khouribga	,MAROC,Béni Mellal - Khénifra	,Khouribga	,,,,,
MOROCCO,Béni Mellal - Khénifra	,M'Rirt	,MAROC,Béni Mellal - Khénifra	,M'Rirt	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Oued Zem	,MAROC,Béni Mellal - Khénifra	,Oued Zem	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Oulad Ayad	,MAROC,Béni Mellal - Khénifra	,Oulad Ayad	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Souk Sebt Oulad Nemma	,MAROC,Béni Mellal - Khénifra	,Souk Sebt Oulad Nemma	,,,,,
MOROCCO,Béni Mellal - Khénifra	,Zaouïat Cheikh	,MAROC,Béni Mellal - Khénifra	,Zaouïat Cheikh	,,,,,
MOROCCO,Drâa - Tafilalet	,Arfoud	,MAROC,Drâa - Tafilalet	,Arfoud	,,,,,
MOROCCO,Drâa - Tafilalet	,Errachidia	,MAROC,Drâa - Tafilalet	,Errachidia	,,,,,
MOROCCO,Drâa - Tafilalet	,Er-Rich	,MAROC,Drâa - Tafilalet	,Er-Rich	,,,,,
MOROCCO,Drâa - Tafilalet	,Tabounte	,MAROC,Drâa - Tafilalet	,Tabounte	,,,,,
MOROCCO,Drâa - Tafilalet	,Tinghir	,MAROC,Drâa - Tafilalet	,Tinghir	,,,,,
MOROCCO,Drâa - Tafilalet	,Zagora	,MAROC,Drâa - Tafilalet	,Zagora	,,,,,
MOROCCO,Fès - Meknès	,Aïn Taoujdate	,MAROC,Fès - Meknès	,Aïn Taoujdate	,,,,,
MOROCCO,Fès - Meknès	,Azrou	,MAROC,Fès - Meknès	,Azrou	,,,,,
MOROCCO,Fès - Meknès	,El Hajeb	,MAROC,Fès - Meknès	,El Hajeb	,,,,,
MOROCCO,Fès - Meknès	,Fès (incl. Méchouar Fès Jdid) [Fes]	,MAROC,Fès - Meknès	,Fès (incl. Méchouar Fès Jdid) [Fes]	,,,,,
MOROCCO,Fès - Meknès	,Imouzzer Kandar	,MAROC,Fès - Meknès	,Imouzzer Kandar	,,,,,
MOROCCO,Fès - Meknès	,Meknès	,MAROC,Fès - Meknès	,Meknès	,,,,,
MOROCCO,Fès - Meknès	,Missour	,MAROC,Fès - Meknès	,Missour	,,,,,
MOROCCO,Fès - Meknès	,Ouislane	,MAROC,Fès - Meknès	,Ouislane	,,,,,
