COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
NIGERIA,Abia,Aba,NIGERIA,Abia,Aba,,,,,
NIGERIA,Abia,Amaigbo,NIGERIA,Abia,Amaigbo,,,,,
NIGERIA,Abia,Bende,NIGERIA,Abia,Bende,,,,,
NIGERIA,Abia,Ohafia,NIGERIA,Abia,Ohafia,,,,,
NIGERIA,Abia,Umuahia,NIGERIA,Abia,Umuahia,,,,,
NIGERIA,Adamawa,Jimeta,NIGERIA,Adamawa,Jimeta,,,,,
NIGERIA,Adamawa,Mubi,NIGERIA,Adamawa,Mubi,,,,,
NIGERIA,Adamawa,"Numan	",NIGERIA,Adamawa,"Numan	",,,,,
NIGERIA,Adamawa,"Yola	",NIGERIA,Adamawa,"Yola	",,,,,
NIGERIA,Akwa Ibom,Oron        ,NIGERIA,Akwa Ibom,Oron        ,,,,,
NIGERIA,Akwa Ibom,"Uyo	",NIGERIA,Akwa Ibom,"Uyo	",,,,,
NIGERIA,Anambra,Agulu,NIGERIA,Anambra,Agulu,,,,,
NIGERIA,Anambra,"Awka	",NIGERIA,Anambra,"Awka	",,,,,
NIGERIA,Anambra,"Enugu Ukwu	",NIGERIA,Anambra,"Enugu Ukwu	",,,,,
NIGERIA,Anambra,"Enugu Ukwu	",NIGERIA,Anambra,"Enugu Ukwu	",,,,,
NIGERIA,Anambra,"Ihiala	",NIGERIA,Anambra,"Ihiala	",,,,,
NIGERIA,Anambra,"Nkpor	",NIGERIA,Anambra,"Nkpor	",,,,,
NIGERIA,Anambra,"Nnewi	",NIGERIA,Anambra,"Nnewi	",,,,,
NIGERIA,Anambra,"Obosi	",NIGERIA,Anambra,"Obosi	",,,,,
NIGERIA,Anambra,"Okpogho	",NIGERIA,Anambra,"Okpogho	",,,,,
NIGERIA,Anambra,"Onitsha	",NIGERIA,Anambra,"Onitsha	",,,,,
NIGERIA,Anambra,"Ozubulu	",NIGERIA,Anambra,"Ozubulu	",,,,,
NIGERIA,Anambra,"Uga	",NIGERIA,Anambra,"Uga	",,,,,
NIGERIA,Bauchi,Azare,NIGERIA,Bauchi,Azare,,,,,
NIGERIA,Bauchi,"Bauchi	",NIGERIA,Bauchi,"Bauchi	",,,,,
NIGERIA,Bayelsa,"Yenagoa	",NIGERIA,Bayelsa,"Yenagoa	",,,,,
NIGERIA,Benue,Gboko,NIGERIA,Benue,Gboko,,,,,
NIGERIA,Benue,"Makurdi	",NIGERIA,Benue,"Makurdi	",,,,,
NIGERIA,Benue,"Otukpo	",NIGERIA,Benue,"Otukpo	",,,,,
NIGERIA,Borno,"Bama	",NIGERIA,Borno,"Bama	",,,,,
NIGERIA,Borno,"Biu	",NIGERIA,Borno,"Biu	",,,,,
NIGERIA,Borno,"Gamboru	",NIGERIA,Borno,"Gamboru	",,,,,
