COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
PANAMA,Bocas del Toro	,Almirante	,PANAMA,Bocas del Toro	,Almirante	,,,,,
PANAMA,Bocas del Toro	,Bocas del Toro	,PANAMA,Bocas del Toro	,Bocas del Toro	,,,,,
PANAMA,Bocas del Toro	,Changuinola (incl. El Empalme)	,PANAMA,Bocas del Toro	,Changuinola (incl. El Empalme)	,,,,,
PANAMA,Chiriquí        ,David	,PANAMA,Chiriquí        ,David	,,,,,
PANAMA,Chiriquí        ,La Concepción	,PANAMA,Chiriquí        ,La Concepción	,,,,,
PANAMA,Chiriquí        ,Las Lomas	,PANAMA,Chiriquí        ,Las Lomas	,,,,,
PANAMA,Chiriquí        ,Los Algarrobos	,PANAMA,Chiriquí        ,Los Algarrobos	,,,,,
PANAMA,Chiriquí        ,Pedregal	,PANAMA,Chiriquí        ,Pedregal	,,,,,
PANAMA,Chiriquí        ,Puerto Armuelles (incl. El Palmar)	,PANAMA,Chiriquí        ,Puerto Armuelles (incl. El Palmar)	,,,,,
PANAMA,Coclé	,"Aguadulce (incl. Barrios Unidos, Pocrí)	",PANAMA,Coclé	,"Aguadulce (incl. Barrios Unidos, Pocrí)	",,,,,
PANAMA,Coclé	,Penonomé	,PANAMA,Coclé	,Penonomé	,,,,,
PANAMA,Colón	,Cativá	,PANAMA,Colón	,Cativá	,,,,,
PANAMA,Colón	,Colón	,PANAMA,Colón	,Colón	,,,,,
PANAMA,Colón	,Cristóbal	,PANAMA,Colón	,Cristóbal	,,,,,
PANAMA,Colón	,Puerto Pilón (incl. Rio Alejandro)	,PANAMA,Colón	,Puerto Pilón (incl. Rio Alejandro)	,,,,,
PANAMA,Colón	,Sabanitas	,PANAMA,Colón	,Sabanitas	,,,,,
PANAMA,Colón	,San Juan (incl. Barriada Juan Demóstenes Arosemana)	,PANAMA,Colón	,San Juan (incl. Barriada Juan Demóstenes Arosemana)	,,,,,
PANAMA,Darién	,La Palma	,PANAMA,Darién	,La Palma	,,,,,
PANAMA,Emberá-Wounaan	,Cirilo Guainora	,PANAMA,Emberá-Wounaan	,Cirilo Guainora	,,,,,
PANAMA,Guna Yala (San Blas)	,El Porvenir	,PANAMA,Guna Yala (San Blas)	,El Porvenir	,,,,,
PANAMA,Herrera	,"Chitré (incl. La Arena, Llano Bonito, Monagrillo, San Juan Bautista)	",PANAMA,Herrera	,"Chitré (incl. La Arena, Llano Bonito, Monagrillo, San Juan Bautista)	",,,,,
PANAMA,Los Santos	,Las Tablas	,PANAMA,Los Santos	,Las Tablas	,,,,,
PANAMA,Ngöbe-Buglé (Guaymí)	,Chichica	,PANAMA,Ngöbe-Buglé (Guaymí)	,Chichica	,,,,,
PANAMA,Panamá	,Ancón (incl. Balboa)	,PANAMA,Panamá	,Ancón (incl. Balboa)	,,,,,
PANAMA,Panamá	,"Arraiján (incl. Burunga, Cerro Silvestre)	",PANAMA,Panamá	,"Arraiján (incl. Burunga, Cerro Silvestre)	",,,,,
PANAMA,Panamá	,Chepo        ,PANAMA,Panamá	,Chepo        ,,,,,
PANAMA,Panamá	,Chilibre	,PANAMA,Panamá	,Chilibre	,,,,,
PANAMA,Panamá	,Ciudad de Panamá [Panama City]	,PANAMA,Panamá	,Ciudad de Panamá [Panama City]	,,,,,
PANAMA,Panamá	,Juan Demóstenes Arosemena	,PANAMA,Panamá	,Juan Demóstenes Arosemena	,,,,,
PANAMA,Panamá	,"La Chorrera (incl. El Coco, Feuillet, Guadalupe, Playa Leona)	",PANAMA,Panamá	,"La Chorrera (incl. El Coco, Feuillet, Guadalupe, Playa Leona)	",,,,,
PANAMA,Panamá	,"Las Cumbres (incl. Alcalde Díaz, Ernesto Córdoba Campos)	",PANAMA,Panamá	,"Las Cumbres (incl. Alcalde Díaz, Ernesto Córdoba Campos)	",,,,,
PANAMA,Panamá	,Pacora (incl. 24 de Diciembre)	,PANAMA,Panamá	,Pacora (incl. 24 de Diciembre)	,,,,,
PANAMA,Panamá	,Puerto Caimito	,PANAMA,Panamá	,Puerto Caimito	,,,,,
PANAMA,Panamá	,San Miguelito	,PANAMA,Panamá	,San Miguelito	,,,,,
PANAMA,Panamá	,Tocumen (incl. Las Mañanitas)	,PANAMA,Panamá	,Tocumen (incl. Las Mañanitas)	,,,,,
PANAMA,Panamá	,Veracruz	,PANAMA,Panamá	,Veracruz	,,,,,
PANAMA,Panamá	,Vista Alegre	,PANAMA,Panamá	,Vista Alegre	,,,,,
PANAMA,Veraguas	,"Santiago de Veraguas (incl. Canto del Llano, San Martín de Porres)	",PANAMA,Veraguas	,"Santiago de Veraguas (incl. Canto del Llano, San Martín de Porres)	",,,,,
PANAMA,Veraguas	,Soná	,PANAMA,Veraguas	,Soná	,,,,,
