COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
PARAGUAY,Alto Paraguay (incl. Chaco)	,Fuerte Olimpo	,PARAGUAY,Alto Paraguay (incl. Chaco)	,Fuerte Olimpo	,,,,,
PARAGUAY,Alto Paraná	,Ciudad del Este (Presidente Stroessner)	,PARAGUAY,Alto Paraná	,Ciudad del Este (Presidente Stroessner)	,,,,,
PARAGUAY,Alto Paraná	,Hernandarias	,PARAGUAY,Alto Paraná	,Hernandarias	,,,,,
PARAGUAY,Alto Paraná	,Minga Guazú	,PARAGUAY,Alto Paraná	,Minga Guazú	,,,,,
PARAGUAY,Alto Paraná	,Presidente Franco	,PARAGUAY,Alto Paraná	,Presidente Franco	,,,,,
PARAGUAY,Alto Paraná	,Santa Rita de Lima	,PARAGUAY,Alto Paraná	,Santa Rita de Lima	,,,,,
PARAGUAY,Amambay	,Pedro Juan Caballero	,PARAGUAY,Amambay	,Pedro Juan Caballero	,,,,,
PARAGUAY,Asunción	,Asunción	,PARAGUAY,Asunción	,Asunción	,,,,,
PARAGUAY,Boquerón (incl. Nueva Asunciõn)	,Filadelfia (Fernheim)	,PARAGUAY,Boquerón (incl. Nueva Asunciõn)	,Filadelfia (Fernheim)	,,,,,
PARAGUAY,Caaguazú	,Caaguazú	,PARAGUAY,Caaguazú	,Caaguazú	,,,,,
PARAGUAY,Caaguazú	,Coronel Oviedo	,PARAGUAY,Caaguazú	,Coronel Oviedo	,,,,,
PARAGUAY,Caaguazú	,Dr. J. Eulogio Estigarribia	,PARAGUAY,Caaguazú	,Dr. J. Eulogio Estigarribia	,,,,,
PARAGUAY,Caazapá	,Caazapá	,PARAGUAY,Caazapá	,Caazapá	,,,,,
PARAGUAY,Caazapá	,San Juan Nepomuceno	,PARAGUAY,Caazapá	,San Juan Nepomuceno	,,,,,
PARAGUAY,Canindeyú	,Curuguaty (San Isidro de Curuguaty)	,PARAGUAY,Canindeyú	,Curuguaty (San Isidro de Curuguaty)	,,,,,
PARAGUAY,Canindeyú	,Salto del Guairá	,PARAGUAY,Canindeyú	,Salto del Guairá	,,,,,
PARAGUAY,Central	,Areguá	,PARAGUAY,Central	,Areguá	,,,,,
PARAGUAY,Central	,Capiatá	,PARAGUAY,Central	,Capiatá	,,,,,
PARAGUAY,Central	,Fernando de la Mora	,PARAGUAY,Central	,Fernando de la Mora	,,,,,
PARAGUAY,Central	,Guarambaré	,PARAGUAY,Central	,Guarambaré	,,,,,
PARAGUAY,Central	,Itá	,PARAGUAY,Central	,Itá	,,,,,
PARAGUAY,Central	,Itauguá	,PARAGUAY,Central	,Itauguá	,,,,,
PARAGUAY,Central	,Lambaré	,PARAGUAY,Central	,Lambaré	,,,,,
PARAGUAY,Central	,Limpio	,PARAGUAY,Central	,Limpio	,,,,,
PARAGUAY,Central	,Luque	,PARAGUAY,Central	,Luque	,,,,,
PARAGUAY,Central	,Mariano Roque Alonso	,PARAGUAY,Central	,Mariano Roque Alonso	,,,,,
PARAGUAY,Central	,Ñemby	,PARAGUAY,Central	,Ñemby	,,,,,
PARAGUAY,Central	,San Antonio	,PARAGUAY,Central	,San Antonio	,,,,,
PARAGUAY,Central	,San Lorenzo	,PARAGUAY,Central	,San Lorenzo	,,,,,
PARAGUAY,Central	,Villa Elisa	,PARAGUAY,Central	,Villa Elisa	,,,,,
PARAGUAY,Central	,Villeta	,PARAGUAY,Central	,Villeta	,,,,,
PARAGUAY,Central	,Ypacaraí	,PARAGUAY,Central	,Ypacaraí	,,,,,
PARAGUAY,Central	,Ypané	,PARAGUAY,Central	,Ypané	,,,,,
PARAGUAY,Concepción	,Horqueta	,PARAGUAY,Concepción	,Horqueta	,,,,,
PARAGUAY,Cordillera	,Caacupé	,PARAGUAY,Cordillera	,Caacupé	,,,,,
PARAGUAY,Cordillera	,Eusebio Ayala	,PARAGUAY,Cordillera	,Eusebio Ayala	,,,,,
PARAGUAY,Cordillera	,Piribebuy	,PARAGUAY,Cordillera	,Piribebuy	,,,,,
PARAGUAY,Cordillera	,Tobatí	,PARAGUAY,Cordillera	,Tobatí	,,,,,
PARAGUAY,Guairá	,Villarrica	,PARAGUAY,Guairá	,Villarrica	,,,,,
PARAGUAY,Itapúa	,Coronel Bogado	,PARAGUAY,Itapúa	,Coronel Bogado	,,,,,
PARAGUAY,Itapúa	,Encarnación	,PARAGUAY,Itapúa	,Encarnación	,,,,,
PARAGUAY,Misiones	,Ayolas	,PARAGUAY,Misiones	,Ayolas	,,,,,
PARAGUAY,Misiones	,San Ignacio	,PARAGUAY,Misiones	,San Ignacio	,,,,,
PARAGUAY,Misiones	,San Juan Bautista	,PARAGUAY,Misiones	,San Juan Bautista	,,,,,
PARAGUAY,Ñeembucú	,Pilar	,PARAGUAY,Ñeembucú	,Pilar	,,,,,
PARAGUAY,Paraguarí	,Paraguarí	,PARAGUAY,Paraguarí	,Paraguarí	,,,,,
PARAGUAY,Presidente Hayes	,Benjamín Aceval	,PARAGUAY,Presidente Hayes	,Benjamín Aceval	,,,,,
PARAGUAY,Presidente Hayes	,Villa Hayes	,PARAGUAY,Presidente Hayes	,Villa Hayes	,,,,,
PARAGUAY,San Pedro	,San Pedro de Ycuamandiyú	,PARAGUAY,San Pedro	,San Pedro de Ycuamandiyú	,,,,,
