COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
PERU,Amazonas,Bagua Grande,PÉROU,Amazonas,Bagua Grande,,,,,
PERU,Apurímac,Abancay,PÉROU,Apurímac,Abancay,,,,,
PERU,Apurímac,Andahuaylas,PÉROU,Apurímac,Andahuaylas,,,,,
PERU,Áncash,Huaraz,PÉROU,Áncash,Huaraz,,,,,
PERU,Áncash,Chimbote,PÉROU,Áncash,Chimbote,,,,,
PERU,Ayacucho,Ayacucho,PÉROU,Ayacucho,Ayacucho,,,,,
PERU,Arequipa,Arequipa,PÉROU,Arequipa,Arequipa,,,,,
PERU,Cajamarca,Cajamarca,PÉROU,Cajamarca,Cajamarca,,,,,
PERU,Cajamarca,Jaén,PÉROU,Cajamarca,Jaén,,,,,
PERU,Cusco,Sicuani,PÉROU,Cusco,Sicuani,,,,,
PERU,Cusco,Cusco,PÉROU,Cusco,Cusco,,,,,
PERU,Ica,Ica,PÉROU,Ica,Ica,,,,,
PERU,Ica,Chincha,PÉROU,Ica,Chincha,,,,,
PERU,Ica,Pisco,PÉROU,Ica,Pisco,,,,,
PERU,	Iquitos,Iquitos,PÉROU,	Iquitos,Iquitos,,,,,
PERU,Junín,Tarma,PÉROU,Junín,Tarma,,,,,
PERU,Junín,Huancayo,PÉROU,Junín,Huancayo,,,,,
PERU,Lima,Mala,PÉROU,Lima,Mala,,,,,
PERU,Lima,Chancay,PÉROU,Lima,Chancay,,,,,
PERU,Lima,Barranca,PÉROU,Lima,Barranca,,,,,
PERU,Lima,San Vicente de Cañete,PÉROU,Lima,San Vicente de Cañete,,,,,
PERU,Lima,Huaral,PÉROU,Lima,Huaral,,,,,
PERU,Lima,Huacho,PÉROU,Lima,Huacho,,,,,
PERU,Lima,Lima,PÉROU,Lima,Lima,,,,,
PERU,La Libertad,Guadalupe,PÉROU,La Libertad,Guadalupe,,,,,
PERU,La Libertad,Pacasmayo,PÉROU,La Libertad,Pacasmayo,,,,,
PERU,La Libertad,Chepén,PÉROU,La Libertad,Chepén,,,,,
PERU,La Libertad,Trujillo,PÉROU,La Libertad,Trujillo,,,,,
PERU,Lambayeque,Chiclayo,PÉROU,Lambayeque,Chiclayo,,,,,
PERU,Lambayeque,Lambayeque,PÉROU,Lambayeque,Lambayeque,,,,,
PERU,Lambayeque,Ferreñafe,PÉROU,Lambayeque,Ferreñafe,,,,,
PERU,Loreto,Yurimaguas,PÉROU,Loreto,Yurimaguas,,,,,
PERU,Madre de Dios,Puerto Maldonado,PÉROU,Madre de Dios,Puerto Maldonado,,,,,
PERU,Moquegua,Moquegua,PÉROU,Moquegua,Moquegua,,,,,
PERU,Moquegua,Ilo,PÉROU,Moquegua,Ilo,,,,,
PERU,Pasco,Cerro de Pasco,PÉROU,Pasco,Cerro de Pasco,,,,,
PERU,Piura,Piura,PÉROU,Piura,Piura,,,,,
PERU,Piura,Sullana,PÉROU,Piura,Sullana,,,,,
PERU,Piura,Paita,PÉROU,Piura,Paita,,,,,
PERU,Piura,Catacaos,PÉROU,Piura,Catacaos,,,,,
PERU,Piura,Talara,PÉROU,Piura,Talara,,,,,
PERU,Piura,Chulucanas,PÉROU,Piura,Chulucanas,,,,,
PERU,Piura,Sechura,PÉROU,Piura,Sechura,,,,,
PERU,Puno,Juliaca,PÉROU,Puno,Juliaca,,,,,
PERU,Puno,Puno,PÉROU,Puno,Puno,,,,,
PERU,San Martín,	Tarapoto,PÉROU,San Martín,	Tarapoto,,,,,
PERU,San Martín,Moyobamba,PÉROU,San Martín,Moyobamba,,,,,
PERU,Tacna,Tacna,PÉROU,Tacna,Tacna,,,,,
PERU,Tumbes,Tumbes,PÉROU,Tumbes,Tumbes,,,,,
PERU,Ucayali,Pucallpa,PÉROU,Ucayali,Pucallpa,,,,,
