COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Bugaragara (Rwimiyaga)	,RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Bugaragara (Rwimiyaga)	,,,,,
RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Kayonza	,RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Kayonza	,,,,,
RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Kibungo	,RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Kibungo	,,,,,
RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Nyamata,RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Nyamata,,,,,
RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Rwamagana	,RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Rwamagana	,,,,,
RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Umutara (Nyagatare)	,RWANDA,Est (Intara y'Iburasirazuba) [Eastern]	,Umutara (Nyagatare)	,,,,,
RWANDA,Kigali	,Kabuga	,RWANDA,Kigali	,Kabuga	,,,,,
RWANDA,Kigali	,Kigali	,RWANDA,Kigali	,Kigali	,,,,,
RWANDA,Nord (Intara y'Amajyaruguru) [Northern]	,Byumba	,RWANDA,Nord (Intara y'Amajyaruguru) [Northern]	,Byumba	,,,,,
RWANDA,Nord (Intara y'Amajyaruguru) [Northern]	,Kinigi	,RWANDA,Nord (Intara y'Amajyaruguru) [Northern]	,Kinigi	,,,,,
RWANDA,Nord (Intara y'Amajyaruguru) [Northern]	,Mukingo (Busogo)	,RWANDA,Nord (Intara y'Amajyaruguru) [Northern]	,Mukingo (Busogo)	,,,,,
RWANDA,Nord (Intara y'Amajyaruguru) [Northern]	,Ruhengeri	,RWANDA,Nord (Intara y'Amajyaruguru) [Northern]	,Ruhengeri	,,,,,
RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Bigogwe	,RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Bigogwe	,,,,,
RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Bugarama	,RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Bugarama	,,,,,
RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Cyangugu (Shangugu)	,RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Cyangugu (Shangugu)	,,,,,
RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Gisenyi	,RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Gisenyi	,,,,,
RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Kibuye (Bwishyura)	,RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Kibuye (Bwishyura)	,,,,,
RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Kora (Jende)	,RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Kora (Jende)	,,,,,
RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Mabanza (Rubengera)	,RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Mabanza (Rubengera)	,,,,,
RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Mukamira	,RWANDA,Ouest (Intara y'Iburengerazuba) [Western]	,Mukamira	,,,,,
RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Butare	,RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Butare	,,,,,
RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Gikongoro	,RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Gikongoro	,,,,,
RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Gitarama (Muhanga)	,RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Gitarama (Muhanga)	,,,,,
RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Kamuhanda / Ruyenzi (Runda)	,RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Kamuhanda / Ruyenzi (Runda)	,,,,,
RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Mugina	,RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Mugina	,,,,,
RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Nyanza (Nyabisindu)	,RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Nyanza (Nyabisindu)	,,,,,
RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Ruhango	,RWANDA,Sud (Intara y'Amajyepfo) [Southern]	,Ruhango	,,,,,
