COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
SENEGAL,Dakar	,Bargny	,SÉNÉGAL,Dakar	,Bargny	,,,,,
SENEGAL,Dakar	,"Dakar (incl. Pikine, Guédiawaye)	",SÉNÉGAL,Dakar	,"Dakar (incl. Pikine, Guédiawaye)	",,,,,
SENEGAL,Dakar	,Diamniadio	,SÉNÉGAL,Dakar	,Diamniadio	,,,,,
SENEGAL,Dakar	,Jaxaay - Parcelles - Niakoul Rab	,SÉNÉGAL,Dakar	,Jaxaay - Parcelles - Niakoul Rab	,,,,,
SENEGAL,Dakar	,Rufisque	,SÉNÉGAL,Dakar	,Rufisque	,,,,,
SENEGAL,Dakar	,Sangalkam	,SÉNÉGAL,Dakar	,Sangalkam	,,,,,
SENEGAL,Dakar	,Sébikhotane	,SÉNÉGAL,Dakar	,Sébikhotane	,,,,,
SENEGAL,Diourbel	,Bambey	,SÉNÉGAL,Diourbel	,Bambey	,,,,,
SENEGAL,Diourbel	,Diourbel	,SÉNÉGAL,Diourbel	,Diourbel	,,,,,
SENEGAL,Diourbel	,Touba (Touba Mosquée)	,SÉNÉGAL,Diourbel	,Touba (Touba Mosquée)	,,,,,
SENEGAL,Fatick	,Fatick	,SÉNÉGAL,Fatick	,Fatick	,,,,,
SENEGAL,Fatick	,Gossas	,SÉNÉGAL,Fatick	,Gossas	,,,,,
SENEGAL,Fatick	,Passy (Passi)	,SÉNÉGAL,Fatick	,Passy (Passi)	,,,,,
SENEGAL,Fatick	,Sokone	,SÉNÉGAL,Fatick	,Sokone	,,,,,
SENEGAL,Kaffrine	,Koungheul	,SÉNÉGAL,Kaffrine	,Koungheul	,,,,,
SENEGAL,Kaffrine	,Kaffrine	,SÉNÉGAL,Kaffrine	,Kaffrine	,,,,,
SENEGAL,Kaolack	,Gandiaye	,SÉNÉGAL,Kaolack	,Gandiaye	,,,,,
SENEGAL,Kaolack	,Guinguinéo	,SÉNÉGAL,Kaolack	,Guinguinéo	,,,,,
