COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
SOUTH AFRICA,Eastern Cape	,Alice	,AFRIQUE DU SUD,Eastern Cape	,Alice	,,,,,
SOUTH AFRICA,Eastern Cape	,Bisho [Bhisho]	,AFRIQUE DU SUD,Eastern Cape	,Bisho [Bhisho]	,,,,,
SOUTH AFRICA,Eastern Cape	,Burgersdorp (- Mzamomhle)	,AFRIQUE DU SUD,Eastern Cape	,Burgersdorp (- Mzamomhle)	,,,,,
SOUTH AFRICA,Eastern Cape	,Butterworth	,AFRIQUE DU SUD,Eastern Cape	,Butterworth	,,,,,
SOUTH AFRICA,Eastern Cape	,Cradock (- Lingelihle)	,AFRIQUE DU SUD,Eastern Cape	,Cradock (- Lingelihle)	,,,,,
SOUTH AFRICA,Eastern Cape	,Dimbaza	,AFRIQUE DU SUD,Eastern Cape	,Dimbaza	,,,,,
SOUTH AFRICA,Eastern Cape	,East London	,AFRIQUE DU SUD,Eastern Cape	,East London	,,,,,
SOUTH AFRICA,Eastern Cape	,Elliot (- Masibambane - Takalani - Vergenoeg - Polar Park)	,AFRIQUE DU SUD,Eastern Cape	,Elliot (- Masibambane - Takalani - Vergenoeg - Polar Park)	,,,,,
SOUTH AFRICA,Eastern Cape	,Fort Beaufort (- Kwatinidubu)	,AFRIQUE DU SUD,Eastern Cape	,Fort Beaufort (- Kwatinidubu)	,,,,,
SOUTH AFRICA,Eastern Cape	,Gonubie (- Mzamonhle)	,AFRIQUE DU SUD,Eastern Cape	,Gonubie (- Mzamonhle)	,,,,,
SOUTH AFRICA,Eastern Cape	,Graaff-Reinet (- uMasizakhe)	,AFRIQUE DU SUD,Eastern Cape	,Graaff-Reinet (- uMasizakhe)	,,,,,
SOUTH AFRICA,Eastern Cape	,Grahamstown (- Rhini)	,AFRIQUE DU SUD,Eastern Cape	,Grahamstown (- Rhini)	,,,,,
SOUTH AFRICA,Eastern Cape	,Humansdorp (- Kruisfontein - KwaNomzamo),AFRIQUE DU SUD,Eastern Cape	,Humansdorp (- Kruisfontein - KwaNomzamo),,,,,
SOUTH AFRICA,Eastern Cape	,Jeffreys Bay (- Paradise Beach)	,AFRIQUE DU SUD,Eastern Cape	,Jeffreys Bay (- Paradise Beach)	,,,,,
SOUTH AFRICA,Eastern Cape	,King William's Town (- Bisho - Zwelitsha)	,AFRIQUE DU SUD,Eastern Cape	,King William's Town (- Bisho - Zwelitsha)	,,,,,
SOUTH AFRICA,Eastern Cape	,Mdantsane (- Potsdam)	,AFRIQUE DU SUD,Eastern Cape	,Mdantsane (- Potsdam)	,,,,,
SOUTH AFRICA,Eastern Cape	,Middelburg (- KwaNonzame - Midros)	,AFRIQUE DU SUD,Eastern Cape	,Middelburg (- KwaNonzame - Midros)	,,,,,
SOUTH AFRICA,Eastern Cape	,Mthatha [Umtata]	,AFRIQUE DU SUD,Eastern Cape	,Mthatha [Umtata]	,,,,,
SOUTH AFRICA,Eastern Cape	,Ndevana (- Izeleni)	,AFRIQUE DU SUD,Eastern Cape	,Ndevana (- Izeleni)	,,,,,
SOUTH AFRICA,Eastern Cape	,Port Alfred (- Nkwenkwezi)	,AFRIQUE DU SUD,Eastern Cape	,Port Alfred (- Nkwenkwezi)	,,,,,
SOUTH AFRICA,Eastern Cape	,"Port Elizabeth (incl. Ibhayi, Bethelsdorp, Motherwell)	",AFRIQUE DU SUD,Eastern Cape	,"Port Elizabeth (incl. Ibhayi, Bethelsdorp, Motherwell)	",,,,,
SOUTH AFRICA,Eastern Cape	,Queenstown (- Mlungisi - Ezibeleni)	,AFRIQUE DU SUD,Eastern Cape	,Queenstown (- Mlungisi - Ezibeleni)	,,,,,
SOUTH AFRICA,Eastern Cape	,Somerset East (- KwaNojoli)	,AFRIQUE DU SUD,Eastern Cape	,Somerset East (- KwaNojoli)	,,,,,
SOUTH AFRICA,Eastern Cape	,Stutterheim (- Cumakala)	,AFRIQUE DU SUD,Eastern Cape	,Stutterheim (- Cumakala)	,,,,,
SOUTH AFRICA,Eastern Cape	,Uitenhage (- Kwanobuhle - Despatch)	,AFRIQUE DU SUD,Eastern Cape	,Uitenhage (- Kwanobuhle - Despatch)	,,,,,
SOUTH AFRICA,Eastern Cape	,Whittlesea (- Sada - Ekuphumleni)	,AFRIQUE DU SUD,Eastern Cape	,Whittlesea (- Sada - Ekuphumleni)	,,,,,
SOUTH AFRICA,Free State (Oranje Free State)	,Allanridge (- Phathakahle)	,AFRIQUE DU SUD,Free State (Oranje Free State)	,Allanridge (- Phathakahle)	,,,,,
SOUTH AFRICA,Free State (Oranje Free State)	,Bethlehem (- Bohlokong)	,AFRIQUE DU SUD,Free State (Oranje Free State)	,Bethlehem (- Bohlokong)	,,,,,
SOUTH AFRICA,Free State (Oranje Free State)	,Bloemfontein (- Mangaung)	,AFRIQUE DU SUD,Free State (Oranje Free State)	,Bloemfontein (- Mangaung)	,,,,,
