COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
TOGO,Centrale	,Blitta	,TOGO,Centrale	,Blitta	,,,,,
TOGO,Centrale	,Sokodé	,TOGO,Centrale	,Sokodé	,,,,,
TOGO,Centrale	,Sotouboua	,TOGO,Centrale	,Sotouboua	,,,,,
TOGO,Centrale	,Tchamba	,TOGO,Centrale	,Tchamba	,,,,,
TOGO,Kara	,Bafilo	,TOGO,Kara	,Bafilo	,,,,,
TOGO,Kara	,Bassar (Bassari)	,TOGO,Kara	,Bassar (Bassari)	,,,,,
TOGO,Kara	,Guérin-Kouka	,TOGO,Kara	,Guérin-Kouka	,,,,,
TOGO,Kara	,Kandé (Kantè)	,TOGO,Kara	,Kandé (Kantè)	,,,,,
TOGO,Kara	,Kara (Lama-Kara)	,TOGO,Kara	,Kara (Lama-Kara)	,,,,,
TOGO,Kara	,Niamtougou,TOGO,Kara	,Niamtougou,,,,,
TOGO,Maritime,Aného (Anécho)	,TOGO,Maritime,Aného (Anécho)	,,,,,
TOGO,Maritime,Lomé	,TOGO,Maritime,Lomé	,,,,,
TOGO,Maritime,Tabligbo	,TOGO,Maritime,Tabligbo	,,,,,
TOGO,Maritime,Tsévié	,TOGO,Maritime,Tsévié	,,,,,
TOGO,Maritime,Vogan	,TOGO,Maritime,Vogan	,,,,,
TOGO,Plateaux	,Anié	,TOGO,Plateaux	,Anié	,,,,,
TOGO,Plateaux	,Atakpamé	,TOGO,Plateaux	,Atakpamé	,,,,,
TOGO,Plateaux	,Badou	,TOGO,Plateaux	,Badou	,,,,,
TOGO,Plateaux	,Kpalimé (Palimé)	,TOGO,Plateaux	,Kpalimé (Palimé)	,,,,,
TOGO,Plateaux	,Notsé	,TOGO,Plateaux	,Notsé	,,,,,
TOGO,Savanes	,Cinkassé (Senkase)	,TOGO,Savanes	,Cinkassé (Senkase)	,,,,,
TOGO,Savanes	,Dapaong (Dapango)	,TOGO,Savanes	,Dapaong (Dapango)	,,,,,
TOGO,Savanes	,Sansanné-Mango (Mango)	,TOGO,Savanes	,Sansanné-Mango (Mango)	,,,,,
