COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
UNITED KINGDOM,England	,Aldershot	,ROYAUME-UNI,England	,Aldershot	,,,,,
UNITED KINGDOM,England	,Altrincham	,ROYAUME-UNI,England	,Altrincham	,,,,,
UNITED KINGDOM,England	,Ashford	,ROYAUME-UNI,England	,Ashford	,,,,,
UNITED KINGDOM,England	,Atherton	,ROYAUME-UNI,England	,Atherton	,,,,,
UNITED KINGDOM,England	,Aylesbury	,ROYAUME-UNI,England	,Aylesbury	,,,,,
UNITED KINGDOM,England	,Bamber Bridge	,ROYAUME-UNI,England	,Bamber Bridge	,,,,,
UNITED KINGDOM,England	,Barnsley	,ROYAUME-UNI,England	,Barnsley	,,,,,
UNITED KINGDOM,England	,Basildon	,ROYAUME-UNI,England	,Basildon	,,,,,
UNITED KINGDOM,England	,Basingstoke	,ROYAUME-UNI,England	,Basingstoke	,,,,,
UNITED KINGDOM,England	,Bath	,ROYAUME-UNI,England	,Bath	,,,,,
UNITED KINGDOM,England	,Batley	,ROYAUME-UNI,England	,Batley	,,,,,
UNITED KINGDOM,England	,Bebington	,ROYAUME-UNI,England	,Bebington	,,,,,
UNITED KINGDOM,England	,Bedford	,ROYAUME-UNI,England	,Bedford	,,,,,
UNITED KINGDOM,England	,Beeston	,ROYAUME-UNI,England	,Beeston	,,,,,
UNITED KINGDOM,England	,Birkenhead	,ROYAUME-UNI,England	,Birkenhead	,,,,,
UNITED KINGDOM,England	,Birmingham	,ROYAUME-UNI,England	,Birmingham	,,,,,
UNITED KINGDOM,England	,Blackburn	,ROYAUME-UNI,England	,Blackburn	,,,,,
UNITED KINGDOM,England	,Blackpool	,ROYAUME-UNI,England	,Blackpool	,,,,,
UNITED KINGDOM,England	,Bloxwich	,ROYAUME-UNI,England	,Bloxwich	,,,,,
UNITED KINGDOM,England	,Bognor Regis	,ROYAUME-UNI,England	,Bognor Regis	,,,,,
UNITED KINGDOM,England	,Bolton	,ROYAUME-UNI,England	,Bolton	,,,,,
UNITED KINGDOM,England	,Bootle	,ROYAUME-UNI,England	,Bootle	,,,,,
UNITED KINGDOM,England	,Bournemouth	,ROYAUME-UNI,England	,Bournemouth	,,,,,
UNITED KINGDOM,England	,Bracknell	,ROYAUME-UNI,England	,Bracknell	,,,,,
UNITED KINGDOM,England	,Bradford	,ROYAUME-UNI,England	,Bradford	,,,,,
UNITED KINGDOM,England	,Brentwood	,ROYAUME-UNI,England	,Brentwood	,,,,,
UNITED KINGDOM,England	,Brighton and Hove	,ROYAUME-UNI,England	,Brighton and Hove	,,,,,
UNITED KINGDOM,England	,Bristol	,ROYAUME-UNI,England	,Bristol	,,,,,
UNITED KINGDOM,England	,Burnley	,ROYAUME-UNI,England	,Burnley	,,,,,
UNITED KINGDOM,England	,Burton upon Trent	,ROYAUME-UNI,England	,Burton upon Trent	,,,,,
UNITED KINGDOM,England	,Bury	,ROYAUME-UNI,England	,Bury	,,,,,
UNITED KINGDOM,England	,Cambridge (/ Milton)	,ROYAUME-UNI,England	,Cambridge (/ Milton)	,,,,,
UNITED KINGDOM,England	,Cannock	,ROYAUME-UNI,England	,Cannock	,,,,,
UNITED KINGDOM,England	,Canterbury	,ROYAUME-UNI,England	,Canterbury	,,,,,
UNITED KINGDOM,England	,Carlisle	,ROYAUME-UNI,England	,Carlisle	,,,,,
UNITED KINGDOM,England	,Carlton	,ROYAUME-UNI,England	,Carlton	,,,,,
UNITED KINGDOM,England	,Chatham	,ROYAUME-UNI,England	,Chatham	,,,,,
UNITED KINGDOM,England	,Chelmsford	,ROYAUME-UNI,England	,Chelmsford	,,,,,
UNITED KINGDOM,England	,Cheltenham	,ROYAUME-UNI,England	,Cheltenham	,,,,,
UNITED KINGDOM,England	,Chester	,ROYAUME-UNI,England	,Chester	,,,,,
UNITED KINGDOM,England	,Chesterfield	,ROYAUME-UNI,England	,Chesterfield	,,,,,
UNITED KINGDOM,England	,Christchurch	,ROYAUME-UNI,England	,Christchurch	,,,,,
UNITED KINGDOM,England	,Clacton-on-Sea	,ROYAUME-UNI,England	,Clacton-on-Sea	,,,,,
UNITED KINGDOM,England	,Colchester	,ROYAUME-UNI,England	,Colchester	,,,,,
UNITED KINGDOM,England	,Corby	,ROYAUME-UNI,England	,Corby	,,,,,
UNITED KINGDOM,England	,Coventry	,ROYAUME-UNI,England	,Coventry	,,,,,
UNITED KINGDOM,England	,Crawley	,ROYAUME-UNI,England	,Crawley	,,,,,
UNITED KINGDOM,England	,Crewe	,ROYAUME-UNI,England	,Crewe	,,,,,
UNITED KINGDOM,England	,Crosby	,ROYAUME-UNI,England	,Crosby	,,,,,
UNITED KINGDOM,England	,Darlington	,ROYAUME-UNI,England	,Darlington	,,,,,
UNITED KINGDOM,England	,Derby	,ROYAUME-UNI,England	,Derby	,,,,,
UNITED KINGDOM,England	,Dewsbury	,ROYAUME-UNI,England	,Dewsbury	,,,,,
UNITED KINGDOM,England	,Doncaster	,ROYAUME-UNI,England	,Doncaster	,,,,,
UNITED KINGDOM,England	,Dudley	,ROYAUME-UNI,England	,Dudley	,,,,,
UNITED KINGDOM,England	,Durham	,ROYAUME-UNI,England	,Durham	,,,,,
UNITED KINGDOM,England	,Eastbourne	,ROYAUME-UNI,England	,Eastbourne	,,,,,
UNITED KINGDOM,England	,Eastleigh	,ROYAUME-UNI,England	,Eastleigh	,,,,,
UNITED KINGDOM,England	,Ellesmere Port	,ROYAUME-UNI,England	,Ellesmere Port	,,,,,
UNITED KINGDOM,England	,Esher	,ROYAUME-UNI,England	,Esher	,,,,,
UNITED KINGDOM,England	,Ewell	,ROYAUME-UNI,England	,Ewell	,,,,,
UNITED KINGDOM,England	,Exeter	,ROYAUME-UNI,England	,Exeter	,,,,,
UNITED KINGDOM,England	,Farnborough	,ROYAUME-UNI,England	,Farnborough	,,,,,
UNITED KINGDOM,England	,Filton	,ROYAUME-UNI,England	,Filton	,,,,,
UNITED KINGDOM,England	,Folkestone	,ROYAUME-UNI,England	,Folkestone	,,,,,
UNITED KINGDOM,England	,Gateshead	,ROYAUME-UNI,England	,Gateshead	,,,,,
UNITED KINGDOM,England	,Gillingham	,ROYAUME-UNI,England	,Gillingham	,,,,,
UNITED KINGDOM,England	,Gloucester	,ROYAUME-UNI,England	,Gloucester	,,,,,
UNITED KINGDOM,England	,Gosport	,ROYAUME-UNI,England	,Gosport	,,,,,
