COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
Venezuela,Amazonas,La Esmeralda,Venezuela,Amazonas,La Esmeralda,,,,,
Venezuela,Amazonas,Maroa,Venezuela,Amazonas,Maroa,,,,,
Venezuela,Amazonas,Puerto Ayacucho,Venezuela,Amazonas,Puerto Ayacucho,,,,,
Venezuela,Amazonas,San Carlos de Río Negro,Venezuela,Amazonas,San Carlos de Río Negro,,,,,
Venezuela,Amazonas,San Fernando de Atabapo,Venezuela,Amazonas,San Fernando de Atabapo,,,,,
Venezuela,Amazonas,San Juan de Manapiare,Venezuela,Amazonas,San Juan de Manapiare,,,,,
Venezuela,Amazonas,Isla Ratón,Venezuela,Amazonas,Isla Ratón,,,,,
Venezuela,Anzoátegui,Anaco,Venezuela,Anzoátegui,Anaco,,,,,
Venezuela,Anzoátegui,Aragua de Barcelona,Venezuela,Anzoátegui,Aragua de Barcelona,,,,,
Venezuela,Anzoátegui,Barcelona*,Venezuela,Anzoátegui,Barcelona*,,,,,
Venezuela,Anzoátegui,Caigua,Venezuela,Anzoátegui,Caigua,,,,,
Venezuela,Anzoátegui,Cantaura,Venezuela,Anzoátegui,Cantaura,,,,,
Venezuela,Anzoátegui,Clarines,Venezuela,Anzoátegui,Clarines,,,,,
Venezuela,Anzoátegui,El Chaparro,Venezuela,Anzoátegui,El Chaparro,,,,,
Venezuela,Anzoátegui,El Tigre,Venezuela,Anzoátegui,El Tigre,,,,,
Venezuela,Anzoátegui,Guanta,Venezuela,Anzoátegui,Guanta,,,,,
Venezuela,Anzoátegui,Lechería,Venezuela,Anzoátegui,Lechería,,,,,
Venezuela,Anzoátegui,Mapire,Venezuela,Anzoátegui,Mapire,,,,,
Venezuela,Anzoátegui,Onoto,Venezuela,Anzoátegui,Onoto,,,,,
Venezuela,Anzoátegui,Pariguán,Venezuela,Anzoátegui,Pariguán,,,,,
Venezuela,Anzoátegui,Puerto La Cruz,Venezuela,Anzoátegui,Puerto La Cruz,,,,,
