COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
ZIMBABWE,Bulawayo        ,Bulawayo        ,ZIMBABWE,Bulawayo        ,Bulawayo        ,ZIMBABWE,Bulawayo        ,Bulawayo        ,,
ZIMBABWE,Harare	,Epworth	,ZIMBABWE,Harare	,Epworth	,ZIMBABWE,Harare	,Epworth	,,
ZIMBABWE,Harare	,Harare       ,ZIMBABWE,Harare	,Harare       ,ZIMBABWE,Harare	,Harare       ,,
ZIMBABWE,Manicaland	,Chipinge	,ZIMBABWE,Manicaland	,Chipinge	,ZIMBABWE,Manicaland	,Chipinge	,,
ZIMBABWE,Manicaland	,Mutare      ,ZIMBABWE,Manicaland	,Mutare      ,ZIMBABWE,Manicaland	,Mutare      ,,
ZIMBABWE,Manicaland	,Rusape     ,ZIMBABWE,Manicaland	,Rusape     ,ZIMBABWE,Manicaland	,Rusape     ,,
ZIMBABWE,Mashonaland Central	,Bindura	,ZIMBABWE,Mashonaland Central	,Bindura	,ZIMBABWE,Mashonaland Central	,Bindura	,,
ZIMBABWE,Mashonaland Central	,Glendale	,ZIMBABWE,Mashonaland Central	,Glendale	,ZIMBABWE,Mashonaland Central	,Glendale	,,
ZIMBABWE,Mashonaland Central	,Mvurwi	,ZIMBABWE,Mashonaland Central	,Mvurwi	,ZIMBABWE,Mashonaland Central	,Mvurwi	,,
ZIMBABWE,Mashonaland Central	,Shamva       ,ZIMBABWE,Mashonaland Central	,Shamva       ,ZIMBABWE,Mashonaland Central	,Shamva       ,,
ZIMBABWE,Mashonaland East	,Marondera ,ZIMBABWE,Mashonaland est	,Marondera ,ZIMBABWE,Mashonaland Este	,Marondera ,,
ZIMBABWE,Mashonaland East	,Murehwa	,ZIMBABWE,Mashonaland est	,Murehwa	,ZIMBABWE,Mashonaland Este	,Murehwa	,,
ZIMBABWE,Mashonaland East	,Mutoko	,ZIMBABWE,Mashonaland est	,Mutoko	,ZIMBABWE,Mashonaland Este	,Mutoko	,,
ZIMBABWE,Mashonaland East	,Ruwa      ,ZIMBABWE,Mashonaland est	,Ruwa      ,ZIMBABWE,Mashonaland Este	,Ruwa      ,,
ZIMBABWE,Mashonaland West	,Banket	,ZIMBABWE,Mashonaland Ouest	,Banket	,ZIMBABWE,Mashonaland Oeste	,Banket	,,
ZIMBABWE,Mashonaland West	,Chegutu	,ZIMBABWE,Mashonaland Ouest	,Chegutu	,ZIMBABWE,Mashonaland Oeste	,Chegutu	,,
ZIMBABWE,Mashonaland West	,Chinhoyi        ,ZIMBABWE,Mashonaland Ouest	,Chinhoyi        ,ZIMBABWE,Mashonaland Oeste	,Chinhoyi        ,,
ZIMBABWE,Mashonaland West	,Harare Western Suburbs     ,ZIMBABWE,Mashonaland Ouest	,Harare Ouestern Suburbs     ,ZIMBABWE,Mashonaland Oeste	,Harare Oesteern Suburbs     ,,
ZIMBABWE,Mashonaland West	,Kadoma     ,ZIMBABWE,Mashonaland Ouest	,Kadoma     ,ZIMBABWE,Mashonaland Oeste	,Kadoma     ,,
ZIMBABWE,Mashonaland West	,Kariba	,ZIMBABWE,Mashonaland Ouest	,Kariba	,ZIMBABWE,Mashonaland Oeste	,Kariba	,,
ZIMBABWE,Mashonaland West	,Karoi	,ZIMBABWE,Mashonaland Ouest	,Karoi	,ZIMBABWE,Mashonaland Oeste	,Karoi	,,
ZIMBABWE,Mashonaland West	,Mount Hampden	,ZIMBABWE,Mashonaland Ouest	,Mount Hampden	,ZIMBABWE,Mashonaland Oeste	,Mount Hampden	,,
ZIMBABWE,Mashonaland West	,Norton	,ZIMBABWE,Mashonaland Ouest	,Norton	,ZIMBABWE,Mashonaland Oeste	,Norton	,,
ZIMBABWE,Masvingo (Victoria)	,Mashava Mine	,ZIMBABWE,Masvingo (Victoria)	,Mashava Mine	,ZIMBABWE,Masvingo (Victoria)	,Mashava Mine	,,
ZIMBABWE,Masvingo (Victoria)	,Masvingo (Fort Victoria)	,ZIMBABWE,Masvingo (Victoria)	,Masvingo (Fort Victoria)	,ZIMBABWE,Masvingo (Victoria)	,Masvingo (Fort Victoria)	,,
ZIMBABWE,Matabeleland North        ,Bulawayo	,ZIMBABWE,Matabeleland Nord        ,Bulawayo	,ZIMBABWE,Matabeleland norte        ,Bulawayo	,,
ZIMBABWE,Matabeleland North        ,Hwange (Wankie)	,ZIMBABWE,Matabeleland Nord        ,Hwange (Wankie)	,ZIMBABWE,Matabeleland norte        ,Hwange (Wankie)	,,
ZIMBABWE,Matabeleland North	,Lupane	,ZIMBABWE,Matabeleland Nord	,Lupane	,ZIMBABWE,Matabeleland norte	,Lupane	,,
ZIMBABWE,Matabeleland North	,Victoria Falls	,ZIMBABWE,Matabeleland Nord	,Victoria Falls	,ZIMBABWE,Matabeleland norte	,Victoria Falls	,,
ZIMBABWE,Matabeleland South	,Beitbridge	,ZIMBABWE,Matabeleland Sud	,Beitbridge	,ZIMBABWE,Matabeleland Sur	,Beitbridge	,,
ZIMBABWE,Matabeleland South	,Gwanda (Jawunda)	,ZIMBABWE,Matabeleland Sud	,Gwanda (Jawunda)	,ZIMBABWE,Matabeleland Sur	,Gwanda (Jawunda)	,,
ZIMBABWE,Matabeleland South	,Plumtree (Mangwe Urban)	,ZIMBABWE,Matabeleland Sud	,Plumtree (Mangwe Urban)	,ZIMBABWE,Matabeleland Sur	,Plumtree (Mangwe Urban)	,,
ZIMBABWE,Midlands	,Gokwe	,ZIMBABWE,Midlands	,Gokwe	,ZIMBABWE,Midlands	,Gokwe	,,
ZIMBABWE,Midlands	,Gweru (Gwelo)	,ZIMBABWE,Midlands	,Gweru (Gwelo)	,ZIMBABWE,Midlands	,Gweru (Gwelo)	,,
