English,French,Spanish
Accounting Product,Produit comptable,
Accounting Services,Services de comptabilité,
Advertising Services,Services publicitaires,
Advertising Technology,Technologie publicitaire,
Aerospace Services,Services aérospatiaux,
Agricultural Products,Produit agricole,
Agricultural Services,Services agricoles,
Aircraft Industry,Industrie aéronautique,
Air Freight and Logistics Services,Services de fret aérien et de logistique,
Air Transport Services,Services de transport aérien,
Air Transport Unions,Syndicats du transport aérien,
Alcoholic Beverages,Boissons alcoolisées,
Alternative Energy Production and Services,Production d'énergie alternative et services,
Alternative Dispute Resolution,Règlement extrajudiciaire des différends,
Alternative Medicine,Autre médecine ,
Animation Services,Services d'animation,
Apparel and Fashion,Vêtements et mode,
Architecture & Planning,Architecture et planification,
Architectural Services,Services d'architecture,
Attorney/ Law firms,Avocat / Cabinet d'avocats,
Arts and Crafts Industry,Industrie des arts et métiers,
Alcohol Industry,L'industrie de l'alcool,
Automobile Equipment - Rental and Leasing,Équipement automobile - location et location à bail,
Auto Components,Composants Auto,
Auto Dealers,Concessionnaires automobiles,
Auto Manufacturers,Constructeurs automobiles,
Aviation/ Airlines industry,Aviation / Compagnies aériennes,
Banking industry,L'industrie banquaire,
Bars & Restaurants,Bars et Restaurants,
Beverages and Soft Drinks,Boissons et Boissons Gazeuses,
"Beer, Wine, and Liquor stores","Magasins de bière, vin et alcool",
Bicycle Industry,Industrie du vélo,
Biotechnology,Biotechnologie,
"Books, Magazines and Newspapers Publishing","Publication de livres, de magazines et de journaux",
"Books, Magazines and Newspapers Distribution","Distribution de livres, de magazines et de journaux",
Broadcast Media,Médias de diffusion,
Builders/ General Contractors,Constructeurs / entrepreneurs généraux,
Building Materials Manufacturing,Fabrication de matériaux de construction,
Building Material Supplies,Fournitures de matériaux de construction,
Business Association,Association commerciale,
Business Services,Les services d'entreprise,
Business Supplies and Equipment,Fournitures et équipement d'entreprise,
Cable & Satellite TV Production & Distribution,Production et distribution de télévision par câble et satellite,
Capital Markets,Les marchés de capitaux,
Casinos and Gambling,Casinos et jeux de hasard,
Cement Industry,L'industrie du ciment,
Cattle Ranchers/Livestock,Éleveurs de bétail ,
Chemical Industry,Industrie chimique,
Chemical and Related Manufacturing,Fabrication de produits chimiques et connexes,
Chiropractors,Chiropraticiens,
Civic and Social Organization,Organisation civique et sociale,
Civil Engineering,Génie civil,
Clothing Manufacturing,Fabrication de vêtements,
Coal Distribution and Sales,Distribution de charbon et vente,
Coal Mining,Mine de charbon,
College,Collège,
Commercial Real Estate,Immobilier commercial,
Commercial Services & Supplies,Services commerciaux et fournitures,
Communications Equipment,Matériel de communication,
Computer and Network Security,Sécurité informatique et réseau,
Computer Games,Jeux d'ordinateur,
Computer Hardware,Matériel informatique,
Computer Industry,Industrie informatique,
Computer Networking,Réseaux informatiques,
Computer Software,Logiciel,
Construction industry,Industrie de construction,
Construction and Engineering,Construction et ingénierie,
Construction Materials,Matériaux de construction,
Consumer Discretionary,Consommation discrétionnaire,
Consumer Electronics,Electronique pour le grand public,
Consumer Finance,Crédit à la consommation,
Consumer Goods,Biens de consommation,
Consumer Services,Services aux consommateurs,
Consumer Staples,Agrafes de consommation,
Containers and Packaging,Conteneurs et Emballage,
Continuing Care and Retirement Services,Services de soins continus et de retraite,
Cosmetics,Produits de beauté,
Diamond industry,Industrie du diamant,
Dairy,Laitier,
Defense,La défense,
Design,Conception,
Distributors,Distributeurs,
Diversified Consumer Services,Services aux consommateurs divers,
Diversified Financial Services,Services financiers divers,
Diversified Telecommunication Services,Services de télécommunications divers,
Drink Industry,Industrie de la boisson,
Drugs Discovery,Découverte de drogues,
Education Industry,Industrie de l'éducation,
Education Management,Gestion de l'éducation,
E-Learning,E-Learning,
Electronic Industry,Industrie électronique,
Electrical Equipment,Équipement électrique,
Electrical and Electronic Manufacturing,Fabrication électrique et électronique,
Electrical Utilities,Services d'électricité,
Electronic Equipment and Instruments,Équipements et instruments électroniques,
Employment Movement and Pressure Groups,Mouvement de l'emploi et groupes de pression,
Energy Equipment and Services,Équipements et services énergétiques,
Energy Industry,Industrie énergétique,
Entertainment Industry,Industrie du divertissement,
Environmental Services,Services environnementaux,
Events Services,Services des événements,
Facilities Services,Services des installations,
Farming,Agriculture,
Finance,Finance,
Financial Services,Services financiers,
Fine Art Industry,Industrie des beaux-arts,
Fishing Industry,Industrie de la pêche,
Food and Beverages,Aliments et boissons,
Forestry and Forest Products,Foresterie et produits forestiers,
"Foundations, Philanthropists and Non-Profits","Fondations, philanthropes et organisation à but non lucratif",
Fruit production,Production de fruits,
Fund-Raising,Collecte de fonds,
Funeral Services,Services funéraires,
Furniture Services,Services d'ameublement,
Furniture Store,Magasin de meubles,
Garbage Collection and Waste Management,Collecte des ordures et gestion des déchets,
Gambling and Casinos,Jeux d'argent et casinos,
General Contractors,Entrepreneurs généraux,
"Glass, Ceramics and Concrete","Verre, céramique et béton",
Glass Industry,Industrie du verre,
Government and Administration,Gouvernement et administration,
Government Relations,Relations gouvernementales,
Graphic Design,Conception graphique,
Grocery Wholesale,Épicerie en gros,
Grocery Stores,Épiceries,
Gas Utilities, Utilities de Gaz,
Healthcare Industry,L'industrie de la santé,
"Health, Wellness and Fitness","Santé, Bien-être et Fitness",
Health Care Service Providers,Fournisseurs de services de soins de santé,
Healthcare Technology,Technologie de la santé,
Heavy Industry,Industrie lourde,
Higher Education,l'enseignement supérieur,
Home Furnishing Supplies and Services,Fournitures et services d'ameublement,
Hospitality Industry,Industrie hôtelière,
Hospital & Health Care,Hôpital et soins de santé,
"Hotels, Restaurants and Leisure","Hôtels, restaurants et loisirs",
Household Durables,Biens Durables,
Human Resources,Ressources humaines,
Import and Export Services,Services d'importation et d'exportation,
Individual and Family Services,Services individuels et familiaux,
Industrial Automation,L'automatisation industrielle,
Industrial Conglomerate,Conglomérat industriel,
Independent Power and Renewable Electricity Producer,Producteur indépendant de l'énergie et d'électricité renouvelable,
Information Services,Services d'information,
Information Technology and Services,Technologie  de l'information et services,
Information Industry,Industrie de l'information,
Insurance Industry,Secteur de l'assurance,
International Affairs,Les affaires internationales,
International Trade and Development,Commerce international et développement,
Internet Company,Société d'Internet,
Internet Catalog Retail,Catalogue d' internet  vente  au détail,
Internet and Software Services,Services Internet et logiciels,
IT Services,Services informatiques,
Investment Services,Services d'investissement,
Investment Banking,Banque d'investissement,
Investment Management,Gestion des investissements,
Jewelry Industry,Bijouterie,
Judiciary Sector,Secteur judiciaire,
Law Enforcement,Forces de l'ordre,
Law Practice,La pratique du droit,
Lawn and Garden Services,Services de pelouse et de jardin,
Lawn and Garden Supplies,Matériel de pelouse et de jardin,
Legal Services,Services juridiques,
Legislative Office,Bureau législatif,
Leisure Products,Produits de loisirs,
"Leisure, Travel and Tourism","Loisirs, voyages et tourisme",
LGBT Issues,Problèmes LGBT,
Library,Bibliothèque,
Life Science,Sciences de la vie,
"Liquor, Wine and Beer","Alcool, vin et bière",
Lobbyists,Lobbyistes,
Lodging / Tourism,Logement / Tourisme,
Logistics and Supply Chain,Logistique et chaîne d'approvisionnement,
"Logging, Timber & Paper Mills","Exploitation forestière, usines de bois et de papier",
Luxury Goods,Produits de luxe,
Machinery,Machinerie,
Management Consulting,Conseil en management,
Marine,Marin,
Maritime,Maritime,
Marketing and Advertising,Marketing et publicité,
Market Research,Étude de marché,
Manufacturing,Fabrication,
Mass Media,Médias de masse,
Mechanical or Industrial Engineering,Génie Mécanique ou Industriel,
Media Production,La production de médias,
Medical Technology,Technologie médicale,
Medical Devices,Équipement médical,
Medical and diagnostic laboratories,Laboratoires médicaux et diagnostiques,
Medical Practice,Pratique médicale,
Mental Health Care,Soin de la santé mentale,
Military,Militaire,
Mining,Exploitation minière,
Motion Pictures and Film,Film,
Multiline Retail,Commerce de détail multiligne,
Museums and Institutions,Musées et institutions,
Music Recording and Production,Enregistrement et production de musique,
Music Sales and Distribution,Ventes et distribution de musique,
Nanotechnology,Nanotechnologie,
Natural Gas Pipelines,Gazoducs,
Newspaper Company,Société de journaux,
Nonprofit Organization Management,Gestion des organisations à but non lucratif,
Nonprofits and Foundations,Les Fondations et les organisations sans but lucratif ,
Nonmetallic mineral mining and quarrying,L' Exploitation et l' Extraction de minéraux non métalliques,
Nuclear industry,Industrie nucléaire,
Nutritional and Dietary Supplements,Compléments Alimentaires et Nutritionnels,
Oil and Gas,Pétrole et gaz,
Online Media,Média en ligne,
Outsourcing and Offshoring Services,Services d'externalisation et de délocalisation,
Outpatient Care Center,Centre de soins ambulatoires,
Package and Freight Delivery,Livraison de colis et de fret,
Packaging Services,Services d'emballage,
Paint and Coating,Peinture et revêtement,
Paper & Paper Products,Papier,
Payday Lenders,Prêteurs sur salaire,
Performing Arts,Les Arts performants,
Personal Products,Produits personnels,
Petroleum and Petroleum Products,Pétrole et produits pétroliers,
Pharmaceuticals,Médicaments,
Philanthropy,Philanthropie,
Photography,La photographie,
Plantation Agriculture,Plantation Agricole,
Plastic Industry,Industrie du plastique,
Political Organization,Organisation politique,
Postal Services,Services postaux,
Power Utilities,Utilitaires de puissance,
Primary/Secondary Education,Enseignement primaire / secondaire,
Printing Services,Services d'impression,
Professional Sports,Sports professionnels,
Professional Sports Arenas,Arénas Sportifs Professionnels,
Professional Sports Equipment Rental,Location d'équipement de sport professionnel,
Professional Training & Coaching,Formation professionnelle et coaching,
Program Development,Développement de programme,
Public Policy,Politique publique,
Public Relations and Communications,Relations Publiques et Communications,
Public Safety,La sécurité publique,
Publishing & Printing,Publication et impression,
