"id","updated","debits","available_credits","action_id","entity_id","user_id"
1, 2018-12-10 10:44:47.904065+00 ,1,0,5,160,4566
2, 2019-01-17 18:20:48.445856+00 ,0,5,1,309,6728
3, 2019-01-18 16:16:17.066622+00 ,1,4,5,309,6728
4, 2019-01-19 09:18:55.533064+00 ,1,3,4,309,6728
5, 2019-02-15 13:12:11.110322+00 ,0,50,1,310,6718
6, 2019-02-19 16:55:46.484446+00 ,0,1,1,310,6718
7, 2019-02-19 16:57:08.06185+00  ,0,-50,1,310,6718
8, 2019-02-25 15:32:35.641648+00 ,0,1,1,320,6807
9, 2019-02-25 15:35:23.047082+00 ,0,1,1,320,6807
10, 2019-03-27 10:23:45.867603+00 ,0,5,1,322,6831
11, 2019-03-27 16:43:37.87966+00  ,0,10,1,256,4474
12, 2019-03-27 17:00:52.366121+00 ,1,10,5,256,4474
13, 2019-03-28 04:00:32.655746+00 ,2,8,5,256,4474
14, 2019-03-28 07:34:55.747866+00 ,1,4,5,322,6831
15, 2019-03-28 08:54:04.528267+00 ,1,3,5,322,6831
16, 2019-03-28 09:02:54.46866+00  ,1,2,5,322,6831
17, 2019-03-28 10:03:03.246263+00 ,0,3,1,325,6878
18, 2019-03-28 12:23:09.174965+00 ,1,1,5,322,6831
19, 2019-03-28 18:00:31.34038+00  ,1,0,5,322,6831
20, 2019-03-29 07:18:58.291924+00 ,2,6,5,256,4474
21, 2019-04-09 05:34:08.498357+00 ,0,5,1,326,6884
22, 2019-04-09 05:34:27.229506+00 ,0,5,1,327,6884
23, 2019-04-09 05:34:47.742483+00 ,0,5,1,328,6884
24, 2019-04-09 20:44:19.920713+00 ,2,3,5,327,6884
25, 2019-04-09 20:57:12.26572+00  ,1,4,5,326,6884
26, 2019-04-09 21:07:49.313626+00 ,1,3,5,326,6884
27, 2019-04-09 21:37:17.43329+00  ,1,4,5,328,6884
28, 2019-04-09 21:37:20.723399+00 ,1,3,5,328,6884
29, 2019-04-10 18:54:21.954383+00 ,1,2,5,325,6878
30, 2019-04-10 19:10:44.492734+00 ,1,1,5,325,6878
31, 2019-04-11 12:07:48.589087+00 ,0,5,1,285,6449
32, 2019-04-11 12:11:36.367986+00 ,0,2,1,285,6449
33, 2019-04-11 12:12:07.947522+00 ,0,-6,1,285,6449
34, 2019-04-11 12:51:06.777352+00 ,1,1,5,285,6449
35, 2019-04-15 10:19:35.91718+00  ,0,2,1,310,6718
36, 2019-04-15 10:21:04.249821+00 ,0,-1,1,310,6718
37, 2019-04-15 12:39:26.521626+00 ,1,1,5,310,6718
38, 2019-04-15 13:57:27.343204+00 ,0,2,1,338,6965
39, 2019-04-15 13:59:50.621723+00 ,0,-1,1,338,6965
40, 2019-04-15 14:01:26.007673+00 ,1,0,5,338,6965
41, 2019-04-25 11:41:02.644308+00 ,0,50,1,279,3150
42, 2019-04-30 09:41:48.561753+00 ,1,5,5,256,6282
43, 2019-04-30 10:11:51.822827+00 ,1,4,5,256,6282
44, 2019-05-01 10:11:37.058328+00 ,1,50,5,279,3150
45, 2019-05-01 10:12:34.749876+00 ,1,49,5,279,3150
46, 2019-05-01 15:13:30.359469+00 ,1,2,5,326,6884
47, 2019-05-13 15:30:58.414743+00 ,1,48,5,279,3150
48, 2019-05-13 15:34:50.7491+00   ,1,47,5,279,3150
49, 2019-05-14 17:07:44.792319+00 ,0,5,1,236,3180
50, 2019-05-15 21:55:30.690778+00 ,1,0,5,325,6878
